step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,AdaptiveCompaction,0,NOOP,0.036404,0.0,-0.010759,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,10.152349906997449,1352.187156677246,1,0.104583740234375,6.693359375,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,AdaptiveCompaction,0,NOOP,0.036282,0.0,0.006309,0,44,10.152349906997449,1352.187156677246,1,0.104583740234375,6.693359375,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45,67.28717201529956,617.2285079956055,2,0.10480499267578125,13.4150390625,0.020025485014072145,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0
3,AdaptiveCompaction,0,NOOP,0.033962,0.0,0.009615,0,45,67.28717201529956,617.2285079956055,2,0.10480499267578125,13.4150390625,0.020025485014072145,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,32,63.30260496845664,418.3049201965332,3,0.09874979654947917,18.9599609375,0.6713754142040717,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
4,AdaptiveCompaction,0,NOOP,0.032935,0.0,0.010956,0,32,63.30260496845664,418.3049201965332,3,0.09874979654947917,18.9599609375,0.6713754142040717,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,34,86.91581181917195,335.19458770751953,4,0.09638595581054688,24.6748046875,0.6261359382354795,0,4,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0
5,AdaptiveCompaction,0,NOOP,0.032092,0.0,0.003668,0,34,86.91581181917195,335.19458770751953,4,0.09638595581054688,24.6748046875,0.6261359382354795,0,4,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0,32,85.07273835918772,626.4584064483643,5,0.094549560546875,30.255859375,0.6025780762541713,0,5,5,0.0,0.0,0.6,0.2,0.0,0.2,0.0
6,AdaptiveCompaction,0,NOOP,0.031845,0.0,0.009374,0,32,85.07273835918772,626.4584064483643,5,0.094549560546875,30.255859375,0.6025780762541713,0,5,5,0.0,0.0,0.6,0.2,0.0,0.2,0.0,37,96.86983150847139,375.35929679870605,6,0.09441375732421875,36.2548828125,0.5393825299741896,0,6,6,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0
7,AdaptiveCompaction,0,NOOP,0.031195,0.0,0.008162,0,37,96.86983150847139,375.35929679870605,6,0.09441375732421875,36.2548828125,0.5393825299741896,0,6,6,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,31,105.72703432988861,410.92658042907715,7,0.09312874930245536,41.7216796875,0.5383206377271601,0,7,7,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.0
8,AdaptiveCompaction,0,NOOP,0.031817,0.0,0.011083,0,31,105.72703432988861,410.92658042907715,7,0.09312874930245536,41.7216796875,0.5383206377271601,0,7,7,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.0,49,147.10935949871944,300.5509376525879,8,0.09547805786132812,48.884765625,0.6551682775854961,0,8,8,0.0,0.0,0.5,0.25,0.0,0.125,0.125
9,AdaptiveCompaction,0,NOOP,0.032121,0.0,0.00789,0,49,147.10935949871944,300.5509376525879,8,0.09547805786132812,48.884765625,0.6551682775854961,0,8,8,0.0,0.0,0.5,0.25,0.0,0.125,0.125,48,135.91053906759998,444.36049461364746,9,0.09691704644097222,55.82421875,0.6722526573178127,0,9,9,0.0,0.0,0.5555555555555556,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111
10,AdaptiveCompaction,0,NOOP,0.031613,0.0,0.006469,0,48,135.91053906759998,444.36049461364746,9,0.09691704644097222,55.82421875,0.6722526573178127,0,9,9,0.0,0.0,0.5555555555555556,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,33,100.82153080980915,492.37871170043945,10,0.09603729248046874,61.4638671875,0.6583400243105269,0,10,10,0.0,0.0,0.6,0.2,0.0,0.1,0.1
11,AdaptiveCompaction,0,NOOP,0.031738,0.0,0.009632,0,33,100.82153080980915,492.37871170043945,10,0.09603729248046874,61.4638671875,0.6583400243105269,0,10,10,0.0,0.0,0.6,0.2,0.0,0.1,0.1,46,152.6472106820935,359.4064712524414,11,0.09696683016690341,68.2646484375,0.6549813959787394,0,11,11,0.0,0.0,0.5454545454545454,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091
12,AdaptiveCompaction,2,COMPACT_64KB,-0.061475,-0.075,0.065735,0,46,152.6472106820935,359.4064712524414,11,0.09696683016690341,68.2646484375,0.6549813959787394,0,11,11,0.0,0.0,0.5454545454545454,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,39,139.7975873960029,268.1708335876465,2,0.36121368408203125,46.2353515625,20.396301753815482,0,0,12,0.0,0.0,0.5833333333333334,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333
13,AdaptiveCompaction,0,NOOP,0.093606,0.0,0.043816,0,39,139.7975873960029,268.1708335876465,2,0.36121368408203125,46.2353515625,20.396301753815482,0,0,12,0.0,0.0,0.5833333333333334,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,30,82.17084576549114,413.1813049316406,3,0.2691599527994792,51.6787109375,17.667249816890788,0,1,13,0.0,0.0,0.5384615384615384,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693
14,AdaptiveCompaction,0,NOOP,0.078203,0.0,0.038179,0,30,82.17084576549114,413.1813049316406,3,0.2691599527994792,51.6787109375,17.667249816890788,0,1,13,0.0,0.0,0.5384615384615384,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,38,142.28298667990256,277.07886695861816,4,0.2257232666015625,57.78515625,15.459632997125203,0,2,14,0.0,0.0,0.5714285714285714,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142
15,AdaptiveCompaction,0,NOOP,0.068496,0.0,0.029925,0,38,142.28298667990256,277.07886695861816,4,0.2257232666015625,57.78515625,15.459632997125203,0,2,14,0.0,0.0,0.5714285714285714,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142,34,106.81434454409678,392.67420768737793,5,0.1985595703125,63.5390625,13.94136625643846,0,3,15,0.0,0.0,0.6,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667
16,AdaptiveCompaction,0,NOOP,0.061765,0.0,0.026556,0,34,106.81434454409678,392.67420768737793,5,0.1985595703125,63.5390625,13.94136625643846,0,3,15,0.0,0.0,0.6,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,32,82.59222123422755,371.75464630126953,6,0.179901123046875,69.08203125,12.808012549594924,0,4,16,0.0,0.0,0.625,0.125,0.0625,0.125,0.0625
17,AdaptiveCompaction,0,NOOP,0.05814,0.0,0.025114,0,32,82.59222123422755,371.75464630126953,6,0.179901123046875,69.08203125,12.808012549594924,0,4,16,0.0,0.0,0.625,0.125,0.0625,0.125,0.0625,49,155.6696986980368,344.3169593811035,7,0.17011369977678573,76.2109375,11.808933774081934,0,5,17,0.0,0.0,0.6470588235294118,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705
18,AdaptiveCompaction,0,NOOP,0.054194,0.0,0.026763,0,49,155.6696986980368,344.3169593811035,7,0.17011369977678573,76.2109375,11.808933774081934,0,5,17,0.0,0.0,0.6470588235294118,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,30,95.01800997684755,176.55158042907715,8,0.1594104766845703,81.6181640625,11.103297984490593,0,6,18,0.0,0.0,0.6111111111111112,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.1111111111111111
19,AdaptiveCompaction,0,NOOP,0.051724,0.0,0.020575,0,30,95.01800997684755,176.55158042907715,8,0.1594104766845703,81.6181640625,11.103297984490593,0,6,18,0.0,0.0,0.6111111111111112,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.1111111111111111,42,126.67048344683724,380.81979751586914,9,0.1529269748263889,88.0859375,10.460517695712168,0,7,19,0.0,0.0,0.631578947368421,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.10526315789473684
20,AdaptiveCompaction,0,NOOP,0.049426,0.0,0.021555,0,42,126.67048344683724,380.81979751586914,9,0.1529269748263889,88.0859375,10.460517695712168,0,7,19,0.0,0.0,0.631578947368421,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.10526315789473684,36,119.86256146138788,282.0761203765869,10,0.14693145751953124,94.0361328125,9.936636257954754,0,8,20,0.0,0.0,0.6,0.15,0.05,0.1,0.1
21,AdaptiveCompaction,0,NOOP,0.048033,0.0,0.019539,0,36,119.86256146138788,282.0761203765869,10,0.14693145751953124,94.0361328125,9.936636257954754,0,8,20,0.0,0.0,0.6,0.15,0.05,0.1,0.1,48,161.0815054370829,333.90355110168457,11,0.143524169921875,101.041015625,9.454424818226313,0,9,21,0.0,0.0,0.6,0.15,0.05,0.1,0.1
22,AdaptiveCompaction,2,COMPACT_64KB,0.028671,-0.075,0.116944,0,48,161.0815054370829,333.90355110168457,11,0.143524169921875,101.041015625,9.454424818226313,0,9,21,0.0,0.0,0.6,0.15,0.05,0.1,0.1,41,165.59295668996012,281.16607666015625,2,0.6187744140625,79.203125,5.63199502671629,0,0,22,0.0,0.0,0.65,0.15,0.05,0.05,0.1
23,AdaptiveCompaction,0,NOOP,0.155509,0.0,0.084187,0,41,165.59295668996012,281.16607666015625,2,0.6187744140625,79.203125,5.63199502671629,0,0,22,0.0,0.0,0.65,0.15,0.05,0.05,0.1,41,137.74926986659744,198.96531105041504,3,0.4460245768229167,85.63671875,19.55925358981789,0,1,23,0.0,0.0,0.7,0.1,0.05,0.05,0.1
24,AdaptiveCompaction,0,NOOP,0.125099,0.0,0.065193,0,41,137.74926986659744,198.96531105041504,3,0.4460245768229167,85.63671875,19.55925358981789,0,1,23,0.0,0.0,0.7,0.1,0.05,0.05,0.1,42,137.9974384102163,267.81344413757324,4,0.359710693359375,92.0859375,19.419195422533893,0,2,24,0.0,0.0,0.7,0.1,0.05,0.05,0.1
25,AdaptiveCompaction,0,NOOP,0.105995,0.0,0.053194,0,42,137.9974384102163,267.81344413757324,4,0.359710693359375,92.0859375,19.419195422533893,0,2,24,0.0,0.0,0.7,0.1,0.05,0.05,0.1,34,123.30108510509524,313.753604888916,5,0.30570068359375,97.82421875,18.508665138143346,0,3,25,0.0,0.0,0.7,0.1,0.05,0.05,0.1
26,AdaptiveCompaction,0,NOOP,0.094031,0.0,0.045624,0,34,123.30108510509524,313.753604888916,5,0.30570068359375,97.82421875,18.508665138143346,0,3,25,0.0,0.0,0.7,0.1,0.05,0.05,0.1,44,140.93914127258813,344.7260856628418,6,0.2720896402994792,104.482421875,17.37297067843863,0,4,26,0.0,0.0,0.75,0.05,0.05,0.05,0.1
27,AdaptiveCompaction,0,NOOP,0.085423,0.0,0.042305,0,44,140.93914127258813,344.7260856628418,6,0.2720896402994792,104.482421875,17.37297067843863,0,4,26,0.0,0.0,0.75,0.05,0.05,0.05,0.1,44,82.5906087604072,275.70199966430664,7,0.24806649344308035,111.1337890625,16.372651033253717,0,5,27,0.0,0.0,0.7,0.05,0.05,0.1,0.1
28,AdaptiveCompaction,0,NOOP,0.078352,0.0,0.038055,0,44,82.5906087604072,275.70199966430664,7,0.24806649344308035,111.1337890625,16.372651033253717,0,5,27,0.0,0.0,0.7,0.05,0.05,0.1,0.1,35,116.54155704557327,284.21497344970703,8,0.22843360900878906,116.9580078125,15.569178458114074,0,6,28,0.0,0.0,0.75,0.05,0.05,0.1,0.05
29,AdaptiveCompaction,0,NOOP,0.072976,0.0,0.035174,0,35,116.54155704557327,284.21497344970703,8,0.22843360900878906,116.9580078125,15.569178458114074,0,6,28,0.0,0.0,0.75,0.05,0.05,0.1,0.05,38,144.04349586442245,275.56705474853516,9,0.2136450873480903,123.0595703125,14.83784262199002,0,7,29,0.0,0.0,0.7,0.05,0.05,0.15,0.05
30,AdaptiveCompaction,0,NOOP,0.068527,0.0,0.031716,0,38,144.04349586442245,275.56705474853516,9,0.2136450873480903,123.0595703125,14.83784262199002,0,7,29,0.0,0.0,0.7,0.05,0.05,0.15,0.05,36,146.10453306911072,314.37134742736816,10,0.20150604248046874,128.9638671875,14.203340986041322,0,8,30,0.0,0.0,0.7,0.05,0.05,0.15,0.05
31,AdaptiveCompaction,0,NOOP,0.065215,0.0,0.028274,0,36,146.10453306911072,314.37134742736816,10,0.20150604248046874,128.9638671875,14.203340986041322,0,8,30,0.0,0.0,0.7,0.05,0.05,0.15,0.05,43,156.6708293808397,380.2928924560547,11,0.19261308149857956,135.599609375,13.60605190242966,0,9,31,0.0,0.0,0.75,0.05,0.05,0.1,0.05
32,AdaptiveCompaction,2,COMPACT_64KB,0.025493,-0.075,0.117515,0,43,156.6708293808397,380.2928924560547,11,0.19261308149857956,135.599609375,13.60605190242966,0,9,31,0.0,0.0,0.75,0.05,0.05,0.1,0.05,50,142.51565044131118,178.41291427612305,3,0.6102650960286459,117.1708984375,22.475133449793326,0,0,32,0.0,0.0,0.75,0.05,0.05,0.1,0.05
33,AdaptiveCompaction,0,NOOP,0.168407,0.0,0.091607,0,50,142.51565044131118,178.41291427612305,3,0.6102650960286459,117.1708984375,22.475133449793326,0,0,32,0.0,0.0,0.75,0.05,0.05,0.1,0.05,43,170.97471522395304,196.38347625732422,4,0.4834480285644531,123.7626953125,24.500024891211392,0,1,33,0.0,0.0,0.8,0.05,0.0,0.1,0.05
34,AdaptiveCompaction,0,NOOP,0.140962,0.0,0.075879,0,43,170.97471522395304,196.38347625732422,4,0.4834480285644531,123.7626953125,24.500024891211392,0,1,33,0.0,0.0,0.8,0.05,0.0,0.1,0.05,37,114.68315696127698,197.8607177734375,5,0.4056060791015625,129.7939453125,23.964229464815173,0,2,34,0.0,0.0,0.75,0.05,0.0,0.15,0.05
35,AdaptiveCompaction,0,NOOP,0.12234,0.0,0.063288,0,37,114.68315696127698,197.8607177734375,5,0.4056060791015625,129.7939453125,23.964229464815173,0,2,34,0.0,0.0,0.75,0.05,0.0,0.15,0.05,34,130.80246037118366,280.9760570526123,6,0.3529713948567708,135.541015625,22.967651836413378,0,3,35,0.0,0.0,0.7,0.05,0.05,0.15,0.05
36,AdaptiveCompaction,0,NOOP,0.109342,0.0,0.055884,0,34,130.80246037118366,280.9760570526123,6,0.3529713948567708,135.541015625,22.967651836413378,0,3,35,0.0,0.0,0.7,0.05,0.05,0.15,0.05,39,127.47283315552778,279.52003479003906,7,0.31640625,141.75,21.861585896544366,0,4,36,0.0,0.0,0.7,0.05,0.05,0.15,0.05
37,AdaptiveCompaction,0,NOOP,0.100151,0.0,0.050496,0,39,127.47283315552778,279.52003479003906,7,0.31640625,141.75,21.861585896544366,0,4,36,0.0,0.0,0.7,0.05,0.05,0.15,0.05,49,172.91878775640703,284.88755226135254,8,0.29071617126464844,148.8466796875,20.767272443884757,0,5,37,0.0,0.0,0.7,0.05,0.05,0.15,0.05
38,AdaptiveCompaction,0,NOOP,0.092666,0.0,0.045109,0,49,172.91878775640703,284.88755226135254,8,0.29071617126464844,148.8466796875,20.767272443884757,0,5,37,0.0,0.0,0.7,0.05,0.05,0.15,0.05,44,166.4086678875721,332.02242851257324,9,0.2699042426215278,155.46484375,19.832720273557783,0,6,38,0.0,0.0,0.75,0.05,0.05,0.15,0.0
