step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,AlwaysCompact_COMPACT_64KB,2,COMPACT_64KB,-0.150134,-0.075,0.018152,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,123.1060673153613,136.6748809814453,1,0.107330322265625,6.869140625,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,AlwaysCompact_COMPACT_64KB,2,COMPACT_64KB,-0.134631,-0.075,0.028888,0,46,123.1060673153613,136.6748809814453,1,0.107330322265625,6.869140625,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33,143.3381336387634,56.236982345581055,1,0.1516265869140625,9.7041015625,0.0,0,0,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5
3,AlwaysCompact_COMPACT_64KB,2,COMPACT_64KB,-0.1136,-0.075,0.040493,0,33,143.3381336387634,56.236982345581055,1,0.1516265869140625,9.7041015625,0.0,0,0,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,45,226.94021443111546,73.92358779907227,1,0.2117156982421875,13.5498046875,0.0,0,0,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
4,AlwaysCompact_COMPACT_64KB,2,COMPACT_64KB,-0.096125,-0.075,0.051169,0,45,226.94021443111546,73.92358779907227,1,0.2117156982421875,13.5498046875,0.0,0,0,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,37,175.4484567492982,44.355154037475586,1,0.2616424560546875,16.7451171875,0.0,0,0,4,0.0,0.0,0.25,0.25,0.0,0.0,0.5
5,AlwaysCompact_COMPACT_64KB,2,COMPACT_64KB,-0.077759,-0.075,0.059785,0,37,175.4484567492982,44.355154037475586,1,0.2616424560546875,16.7451171875,0.0,0,0,4,0.0,0.0,0.25,0.25,0.0,0.0,0.5,39,145.4994089398186,124.85575675964355,1,0.314117431640625,20.103515625,0.0,0,0,5,0.0,0.0,0.4,0.2,0.0,0.0,0.4
6,AlwaysCompact_COMPACT_64KB,2,COMPACT_64KB,-0.054762,-0.075,0.074327,0,39,145.4994089398186,124.85575675964355,1,0.314117431640625,20.103515625,0.0,0,0,5,0.0,0.0,0.4,0.2,0.0,0.0,0.4,49,241.31007599026873,64.8198127746582,1,0.37982177734375,24.30859375,0.0,0,0,6,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333
7,AlwaysCompact_COMPACT_64KB,2,COMPACT_64KB,-0.04007,-0.075,0.082201,0,49,241.31007599026873,64.8198127746582,1,0.37982177734375,24.30859375,0.0,0,0,6,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,31,146.17273380332517,87.16440200805664,1,0.4217987060546875,26.9951171875,0.0,0,0,7,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857
8,AlwaysCompact_COMPACT_64KB,2,COMPACT_64KB,-0.017218,-0.075,0.095248,0,31,146.17273380332517,87.16440200805664,1,0.4217987060546875,26.9951171875,0.0,0,0,7,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,49,229.95036262450182,87.63861656188965,1,0.487091064453125,31.173828125,0.0,0,0,8,0.0,0.0,0.375,0.125,0.125,0.125,0.25
9,AlwaysCompact_COMPACT_64KB,2,COMPACT_64KB,-0.000897,-0.075,0.104063,0,49,229.95036262450182,87.63861656188965,1,0.487091064453125,31.173828125,0.0,0,0,8,0.0,0.0,0.375,0.125,0.125,0.125,0.25,35,161.04755050815328,109.57741737365723,1,0.533721923828125,34.158203125,0.0,0,0,9,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222
10,AlwaysCompact_COMPACT_64KB,2,COMPACT_64KB,0.021939,-0.075,0.1175,0,35,161.04755050815328,109.57741737365723,1,0.533721923828125,34.158203125,0.0,0,0,9,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,47,203.07110238937733,92.96178817749023,1,0.598968505859375,38.333984375,0.0,0,0,10,0.0,0.0,0.5,0.1,0.1,0.1,0.2
11,AlwaysCompact_COMPACT_64KB,2,COMPACT_64KB,0.042612,-0.075,0.129047,0,47,203.07110238937733,92.96178817749023,1,0.598968505859375,38.333984375,0.0,0,0,10,0.0,0.0,0.5,0.1,0.1,0.1,0.2,46,205.36393991227183,104.34079170227051,1,0.6580352783203125,42.1142578125,0.0,0,0,11,0.0,0.0,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182
