step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,AlwaysCompact_COMPACT_128KB,3,COMPACT_128KB,-0.212394,-0.1,-0.002989,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,13.942864272286487,1048.616886138916,1,0.1080169677734375,6.9130859375,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,AlwaysCompact_COMPACT_128KB,3,COMPACT_128KB,-0.197569,-0.1,0.022754,0,47,13.942864272286487,1048.616886138916,1,0.1080169677734375,6.9130859375,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31,59.96250896969764,308.42089653015137,1,0.1503753662109375,9.6240234375,0.0,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,AlwaysCompact_COMPACT_128KB,3,COMPACT_128KB,-0.1758,-0.1,0.036616,0,31,59.96250896969764,308.42089653015137,1,0.1503753662109375,9.6240234375,0.0,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46,156.66171142569007,247.4343776702881,1,0.2125701904296875,13.6044921875,0.0,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,AlwaysCompact_COMPACT_128KB,3,COMPACT_128KB,-0.154582,-0.1,0.049852,0,46,156.66171142569007,247.4343776702881,1,0.2125701904296875,13.6044921875,0.0,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45,181.82102624668377,199.80335235595703,1,0.273193359375,17.484375,0.0,0,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,AlwaysCompact_COMPACT_128KB,3,COMPACT_128KB,-0.132462,-0.1,0.063239,0,45,181.82102624668377,199.80335235595703,1,0.273193359375,17.484375,0.0,0,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,169.93873728476638,167.77849197387695,1,0.336395263671875,21.529296875,0.0,0,0,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2
6,AlwaysCompact_COMPACT_128KB,3,COMPACT_128KB,-0.110389,-0.1,0.075429,0,48,169.93873728476638,167.77849197387695,1,0.336395263671875,21.529296875,0.0,0,0,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2,47,159.5064670047229,185.9147548675537,1,0.3994598388671875,25.5654296875,0.0,0,0,6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666
7,AlwaysCompact_COMPACT_128KB,3,COMPACT_128KB,-0.086896,-0.1,0.090146,0,47,159.5064670047229,185.9147548675537,1,0.3994598388671875,25.5654296875,0.0,0,0,6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,50,209.64895093150565,130.5093765258789,1,0.466583251953125,29.861328125,0.0,0,0,7,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.2857142857142857
8,AlwaysCompact_COMPACT_128KB,3,COMPACT_128KB,-0.070089,-0.1,0.096018,0,50,209.64895093150565,130.5093765258789,1,0.466583251953125,29.861328125,0.0,0,0,7,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.2857142857142857,36,152.9841975203572,290.463924407959,1,0.5146026611328125,32.9345703125,0.0,0,0,8,0.0,0.0,0.625,0.0,0.0,0.125,0.25
9,AlwaysCompact_COMPACT_128KB,3,COMPACT_128KB,-0.05176,-0.1,0.10855,0,36,152.9841975203572,290.463924407959,1,0.5146026611328125,32.9345703125,0.0,0,0,8,0.0,0.0,0.625,0.0,0.0,0.125,0.25,38,156.78283827863402,202.26287841796875,1,0.5669708251953125,36.2861328125,0.0,0,0,9,0.0,0.0,0.6666666666666666,0.0,0.0,0.1111111111111111,0.2222222222222222
10,AlwaysCompact_COMPACT_128KB,3,COMPACT_128KB,-0.037779,-0.1,0.113586,0,38,156.78283827863402,202.26287841796875,1,0.5669708251953125,36.2861328125,0.0,0,0,9,0.0,0.0,0.6666666666666666,0.0,0.0,0.1111111111111111,0.2222222222222222,30,125.42550073862311,328.82022857666016,1,0.6069183349609375,38.8427734375,0.0,0,0,10,0.0,0.0,0.6,0.0,0.1,0.1,0.2
