step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,MultiAgent,0,NOOP,0.017557,0.0,0.001696,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,9.683441397395017,794.2802906036377,1,0.088409423828125,5.658203125,0.0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,MultiAgent,0,NOOP,0.017842,0.0,0.011615,0,33,9.683441397395017,794.2802906036377,1,0.088409423828125,5.658203125,0.0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36,86.59704871963983,313.8842582702637,2,0.09046173095703125,11.5791015625,0.18575363685466922,0,2,2,0.0,0.0,0.0,0.5,0.0,0.5,0.0
3,MultiAgent,0,NOOP,0.017759,0.0,0.010973,0,36,86.59704871963983,313.8842582702637,2,0.09046173095703125,11.5791015625,0.18575363685466922,0,2,2,0.0,0.0,0.0,0.5,0.0,0.5,0.0,35,103.83519417733248,343.0204391479492,3,0.090667724609375,17.408203125,0.13331777163928027,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
4,MultiAgent,0,NOOP,0.017602,0.0,0.012871,0,35,103.83519417733248,343.0204391479492,3,0.090667724609375,17.408203125,0.13331777163928027,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,34,105.19755828578384,241.58668518066406,4,0.09051132202148438,23.1708984375,0.11067911781984263,0,4,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0
5,MultiAgent,0,NOOP,0.017449,0.0,0.010104,0,34,105.19755828578384,241.58668518066406,4,0.09051132202148438,23.1708984375,0.11067911781984263,0,4,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0,34,117.08776101364266,373.507022857666,5,0.0903717041015625,28.9189453125,0.09791128806634367,0,5,5,0.0,0.0,0.6,0.2,0.0,0.2,0.0
6,MultiAgent,0,NOOP,0.017344,0.0,0.010818,0,34,117.08776101364266,373.507022857666,5,0.0903717041015625,28.9189453125,0.09791128806634367,0,5,5,0.0,0.0,0.6,0.2,0.0,0.2,0.0,35,129.98707218678388,333.8189125061035,6,0.09047190348307292,34.7412109375,0.08897211496653232,0,6,6,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0
7,MultiAgent,0,NOOP,0.017027,0.0,0.012416,0,35,129.98707218678388,333.8189125061035,6,0.09047190348307292,34.7412109375,0.08897211496653232,0,6,6,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,30,112.89517175295137,239.28308486938477,7,0.089508056640625,40.099609375,0.18229922324367542,0,7,7,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.0
8,MultiAgent,0,NOOP,0.017048,0.0,0.01281,0,30,112.89517175295137,239.28308486938477,7,0.089508056640625,40.099609375,0.18229922324367542,0,7,7,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.0,38,159.564018905382,221.94719314575195,8,0.09024238586425781,46.2041015625,0.21483768603201558,0,8,8,0.0,0.0,0.625,0.125,0.0,0.125,0.125
9,MultiAgent,0,NOOP,0.016941,0.0,0.013072,0,38,159.564018905382,221.94719314575195,8,0.09024238586425781,46.2041015625,0.21483768603201558,0,8,8,0.0,0.0,0.625,0.125,0.0,0.125,0.125,35,134.17356572922284,204.70643043518066,9,0.09033033582899305,52.0302734375,0.20167046808700592,0,9,9,0.0,0.0,0.5555555555555556,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111
10,MultiAgent,0,NOOP,0.017244,0.0,0.012083,0,35,134.17356572922284,204.70643043518066,9,0.09033033582899305,52.0302734375,0.20167046808700592,0,9,9,0.0,0.0,0.5555555555555556,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,49,169.25190522856977,270.5340385437012,10,0.09246826171875,59.1796875,0.4726192575486047,0,10,10,0.0,0.0,0.6,0.2,0.0,0.1,0.1
