step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,No_Maintenance,0,NOOP,0.038167,0.0,0.019057,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,241.82342919000328,117.50507354736328,1,0.109619140625,7.015625,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,No_Maintenance,0,NOOP,0.037593,0.0,0.018622,0,49,241.82342919000328,117.50507354736328,1,0.109619140625,7.015625,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47,210.70911939937963,121.62613868713379,2,0.108551025390625,13.89453125,0.0966747552403483,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,No_Maintenance,0,NOOP,0.037567,0.0,0.019716,0,47,210.70911939937963,121.62613868713379,2,0.108551025390625,13.89453125,0.0966747552403483,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,214.42267105750838,73.65751266479492,3,0.10904947916666667,20.9375,0.0878978584986337,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
4,No_Maintenance,0,NOOP,0.036314,0.0,0.018801,0,48,214.42267105750838,73.65751266479492,3,0.10904947916666667,20.9375,0.0878978584986337,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,39,181.56092049196795,81.73489570617676,4,0.10604095458984375,27.146484375,0.39172168642842187,0,4,4,0.0,0.0,0.75,0.0,0.0,0.0,0.25
5,No_Maintenance,0,NOOP,0.035077,0.0,0.016739,0,39,181.56092049196795,81.73489570617676,4,0.10604095458984375,27.146484375,0.39172168642842187,0,4,4,0.0,0.0,0.75,0.0,0.0,0.0,0.25,35,211.41345407465974,139.3427848815918,5,0.103076171875,32.984375,0.5432332005507985,0,5,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2
6,No_Maintenance,0,NOOP,0.034474,0.0,0.017879,0,35,211.41345407465974,139.3427848815918,5,0.103076171875,32.984375,0.5432332005507985,0,5,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2,39,184.16719601262324,75.26707649230957,6,0.10192616780598958,39.1396484375,0.5182507483303215,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
7,No_Maintenance,0,NOOP,0.034199,0.0,0.014352,0,39,184.16719601262324,75.26707649230957,6,0.10192616780598958,39.1396484375,0.5182507483303215,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,42,196.57860096815878,219.2089557647705,7,0.10171072823660714,45.56640625,0.47450042496730677,0,7,7,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.2857142857142857
8,No_Maintenance,0,NOOP,0.034258,0.0,0.016353,0,42,196.57860096815878,219.2089557647705,7,0.10171072823660714,45.56640625,0.47450042496730677,0,7,7,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.2857142857142857,47,213.0597853106856,134.44828987121582,8,0.10245132446289062,52.455078125,0.4593026863323566,0,8,8,0.0,0.0,0.75,0.0,0.0,0.0,0.25
9,No_Maintenance,0,NOOP,0.033488,0.0,0.017205,0,47,213.0597853106856,134.44828987121582,8,0.10245132446289062,52.455078125,0.4593026863323566,0,8,8,0.0,0.0,0.75,0.0,0.0,0.0,0.25,33,152.2224101619422,78.63116264343262,9,0.10082329644097222,58.07421875,0.531315543924748,0,9,9,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
10,No_Maintenance,0,NOOP,0.033622,0.0,0.016249,0,33,152.2224101619422,78.63116264343262,9,0.10082329644097222,58.07421875,0.531315543924748,0,9,9,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,49,240.4248079136758,122.40767478942871,10,0.10177764892578126,65.1376953125,0.536876024514897,0,10,10,0.0,0.0,0.6,0.1,0.0,0.0,0.3
