step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,PartitionExploration,0,NOOP,0.033013,0.0,0.016133,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,157.5957854103055,116.62459373474121,1,0.0948944091796875,6.0732421875,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,PartitionExploration,0,NOOP,0.033304,0.0,0.016286,0,38,157.5957854103055,116.62459373474121,1,0.0948944091796875,6.0732421875,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40,165.50556133748316,116.73164367675781,2,0.0962982177734375,12.326171875,0.12705824974445776,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,PartitionExploration,0,NOOP,0.033745,0.0,0.017699,0,40,165.50556133748316,116.73164367675781,2,0.0962982177734375,12.326171875,0.12705824974445776,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,147.9854701801458,66.48993492126465,3,0.0981292724609375,18.8408203125,0.22196988508086518,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
4,PartitionExploration,0,NOOP,0.033807,0.0,0.015297,0,43,147.9854701801458,66.48993492126465,3,0.0981292724609375,18.8408203125,0.22196988508086518,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,42,194.77330502852593,170.5167293548584,4,0.098876953125,25.3125,0.2049540795478521,0,4,4,0.0,0.0,0.75,0.0,0.0,0.0,0.25
5,PartitionExploration,0,NOOP,0.033041,0.0,0.017004,0,42,194.77330502852593,170.5167293548584,4,0.098876953125,25.3125,0.2049540795478521,0,4,4,0.0,0.0,0.75,0.0,0.0,0.0,0.25,35,155.56765520932132,78.12881469726562,5,0.097259521484375,31.123046875,0.2916882824835163,0,5,5,0.0,0.0,0.6,0.0,0.0,0.0,0.4
6,PartitionExploration,0,NOOP,0.033711,0.0,0.017022,0,35,155.56765520932132,78.12881469726562,5,0.097259521484375,31.123046875,0.2916882824835163,0,5,5,0.0,0.0,0.6,0.0,0.0,0.0,0.4,50,238.19281884233277,93.31107139587402,6,0.0997467041015625,38.302734375,0.46914249518257545,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333
7,PartitionExploration,0,NOOP,0.032797,0.0,0.016494,0,50,238.19281884233277,93.31107139587402,6,0.0997467041015625,38.302734375,0.46914249518257545,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,31,136.52372827432546,93.08052062988281,7,0.09770638602120536,43.7724609375,0.5502461646293747,0,7,7,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.42857142857142855
8,PartitionExploration,0,NOOP,0.032723,0.0,0.015239,0,31,136.52372827432546,93.08052062988281,7,0.09770638602120536,43.7724609375,0.5502461646293747,0,7,7,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.42857142857142855,42,200.83174258626744,144.6080207824707,8,0.09806632995605469,50.2099609375,0.5135788882589396,0,8,8,0.0,0.0,0.5,0.125,0.0,0.0,0.375
9,PartitionExploration,0,NOOP,0.032458,0.0,0.014621,0,42,200.83174258626744,144.6080207824707,8,0.09806632995605469,50.2099609375,0.5135788882589396,0,8,8,0.0,0.0,0.5,0.125,0.0,0.0,0.375,38,183.09573081001227,164.15953636169434,9,0.09788004557291667,56.37890625,0.48173863758728963,0,9,9,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.3333333333333333
10,PartitionExploration,0,NOOP,0.032591,0.0,0.014328,0,38,183.09573081001227,164.15953636169434,9,0.09788004557291667,56.37890625,0.48173863758728963,0,9,9,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.3333333333333333,47,213.96304939121148,179.4905662536621,10,0.09883270263671876,63.2529296875,0.4934164538252829,0,10,10,0.0,0.0,0.6,0.1,0.0,0.0,0.3
