step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,Periodic10_COMPACT_128KB,0,NOOP,0.035165,0.0,0.017929,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,247.7822181588016,92.34976768493652,1,0.101043701171875,6.466796875,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Periodic10_COMPACT_128KB,0,NOOP,0.036696,0.0,0.018446,0,42,247.7822181588016,92.34976768493652,1,0.101043701171875,6.466796875,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49,240.29409474458342,107.20181465148926,2,0.105987548828125,13.56640625,0.4474660099696121,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,Periodic10_COMPACT_128KB,0,NOOP,0.034137,0.0,0.017264,0,49,240.29409474458342,107.20181465148926,2,0.105987548828125,13.56640625,0.4474660099696121,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31,168.3597899766281,94.75326538085938,3,0.09924825032552083,19.0556640625,0.8113020844826976,0,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,Periodic10_COMPACT_128KB,0,NOOP,0.034824,0.0,0.016738,0,31,168.3597899766281,94.75326538085938,3,0.09924825032552083,19.0556640625,0.8113020844826976,0,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,247.5187975101398,133.6686611175537,4,0.10178375244140625,26.056640625,0.737655993844502,0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,Periodic10_COMPACT_128KB,0,NOOP,0.033767,0.0,0.016124,0,48,247.5187975101398,133.6686611175537,4,0.10178375244140625,26.056640625,0.737655993844502,0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34,174.77701723058144,133.63265991210938,5,0.099334716796875,31.787109375,0.7286540454749845,0,5,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,Periodic10_COMPACT_128KB,0,NOOP,0.033527,0.0,0.017005,0,34,174.77701723058144,133.63265991210938,5,0.099334716796875,31.787109375,0.7286540454749845,0,5,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,210.93528053116992,89.52498435974121,6,0.09922027587890625,38.1005859375,0.6519748764112278,0,6,6,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0
7,Periodic10_COMPACT_128KB,0,NOOP,0.033128,0.0,0.015678,0,41,210.93528053116992,89.52498435974121,6,0.09922027587890625,38.1005859375,0.6519748764112278,0,6,6,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,38,192.75573852174713,136.1713409423828,7,0.09865025111607142,44.1953125,0.6029447529504213,0,7,7,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0
8,Periodic10_COMPACT_128KB,0,NOOP,0.033043,0.0,0.015345,0,38,192.75573852174713,136.1713409423828,7,0.09865025111607142,44.1953125,0.6029447529504213,0,7,7,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,43,232.3420762436747,147.8867530822754,8,0.09897994995117188,50.677734375,0.5613997461787734,0,8,8,0.0,0.0,0.875,0.125,0.0,0.0,0.0
9,Periodic10_COMPACT_128KB,0,NOOP,0.032994,0.0,0.015553,0,43,232.3420762436747,147.8867530822754,8,0.09897994995117188,50.677734375,0.5613997461787734,0,8,8,0.0,0.0,0.875,0.125,0.0,0.0,0.0,44,249.64946958608505,137.33291625976562,9,0.0994110107421875,57.2607421875,0.5316232604162698,0,9,9,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0
10,Periodic10_COMPACT_128KB,3,COMPACT_128KB,-0.042692,-0.1,0.117214,0,44,249.64946958608505,137.33291625976562,9,0.0994110107421875,57.2607421875,0.5316232604162698,0,9,9,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,35,183.24585919839024,53.026437759399414,1,0.5928802490234375,37.9443359375,0.0,0,0,10,0.0,0.0,0.8,0.1,0.0,0.0,0.1
11,Periodic10_COMPACT_128KB,0,NOOP,0.122607,0.0,0.067636,0,35,183.24585919839024,53.026437759399414,1,0.5928802490234375,37.9443359375,0.0,0,0,10,0.0,0.0,0.8,0.1,0.0,0.0,0.1,49,270.4375326498736,103.00326347351074,2,0.35144805908203125,44.9853515625,21.851947354148727,0,1,11,0.0,0.0,0.8181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091
