step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,Periodic10_COMPACT_32KB,0,NOOP,0.035448,0.0,-0.017345,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,10.783244642369862,1611.0265254974365,1,0.1018524169921875,6.5185546875,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,Periodic10_COMPACT_32KB,0,NOOP,0.03378,0.0,-0.00207,0,43,10.783244642369862,1611.0265254974365,1,0.1018524169921875,6.5185546875,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37,53.347622686548284,915.0397777557373,2,0.09765625,12.5,0.3797936813013683,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0
3,Periodic10_COMPACT_32KB,0,NOOP,0.035209,0.0,0.012022,0,37,53.347622686548284,915.0397777557373,2,0.09765625,12.5,0.3797936813013683,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,50,97.20760454158835,345.653772354126,3,0.1023101806640625,19.6435546875,0.5816083562237537,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
4,Periodic10_COMPACT_32KB,0,NOOP,0.033932,0.0,0.01002,0,50,97.20760454158835,345.653772354126,3,0.1023101806640625,19.6435546875,0.5816083562237537,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,34,80.06643984054797,399.73998069763184,4,0.09923553466796875,25.404296875,0.6167637138640863,0,4,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0
5,Periodic10_COMPACT_32KB,0,NOOP,0.032845,0.0,0.009688,0,34,80.06643984054797,399.73998069763184,4,0.09923553466796875,25.404296875,0.6167637138640863,0,4,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0,32,111.26314070441322,386.86347007751465,5,0.0967010498046875,30.9443359375,0.645642094344272,0,5,5,0.0,0.0,0.6,0.2,0.0,0.2,0.0
6,Periodic10_COMPACT_32KB,0,NOOP,0.03236,0.0,0.007049,0,32,111.26314070441322,386.86347007751465,5,0.0967010498046875,30.9443359375,0.645642094344272,0,5,5,0.0,0.0,0.6,0.2,0.0,0.2,0.0,35,112.12823503442124,487.6224994659424,6,0.09588623046875,36.8203125,0.5914386936898487,0,6,6,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0
7,Periodic10_COMPACT_32KB,0,NOOP,0.03191,0.0,0.008177,0,35,112.12823503442124,487.6224994659424,6,0.09588623046875,36.8203125,0.5914386936898487,0,6,6,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,34,125.26183127120177,427.8137683868408,7,0.09517124720982142,42.63671875,0.5533144950833399,0,7,7,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.0
8,Periodic10_COMPACT_32KB,0,NOOP,0.031765,0.0,0.010501,0,34,125.26183127120177,427.8137683868408,7,0.09517124720982142,42.63671875,0.5533144950833399,0,7,7,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.0,38,146.50341156540435,324.2049217224121,8,0.09532928466796875,48.80859375,0.5130678652790248,0,8,8,0.0,0.0,0.625,0.125,0.0,0.25,0.0
9,Periodic10_COMPACT_32KB,0,NOOP,0.03211,0.0,0.010188,0,38,146.50341156540435,324.2049217224121,8,0.09532928466796875,48.80859375,0.5130678652790248,0,8,8,0.0,0.0,0.625,0.125,0.0,0.25,0.0,48,179.82717434411498,345.6254005432129,9,0.09688652886284722,55.806640625,0.565446155391007,0,9,9,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.2222222222222222,0.0
10,Periodic10_COMPACT_32KB,1,COMPACT_32KB,-0.016623,-0.05,0.055121,0,48,179.82717434411498,345.6254005432129,9,0.09688652886284722,55.806640625,0.565446155391007,0,9,9,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.2222222222222222,0.0,42,164.88803275282066,290.8651828765869,2,0.310791015625,39.78125,2.3547208240684836,0,0,10,0.0,0.0,0.7,0.1,0.0,0.2,0.0
11,Periodic10_COMPACT_32KB,0,NOOP,0.084693,0.0,0.040072,0,42,164.88803275282066,290.8651828765869,2,0.310791015625,39.78125,2.3547208240684836,0,0,10,0.0,0.0,0.7,0.1,0.0,0.2,0.0,49,177.5288560875409,355.3333282470703,3,0.24369303385416666,46.7890625,7.6219840625458515,0,1,11,0.0,0.0,0.7272727272727273,0.09090909090909091,0.0,0.18181818181818182,0.0
12,Periodic10_COMPACT_32KB,0,NOOP,0.072327,0.0,0.033088,0,49,177.5288560875409,355.3333282470703,3,0.24369303385416666,46.7890625,7.6219840625458515,0,1,11,0.0,0.0,0.7272727272727273,0.09090909090909091,0.0,0.18181818181818182,0.0,45,148.87578650457922,351.38559341430664,4,0.20893478393554688,53.4873046875,7.650088881722179,0,2,12,0.0,0.0,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0
13,Periodic10_COMPACT_32KB,0,NOOP,0.064531,0.0,0.032134,0,45,148.87578650457922,351.38559341430664,4,0.20893478393554688,53.4873046875,7.650088881722179,0,2,12,0.0,0.0,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,42,104.30268488245277,200.87361335754395,5,0.1872314453125,59.9140625,7.317082056869755,0,3,13,0.0,0.0,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0
14,Periodic10_COMPACT_32KB,0,NOOP,0.059304,0.0,0.029305,0,42,104.30268488245277,200.87361335754395,5,0.1872314453125,59.9140625,7.317082056869755,0,3,13,0.0,0.0,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,42,148.45404694788203,193.64523887634277,6,0.1728693644205729,66.3818359375,6.9210568440368325,0,4,14,0.0,0.0,0.5714285714285714,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142
15,Periodic10_COMPACT_32KB,0,NOOP,0.054868,0.0,0.02351,0,42,148.45404694788203,193.64523887634277,6,0.1728693644205729,66.3818359375,6.9210568440368325,0,4,14,0.0,0.0,0.5714285714285714,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,33,122.42774339465097,332.90863037109375,7,0.16076442173549108,72.0224609375,6.642200009217711,0,5,15,0.0,0.0,0.6,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667
16,Periodic10_COMPACT_32KB,0,NOOP,0.05172,0.0,0.025115,0,33,122.42774339465097,332.90863037109375,7,0.16076442173549108,72.0224609375,6.642200009217711,0,5,15,0.0,0.0,0.6,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,37,153.76202884823073,186.59496307373047,8,0.15234375,78.0,6.335584911906167,0,6,16,0.0,0.0,0.5625,0.0625,0.0625,0.1875,0.125
