step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,Random_Compact,0,NOOP,0.029323,0.0,-0.018023,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,7.307242333265311,1490.0517463684082,1,0.0843505859375,5.3984375,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Random_Compact,2,COMPACT_64KB,-0.134807,-0.075,0.021852,0,30,7.307242333265311,1490.0517463684082,1,0.0843505859375,5.3984375,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,64.3244925729881,353.47628593444824,1,0.151123046875,9.671875,0.0,0,0,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5
3,Random_Compact,2,COMPACT_64KB,-0.111303,-0.075,0.032728,0,48,64.3244925729881,353.47628593444824,1,0.151123046875,9.671875,0.0,0,0,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,48,127.23305726627252,462.9490375518799,1,0.2182769775390625,13.9697265625,0.0,0,0,3,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
4,Random_Compact,1,COMPACT_32KB,-0.034309,-0.05,0.044617,0,48,127.23305726627252,462.9490375518799,1,0.2182769775390625,13.9697265625,0.0,0,0,3,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,30,67.96827296828377,308.37368965148926,1,0.2596893310546875,16.6201171875,0.0,0,0,4,0.0,0.0,0.5,0.0,0.25,0.0,0.25
5,Random_Compact,3,COMPACT_128KB,-0.139431,-0.1,0.056961,0,30,67.96827296828377,308.37368965148926,1,0.2596893310546875,16.6201171875,0.0,0,0,4,0.0,0.0,0.5,0.0,0.25,0.0,0.25,41,121.48582400759575,266.16406440734863,1,0.3164825439453125,20.2548828125,0.0,0,0,5,0.0,0.0,0.6,0.0,0.2,0.0,0.2
6,Random_Compact,2,COMPACT_64KB,-0.058196,-0.075,0.068228,0,41,121.48582400759575,266.16406440734863,1,0.3164825439453125,20.2548828125,0.0,0,0,5,0.0,0.0,0.6,0.0,0.2,0.0,0.2,39,130.04363411452226,242.081880569458,1,0.3700103759765625,23.6806640625,0.0,0,0,6,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
7,Random_Compact,2,COMPACT_64KB,-0.044306,-0.075,0.07478,0,39,130.04363411452226,242.081880569458,1,0.3700103759765625,23.6806640625,0.0,0,0,6,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,34,109.33687448439143,301.49149894714355,1,0.409698486328125,26.220703125,0.0,0,0,7,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.14285714285714285
8,Random_Compact,1,COMPACT_32KB,-0.036341,-0.05,0.044038,0,34,109.33687448439143,301.49149894714355,1,0.409698486328125,26.220703125,0.0,0,0,7,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.14285714285714285,41,153.28637339285333,282.98401832580566,2,0.25445556640625,32.5703125,14.050985140218621,0,0,8,0.0,0.0,0.75,0.0,0.125,0.0,0.125
9,Random_Compact,2,COMPACT_64KB,-0.008775,-0.075,0.097138,0,41,153.28637339285333,282.98401832580566,2,0.25445556640625,32.5703125,14.050985140218621,0,0,8,0.0,0.0,0.75,0.0,0.125,0.0,0.125,30,71.86674944470369,213.4096622467041,1,0.5112152099609375,32.7177734375,0.0,0,0,9,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.1111111111111111
10,Random_Compact,0,NOOP,0.10407,0.0,0.053083,0,30,71.86674944470369,213.4096622467041,1,0.5112152099609375,32.7177734375,0.0,0,0,9,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.1111111111111111,31,101.50554315589457,272.74322509765625,2,0.29848480224609375,38.2060546875,19.254158574047366,0,1,10,0.0,0.0,0.7,0.0,0.2,0.0,0.1
11,Random_Compact,3,COMPACT_128KB,-0.040769,-0.1,0.113962,0,31,101.50554315589457,272.74322509765625,2,0.29848480224609375,38.2060546875,19.254158574047366,0,1,10,0.0,0.0,0.7,0.0,0.2,0.0,0.1,40,153.6826851116491,239.47978019714355,1,0.5983734130859375,38.2958984375,0.0,0,0,11,0.0,0.0,0.7272727272727273,0.0,0.18181818181818182,0.0,0.09090909090909091
12,Random_Compact,2,COMPACT_64KB,0.043793,-0.075,0.127246,0,40,153.6826851116491,239.47978019714355,1,0.5983734130859375,38.2958984375,0.0,0,0,11,0.0,0.0,0.7272727272727273,0.0,0.18181818181818182,0.0,0.09090909090909091,47,153.64445435145538,210.4344367980957,1,0.661407470703125,42.330078125,0.0,0,0,12,0.0,0.0,0.6666666666666666,0.0,0.25,0.0,0.08333333333333333
13,Random_Compact,0,NOOP,0.133494,0.0,0.069676,0,47,153.64445435145538,210.4344367980957,1,0.661407470703125,42.330078125,0.0,0,0,12,0.0,0.0,0.6666666666666666,0.0,0.25,0.0,0.08333333333333333,44,146.06757993180588,282.1931838989258,2,0.3825531005859375,48.966796875,25.239016457390928,0,1,13,0.0,0.0,0.6153846153846154,0.0,0.3076923076923077,0.0,0.07692307692307693
14,Random_Compact,0,NOOP,0.099425,0.0,0.051941,0,44,146.06757993180588,282.1931838989258,2,0.3825531005859375,48.966796875,25.239016457390928,0,1,13,0.0,0.0,0.6153846153846154,0.0,0.3076923076923077,0.0,0.07692307692307693,36,100.05005585762997,207.50904083251953,3,0.2857869466145833,54.87109375,20.82222324404357,0,2,14,0.0,0.0,0.6428571428571429,0.0,0.2857142857142857,0.0,0.07142857142857142
15,Random_Compact,0,NOOP,0.084035,0.0,0.040518,0,36,100.05005585762997,207.50904083251953,3,0.2857869466145833,54.87109375,20.82222324404357,0,2,14,0.0,0.0,0.6428571428571429,0.0,0.2857142857142857,0.0,0.07142857142857142,50,174.63765521181088,319.66447830200195,4,0.2423858642578125,62.05078125,17.88589127950816,0,3,15,0.0,0.0,0.6666666666666666,0.0,0.26666666666666666,0.0,0.06666666666666667
