step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,Random_Partition,7,REMOVE_PARTITION,-0.09493,-0.05,-0.004991,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,9.842093438837717,949.8670101165771,1,0.08648681640625,5.53515625,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,Random_Partition,7,REMOVE_PARTITION,-0.0907,-0.05,0.008709,0,31,9.842093438837717,949.8670101165771,1,0.08648681640625,5.53515625,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50,107.41680538837811,465.8620357513428,2,0.09914398193359375,12.6904296875,1.1455958495981273,0,2,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0
3,Random_Partition,0,NOOP,0.035225,0.0,0.012658,0,50,107.41680538837811,465.8620357513428,2,0.09914398193359375,12.6904296875,1.1455958495981273,0,2,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0,47,134.78669994188232,318.7730312347412,3,0.10235595703125,19.65234375,0.8848545459248359,0,3,3,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
4,Random_Partition,7,REMOVE_PARTITION,-0.091555,-0.05,0.011697,0,47,134.78669994188232,318.7730312347412,3,0.10235595703125,19.65234375,0.8848545459248359,0,3,3,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,30,101.4800070971176,315.90843200683594,4,0.09784317016601562,25.0478515625,0.9250094902995131,0,4,4,0.0,0.0,0.25,0.25,0.5,0.0,0.0
5,Random_Partition,5,PARTITION_REGION,-0.341639,-0.15,0.010292,0,30,101.4800070971176,315.90843200683594,4,0.09784317016601562,25.0478515625,0.9250094902995131,0,4,4,0.0,0.0,0.25,0.25,0.5,0.0,0.0,41,127.39379545308068,373.6462593078613,5,0.098175048828125,31.416015625,0.8024884146451264,2,5,0,0.0,0.0,0.4,0.2,0.4,0.0,0.0
6,Random_Partition,0,NOOP,0.027686,-0.102251,0.007876,0,41,127.39379545308068,373.6462593078613,5,0.098175048828125,31.416015625,0.8024884146451264,2,5,0,0.0,0.0,0.4,0.2,0.4,0.0,0.0,38,94.00242284695133,336.8029594421387,8,0.08367538452148438,42.841796875,1.441633997346729,2,6,1,0.0,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0
7,Random_Partition,7,REMOVE_PARTITION,-0.100304,-0.133149,0.006319,0,38,94.00242284695133,336.8029594421387,8,0.08367538452148438,42.841796875,1.441633997346729,2,6,1,0.0,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,37,111.85052505639761,328.91130447387695,11,0.07684464888139204,54.0986328125,1.459344524877003,0,7,0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0
8,Random_Partition,4,PARTITION_HOUR,-0.349679,-0.239629,0.008803,0,37,111.85052505639761,328.91130447387695,11,0.07684464888139204,54.0986328125,1.459344524877003,0,7,0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0,45,165.5848213071594,237.34807968139648,12,0.07920328776041667,60.828125,1.4864453833149314,1,8,0,0.0,0.0,0.5,0.25,0.25,0.0,0.0
9,Random_Partition,6,PARTITION_EVENT_TYPE,-0.349314,-0.239928,0.005795,0,45,165.5848213071594,237.34807968139648,12,0.07920328776041667,60.828125,1.4864453833149314,1,8,0,0.0,0.0,0.5,0.25,0.25,0.0,0.0,42,142.33614810134458,374.7262954711914,13,0.08081641564002404,67.2392578125,1.4710384714906426,3,9,0,0.0,0.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,0.0
10,Random_Partition,7,REMOVE_PARTITION,-0.101231,-0.160685,0.003978,0,42,142.33614810134458,374.7262954711914,13,0.08081641564002404,67.2392578125,1.4710384714906426,3,9,0,0.0,0.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,0.0,42,117.10309893759448,404.25562858581543,16,0.07705307006835938,78.90234375,1.4905983123416233,0,10,0,0.0,0.0,0.6,0.2,0.2,0.0,0.0
