step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,frozen_attentive_ppoclip_seed3,0,NOOP,0.01929,0.0,0.017943,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,272.715563134051,68.59588623046875,1,0.097076416015625,6.212890625,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,frozen_attentive_ppoclip_seed3,0,NOOP,0.019705,0.0,0.018343,0,40,272.715563134051,68.59588623046875,1,0.097076416015625,6.212890625,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,269.5149196633512,70.61934471130371,2,0.0997772216796875,12.771484375,0.2444490239648807,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,frozen_attentive_ppoclip_seed3,0,NOOP,0.020221,0.0,0.018653,0,43,269.5149196633512,70.61934471130371,2,0.0997772216796875,12.771484375,0.2444490239648807,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,299.68188794002987,82.18860626220703,3,0.1029815673828125,19.7724609375,0.3950300934349664,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
4,frozen_attentive_ppoclip_seed3,0,NOOP,0.020558,0.0,0.018441,0,48,299.68188794002987,82.18860626220703,3,0.1029815673828125,19.7724609375,0.3950300934349664,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,50,314.2723556280196,110.82768440246582,4,0.10528945922851562,26.9541015625,0.4373781852071977,0,4,4,0.0,0.0,0.75,0.0,0.25,0.0,0.0
5,frozen_attentive_ppoclip_seed3,0,NOOP,0.019579,0.0,0.018345,0,50,314.2723556280196,110.82768440246582,4,0.10528945922851562,26.9541015625,0.4373781852071977,0,4,4,0.0,0.0,0.75,0.0,0.25,0.0,0.0,30,139.52488246252108,67.96073913574219,5,0.101019287109375,32.326171875,0.7189677696378859,0,5,5,0.0,0.0,0.6,0.0,0.2,0.2,0.0
6,frozen_attentive_ppoclip_seed3,0,NOOP,0.019312,0.0,0.017372,0,30,139.52488246252108,67.96073913574219,5,0.101019287109375,32.326171875,0.7189677696378859,0,5,5,0.0,0.0,0.6,0.0,0.2,0.2,0.0,39,241.98838416862188,104.4919490814209,6,0.100311279296875,38.51953125,0.6525726464999594,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
7,frozen_attentive_ppoclip_seed3,0,NOOP,0.019478,0.0,0.017689,0,39,241.98838416862188,104.4919490814209,6,0.100311279296875,38.51953125,0.6525726464999594,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,49,250.38881978345702,98.1907844543457,7,0.10176522391183036,45.5908203125,0.6445829648715405,0,7,7,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,0.0
8,frozen_attentive_ppoclip_seed3,0,NOOP,0.01951,0.0,0.017396,0,49,250.38881978345702,98.1907844543457,7,0.10176522391183036,45.5908203125,0.6445829648715405,0,7,7,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,0.0,47,264.7830276492435,115.67306518554688,8,0.10254859924316406,52.5048828125,0.6133847483390292,0,8,8,0.0,0.0,0.625,0.0,0.25,0.125,0.0
9,frozen_attentive_ppoclip_seed3,0,NOOP,0.019568,0.0,0.017612,0,47,264.7830276492435,115.67306518554688,8,0.10254859924316406,52.5048828125,0.6133847483390292,0,8,8,0.0,0.0,0.625,0.0,0.25,0.125,0.0,49,290.7420397123149,109.0397834777832,9,0.1034664577907986,59.5966796875,0.6002227484523314,0,9,9,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.1111111111111111,0.0
10,frozen_attentive_ppoclip_seed3,0,NOOP,0.019244,0.0,0.017104,0,49,290.7420397123149,109.0397834777832,9,0.1034664577907986,59.5966796875,0.6002227484523314,0,9,9,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.1111111111111111,0.0,37,219.43467336328146,119.52853202819824,10,0.10247039794921875,65.5810546875,0.600729140772322,0,10,10,0.0,0.0,0.7,0.0,0.2,0.1,0.0
11,frozen_attentive_ppoclip_seed3,0,NOOP,0.019301,0.0,0.017203,0,37,219.43467336328146,119.52853202819824,10,0.10247039794921875,65.5810546875,0.600729140772322,0,10,10,0.0,0.0,0.7,0.0,0.2,0.1,0.0,50,296.7905916983909,118.6373233795166,11,0.10338107022372159,72.7802734375,0.6017922999498596,0,11,11,0.0,0.0,0.7272727272727273,0.0,0.18181818181818182,0.09090909090909091,0.0
