step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,frozen_ddqn_seed2,0,NOOP,0.018118,0.0,0.016322,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,238.37657814187241,91.08805656433105,1,0.091217041015625,5.837890625,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,frozen_ddqn_seed2,0,NOOP,0.018845,0.0,0.017113,0,35,238.37657814187241,91.08805656433105,1,0.091217041015625,5.837890625,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,212.1466070895458,89.10608291625977,2,0.0954742431640625,12.220703125,0.3853179530293882,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,frozen_ddqn_seed2,0,NOOP,0.018727,0.0,0.017696,0,41,212.1466070895458,89.10608291625977,2,0.0954742431640625,12.220703125,0.3853179530293882,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39,206.5311776774723,55.316925048828125,3,0.09550984700520833,18.337890625,0.2724895211634389,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
4,frozen_ddqn_seed2,0,NOOP,0.018811,0.0,0.015504,0,39,206.5311776774723,55.316925048828125,3,0.09550984700520833,18.337890625,0.2724895211634389,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,41,206.4056614190996,170.33839225769043,4,0.09655380249023438,24.7177734375,0.25953101556022096,0,4,4,0.0,0.0,0.5,0.0,0.25,0.0,0.25
5,frozen_ddqn_seed2,0,NOOP,0.018422,0.0,0.016123,0,41,206.4056614190996,170.33839225769043,4,0.09655380249023438,24.7177734375,0.25953101556022096,0,4,4,0.0,0.0,0.5,0.0,0.25,0.0,0.25,34,151.3369655421252,121.16360664367676,5,0.095233154296875,30.474609375,0.29366080370566416,0,5,5,0.0,0.0,0.6,0.0,0.2,0.0,0.2
6,frozen_ddqn_seed2,0,NOOP,0.018701,0.0,0.017399,0,34,151.3369655421252,121.16360664367676,5,0.095233154296875,30.474609375,0.29366080370566416,0,5,5,0.0,0.0,0.6,0.0,0.2,0.0,0.2,47,275.8634370788734,72.58462905883789,6,0.09725443522135417,37.345703125,0.411578016942047,0,6,6,0.0,0.0,0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
7,frozen_ddqn_seed2,0,NOOP,0.01881,0.0,0.016542,0,47,275.8634370788734,72.58462905883789,6,0.09725443522135417,37.345703125,0.411578016942047,0,6,6,0.0,0.0,0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,46,276.33666619402203,122.15232849121094,7,0.09842572893415179,44.0947265625,0.4248525240752098,0,7,7,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,frozen_ddqn_seed2,0,NOOP,0.018707,0.0,0.016373,0,46,276.33666619402203,122.15232849121094,7,0.09842572893415179,44.0947265625,0.4248525240752098,0,7,7,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,41,222.8483027181132,126.73640251159668,8,0.09853744506835938,50.451171875,0.3938565237707634,0,8,8,0.0,0.0,0.625,0.0,0.125,0.125,0.125
9,frozen_ddqn_seed2,0,NOOP,0.018643,0.0,0.016602,0,41,222.8483027181132,126.73640251159668,8,0.09853744506835938,50.451171875,0.3938565237707634,0,8,8,0.0,0.0,0.625,0.0,0.125,0.125,0.125,43,218.32851373730134,113.29936981201172,9,0.09884134928385417,56.9326171875,0.3730110830342796,0,9,9,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
10,frozen_ddqn_seed2,0,NOOP,0.018252,0.0,0.015982,0,43,218.32851373730134,113.29936981201172,9,0.09884134928385417,56.9326171875,0.3730110830342796,0,9,9,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,31,179.95400097157653,126.02734565734863,10,0.09751129150390625,62.4072265625,0.4428747126272424,0,10,10,0.0,0.0,0.7,0.0,0.1,0.1,0.1
