step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,frozen_greedy_mlp_ppo_seed2,0,NOOP,0.017005,0.0,0.016152,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,207.8203477007223,43.900251388549805,1,0.0856475830078125,5.4814453125,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,frozen_greedy_mlp_ppo_seed2,0,NOOP,0.018784,0.0,0.017278,0,31,207.8203477007223,43.900251388549805,1,0.0856475830078125,5.4814453125,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45,263.30436772052394,77.81124114990234,2,0.0951690673828125,12.181640625,0.8617863895711048,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0
3,frozen_greedy_mlp_ppo_seed2,0,NOOP,0.019799,0.0,0.018108,0,45,263.30436772052394,77.81124114990234,2,0.0951690673828125,12.181640625,0.8617863895711048,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,50,288.410638376876,88.2880687713623,3,0.10087076822916667,19.3671875,0.8779597406331846,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
4,frozen_greedy_mlp_ppo_seed2,0,NOOP,0.018849,0.0,0.017729,0,50,288.410638376876,88.2880687713623,3,0.10087076822916667,19.3671875,0.8779597406331846,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,30,152.56212315388598,60.98127365112305,4,0.09674453735351562,24.7666015625,0.8904077365292365,0,4,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0
5,frozen_greedy_mlp_ppo_seed2,0,NOOP,0.018854,0.0,0.017698,0,30,152.56212315388598,60.98127365112305,4,0.09674453735351562,24.7666015625,0.8904077365292365,0,4,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0,42,235.632534697328,64.0866756439209,5,0.0973968505859375,31.1669921875,0.7767457434982985,0,5,5,0.0,0.0,0.4,0.4,0.0,0.2,0.0
6,frozen_greedy_mlp_ppo_seed2,0,NOOP,0.01862,0.0,0.016526,0,42,235.632534697328,64.0866756439209,5,0.0973968505859375,31.1669921875,0.7767457434982985,0,5,5,0.0,0.0,0.4,0.4,0.0,0.2,0.0,37,216.9210838978052,112.1971607208252,6,0.09685007731119792,37.1904296875,0.7000103041480837,0,6,6,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0
7,frozen_greedy_mlp_ppo_seed2,0,NOOP,0.018212,0.0,0.01634,0,37,216.9210838978052,112.1971607208252,6,0.09685007731119792,37.1904296875,0.7000103041480837,0,6,6,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,32,188.04427283273276,102.35404968261719,7,0.09543500627790179,42.7548828125,0.6824653207594131,0,7,7,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.0
8,frozen_greedy_mlp_ppo_seed2,0,NOOP,0.018023,0.0,0.016175,0,32,188.04427283273276,102.35404968261719,7,0.09543500627790179,42.7548828125,0.6824653207594131,0,7,7,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.0,36,221.47880039544825,102.36930847167969,8,0.09511375427246094,48.6982421875,0.634510580952687,0,8,8,0.0,0.0,0.625,0.25,0.0,0.125,0.0
9,frozen_greedy_mlp_ppo_seed2,0,NOOP,0.018183,0.0,0.01668,0,36,221.47880039544825,102.36930847167969,8,0.09511375427246094,48.6982421875,0.634510580952687,0,8,8,0.0,0.0,0.625,0.25,0.0,0.125,0.0,47,285.49415709020343,86.4248275756836,9,0.09654066297743055,55.607421875,0.653709297088205,0,9,9,0.0,0.0,0.5555555555555556,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111
10,frozen_greedy_mlp_ppo_seed2,0,NOOP,0.017976,0.0,0.015709,0,47,285.49415709020343,86.4248275756836,9,0.09654066297743055,55.607421875,0.653709297088205,0,9,9,0.0,0.0,0.5555555555555556,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,36,162.34496772882537,125.86545944213867,10,0.09613037109375,61.5234375,0.6218916847636129,0,10,10,0.0,0.0,0.5,0.2,0.1,0.1,0.1
