step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,frozen_mlp_ppo_seed5,0,NOOP,0.021469,0.0,0.020622,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,293.97193482676244,43.59936714172363,1,0.10797119140625,6.91015625,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,frozen_mlp_ppo_seed5,0,NOOP,0.020783,0.0,0.019792,0,47,293.97193482676244,43.59936714172363,1,0.10797119140625,6.91015625,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43,252.28719785138765,52.01983451843262,2,0.10516357421875,13.4609375,0.2541164994889155,0,2,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5
3,frozen_mlp_ppo_seed5,0,NOOP,0.021027,0.0,0.020136,0,43,252.28719785138765,52.01983451843262,2,0.10516357421875,13.4609375,0.2541164994889155,0,2,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,49,266.595879145112,48.32029342651367,3,0.1070098876953125,20.5458984375,0.2723524089406255,0,3,3,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
4,frozen_mlp_ppo_seed5,0,NOOP,0.02046,0.0,0.01901,0,49,266.595879145112,48.32029342651367,3,0.1070098876953125,20.5458984375,0.2723524089406255,0,3,3,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,40,224.53026843715455,77.53610610961914,4,0.10480117797851562,26.8291015625,0.3596918671776739,0,4,4,0.0,0.0,0.0,0.25,0.25,0.0,0.5
5,frozen_mlp_ppo_seed5,0,NOOP,0.02001,0.0,0.018795,0,40,224.53026843715455,77.53610610961914,4,0.10480117797851562,26.8291015625,0.3596918671776739,0,4,4,0.0,0.0,0.0,0.25,0.25,0.0,0.5,39,225.73765347339426,66.99967384338379,5,0.1031768798828125,33.0166015625,0.3886733472019857,0,5,5,0.0,0.0,0.0,0.4,0.2,0.0,0.4
6,frozen_mlp_ppo_seed5,0,NOOP,0.019703,0.0,0.018751,0,39,225.73765347339426,66.99967384338379,5,0.1031768798828125,33.0166015625,0.3886733472019857,0,5,5,0.0,0.0,0.0,0.4,0.2,0.0,0.4,39,219.8934474711519,55.11903762817383,6,0.10226694742838542,39.2705078125,0.37576846750663095,0,6,6,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5
7,frozen_mlp_ppo_seed5,0,NOOP,0.01926,0.0,0.018039,0,39,219.8934474711519,55.11903762817383,6,0.10226694742838542,39.2705078125,0.37576846750663095,0,6,6,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5,35,185.55301636095214,69.78535652160645,7,0.10067313058035714,45.1015625,0.43646579913363237,0,7,7,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855
8,frozen_mlp_ppo_seed5,0,NOOP,0.01899,0.0,0.017744,0,35,185.55301636095214,69.78535652160645,7,0.10067313058035714,45.1015625,0.43646579913363237,0,7,7,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,38,218.4772891764448,72.30186462402344,8,0.09995079040527344,51.1748046875,0.42471790648774715,0,8,8,0.0,0.0,0.0,0.375,0.125,0.125,0.375
9,frozen_mlp_ppo_seed5,0,NOOP,0.018602,0.0,0.016223,0,38,218.4772891764448,72.30186462402344,8,0.09995079040527344,51.1748046875,0.42471790648774715,0,8,8,0.0,0.0,0.0,0.375,0.125,0.125,0.375,33,183.27767331740827,130.22828102111816,9,0.0986362033420139,56.814453125,0.47068382072347403,0,9,9,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.3333333333333333
10,frozen_mlp_ppo_seed5,0,NOOP,0.018569,0.0,0.016487,0,33,183.27767331740827,130.22828102111816,9,0.0986362033420139,56.814453125,0.47068382072347403,0,9,9,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.3333333333333333,43,208.9147649413005,116.58191680908203,10,0.0990936279296875,63.419921875,0.4533185406683623,0,10,10,0.0,0.0,0.1,0.4,0.1,0.1,0.3
