step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.016733,0.0,-0.005612,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,8.172890016605054,1118.5193061828613,1,0.08428955078125,5.39453125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.018697,0.0,0.011284,0,30,8.172890016605054,1118.5193061828613,1,0.08428955078125,5.39453125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45,83.088065292898,373.1517791748047,2,0.09473419189453125,12.1259765625,0.9453409994574058,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.018899,0.0,0.009901,0,45,83.088065292898,373.1517791748047,2,0.09473419189453125,12.1259765625,0.9453409994574058,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,108.39921382636858,453.61995697021484,3,0.09636942545572917,18.5029296875,0.6925985684347638,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
4,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.01827,0.0,0.011775,0,41,108.39921382636858,453.61995697021484,3,0.09636942545572917,18.5029296875,0.6925985684347638,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,31,106.4493613370251,329.7255039215088,4,0.09384918212890625,24.025390625,0.6510454915252227,0,4,4,0.0,0.0,0.75,0.0,0.0,0.25,0.0
5,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.018066,0.0,0.009552,0,31,106.4493613370251,329.7255039215088,4,0.09384918212890625,24.025390625,0.6510454915252227,0,4,4,0.0,0.0,0.75,0.0,0.0,0.25,0.0,36,135.72396237354104,431.9605827331543,5,0.0934539794921875,29.9052734375,0.5666514319821592,0,5,5,0.0,0.0,0.8,0.0,0.0,0.2,0.0
6,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.018056,0.0,0.012721,0,36,135.72396237354104,431.9605827331543,5,0.0934539794921875,29.9052734375,0.5666514319821592,0,5,5,0.0,0.0,0.8,0.0,0.0,0.2,0.0,40,121.24640012603624,274.26910400390625,6,0.09403228759765625,36.1083984375,0.5148730719730058,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
7,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.018317,0.0,0.013548,0,40,121.24640012603624,274.26910400390625,6,0.09403228759765625,36.1083984375,0.5148730719730058,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,47,171.10618216221613,247.15828895568848,7,0.09595816476004464,42.9892578125,0.5720633092264067,0,7,7,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.14285714285714285
8,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.017894,0.0,0.007257,0,47,171.10618216221613,247.15828895568848,7,0.09595816476004464,42.9892578125,0.5720633092264067,0,7,7,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.14285714285714285,30,112.6319247456298,541.8369770050049,8,0.09447097778320312,48.369140625,0.5941206270078573,0,8,8,0.0,0.0,0.5,0.0,0.125,0.25,0.125
9,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.017812,0.0,0.011728,0,30,112.6319247456298,541.8369770050049,8,0.09447097778320312,48.369140625,0.5941206270078573,0,8,8,0.0,0.0,0.5,0.0,0.125,0.25,0.125,39,156.2115444117209,315.446138381958,9,0.0946841769748264,54.5380859375,0.5572544453867976,0,9,9,0.0,0.0,0.5555555555555556,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111
10,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.017755,0.0,0.012223,0,39,156.2115444117209,315.446138381958,9,0.0946841769748264,54.5380859375,0.5572544453867976,0,9,9,0.0,0.0,0.5555555555555556,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,40,159.51547927713617,289.0903949737549,10,0.0950225830078125,60.814453125,0.5298297722268706,0,10,10,0.0,0.0,0.6,0.0,0.1,0.2,0.1
11,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.017507,0.0,0.012176,0,40,159.51547927713617,289.0903949737549,10,0.0950225830078125,60.814453125,0.5298297722268706,0,10,10,0.0,0.0,0.6,0.0,0.1,0.2,0.1,33,132.2283721752256,280.2598476409912,11,0.09440751509232954,66.462890625,0.5193194569742223,0,11,11,0.0,0.0,0.6363636363636364,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091
12,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.017561,0.0,0.011185,0,33,132.2283721752256,280.2598476409912,11,0.09440751509232954,66.462890625,0.5193194569742223,0,11,11,0.0,0.0,0.6363636363636364,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,45,182.6465721291836,333.8186740875244,12,0.0953051249186198,73.1943359375,0.5336451197992824,0,12,12,0.0,0.0,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333
13,MultiAgentRL_ddqn_oracleseed,0,NOOP,0.01726,0.0,0.010151,0,45,182.6465721291836,333.8186740875244,12,0.0953051249186198,73.1943359375,0.5336451197992824,0,12,12,0.0,0.0,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,30,116.52635497678347,371.7050552368164,13,0.09442490797776443,78.5615234375,0.5498193088350205,0,13,13,0.0,0.0,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693
