step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,Periodic10_COMPACT_64KB,0,NOOP,0.032666,0.0,0.01442,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,149.0185393058827,181.5042495727539,1,0.093902587890625,6.009765625,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Periodic10_COMPACT_64KB,0,NOOP,0.034607,0.0,0.016332,0,37,149.0185393058827,181.5042495727539,1,0.093902587890625,6.009765625,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46,161.57742213735983,146.67534828186035,2,0.1000213623046875,12.802734375,0.5538082407339953,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,Periodic10_COMPACT_64KB,0,NOOP,0.035481,0.0,0.017577,0,46,161.57742213735983,146.67534828186035,2,0.1000213623046875,12.802734375,0.5538082407339953,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,206.5616915096198,114.24922943115234,3,0.10308837890625,19.79296875,0.5185942266587896,0,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,Periodic10_COMPACT_64KB,0,NOOP,0.034342,0.0,0.016468,0,48,206.5616915096198,114.24922943115234,3,0.10308837890625,19.79296875,0.5185942266587896,0,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,159.55979465763238,133.44049453735352,4,0.10040664672851562,25.7041015625,0.5450889121740502,0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,Periodic10_COMPACT_64KB,0,NOOP,0.034239,0.0,0.015198,0,36,159.55979465763238,133.44049453735352,4,0.10040664672851562,25.7041015625,0.5450889121740502,0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,155.92531702914212,184.86690521240234,5,0.10068359375,32.21875,0.47372170154933674,0,5,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,Periodic10_COMPACT_64KB,0,NOOP,0.03448,0.0,0.0157,0,43,155.92531702914212,184.86690521240234,5,0.10068359375,32.21875,0.47372170154933674,0,5,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,106.73841990745257,168.80106925964355,6,0.1019439697265625,39.146484375,0.46751464820801336,0,6,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,Periodic10_COMPACT_64KB,0,NOOP,0.033746,0.0,0.014811,0,48,106.73841990745257,168.80106925964355,6,0.1019439697265625,39.146484375,0.46751464820801336,0,6,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35,146.12030386520362,188.4467601776123,7,0.10041591099330358,44.986328125,0.4990888649914551,0,7,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,Periodic10_COMPACT_64KB,0,NOOP,0.033872,0.0,0.01482,0,35,146.12030386520362,188.4467601776123,7,0.10041591099330358,44.986328125,0.4990888649914551,0,7,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47,182.64455649009287,190.71507453918457,8,0.101348876953125,51.890625,0.4919629612005561,0,8,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,Periodic10_COMPACT_64KB,0,NOOP,0.033438,0.0,0.01482,0,47,182.64455649009287,190.71507453918457,8,0.101348876953125,51.890625,0.4919629612005561,0,8,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38,155.34958921680717,179.5947551727295,9,0.10067918565538195,57.9912109375,0.4778149377186728,0,9,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,Periodic10_COMPACT_64KB,2,COMPACT_64KB,0.027499,-0.075,0.121022,0,38,155.34958921680717,179.5947551727295,9,0.10067918565538195,57.9912109375,0.4778149377186728,0,9,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45,171.2314927712942,78.1545639038086,1,0.6148529052734375,39.3505859375,0.0,0,0,10,0.0,0.0,0.9,0.1,0.0,0.0,0.0
11,Periodic10_COMPACT_64KB,0,NOOP,0.123306,0.0,0.067737,0,45,171.2314927712942,78.1545639038086,1,0.6148529052734375,39.3505859375,0.0,0,0,10,0.0,0.0,0.9,0.1,0.0,0.0,0.0,35,111.17950488983205,115.81039428710938,2,0.35344696044921875,45.2412109375,23.65976527714324,0,1,11,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0
12,Periodic10_COMPACT_64KB,0,NOOP,0.092549,0.0,0.050088,0,35,111.17950488983205,115.81039428710938,2,0.35344696044921875,45.2412109375,23.65976527714324,0,1,11,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0,35,126.90630068017332,118.49045753479004,3,0.2661387125651042,51.0986328125,19.32770950088705,0,2,12,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0
13,Periodic10_COMPACT_64KB,0,NOOP,0.076764,0.0,0.041581,0,35,126.90630068017332,118.49045753479004,3,0.2661387125651042,51.0986328125,19.32770950088705,0,2,12,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,33,140.5311004638951,96.04859352111816,4,0.22161102294921875,56.732421875,16.778707973569023,0,3,13,0.0,0.0,0.7692307692307693,0.23076923076923078,0.0,0.0,0.0
14,Periodic10_COMPACT_64KB,0,NOOP,0.068905,0.0,0.034546,0,33,140.5311004638951,96.04859352111816,4,0.22161102294921875,56.732421875,16.778707973569023,0,3,13,0.0,0.0,0.7692307692307693,0.23076923076923078,0.0,0.0,0.0,50,222.7803780511901,204.61177825927734,5,0.1997283935546875,63.9130859375,14.864407760698858,0,4,14,0.0,0.0,0.7857142857142857,0.21428571428571427,0.0,0.0,0.0
15,Periodic10_COMPACT_64KB,0,NOOP,0.063339,0.0,0.032058,0,50,222.7803780511901,204.61177825927734,5,0.1997283935546875,63.9130859375,14.864407760698858,0,4,14,0.0,0.0,0.7857142857142857,0.21428571428571427,0.0,0.0,0.0,47,225.06614787769183,174.47280883789062,6,0.18439737955729166,70.80859375,13.510619425471521,0,5,15,0.0,0.0,0.8,0.2,0.0,0.0,0.0
16,Periodic10_COMPACT_64KB,0,NOOP,0.059295,0.0,0.029476,0,47,225.06614787769183,174.47280883789062,6,0.18439737955729166,70.80859375,13.510619425471521,0,5,15,0.0,0.0,0.8,0.2,0.0,0.0,0.0,47,212.67385532563114,185.6694221496582,7,0.17341395786830358,77.689453125,12.472886337846218,0,6,16,0.0,0.0,0.8125,0.1875,0.0,0.0,0.0
17,Periodic10_COMPACT_64KB,0,NOOP,0.056144,0.0,0.029351,0,47,212.67385532563114,185.6694221496582,7,0.17341395786830358,77.689453125,12.472886337846218,0,6,16,0.0,0.0,0.8125,0.1875,0.0,0.0,0.0,46,200.0070325587567,113.39378356933594,8,0.16498184204101562,84.470703125,11.648090754683718,0,7,17,0.0,0.0,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0
18,Periodic10_COMPACT_64KB,0,NOOP,0.053524,0.0,0.026336,0,46,200.0070325587567,113.39378356933594,8,0.16498184204101562,84.470703125,11.648090754683718,0,7,17,0.0,0.0,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,44,214.33136170267127,177.9806613922119,9,0.1580691867404514,91.0478515625,10.9763293017153,0,8,18,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0
19,Periodic10_COMPACT_64KB,0,NOOP,0.051404,0.0,0.024483,0,44,214.33136170267127,177.9806613922119,9,0.1580691867404514,91.0478515625,10.9763293017153,0,8,18,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,44,182.76142101817916,204.99587059020996,10,0.152581787109375,97.65234375,10.40800313352003,0,9,19,0.0,0.0,0.7894736842105263,0.21052631578947367,0.0,0.0,0.0
20,Periodic10_COMPACT_64KB,2,COMPACT_64KB,0.024879,-0.075,0.118644,0,44,182.76142101817916,204.99587059020996,10,0.152581787109375,97.65234375,10.40800313352003,0,9,19,0.0,0.0,0.7894736842105263,0.21052631578947367,0.0,0.0,0.0,31,163.03530081490425,115.44656753540039,2,0.607940673828125,77.81640625,16.18473509516631,0,0,20,0.0,0.0,0.75,0.2,0.0,0.05,0.0
21,Periodic10_COMPACT_64KB,0,NOOP,0.153687,0.0,0.084296,0,31,163.03530081490425,115.44656753540039,2,0.607940673828125,77.81640625,16.18473509516631,0,0,20,0.0,0.0,0.75,0.2,0.0,0.05,0.0,46,183.30877409670032,149.71518516540527,3,0.4408213297526042,84.6376953125,21.775280550854927,0,1,21,0.0,0.0,0.75,0.2,0.0,0.05,0.0
22,Periodic10_COMPACT_64KB,0,NOOP,0.122535,0.0,0.067343,0,46,183.30877409670032,149.71518516540527,3,0.4408213297526042,84.6376953125,21.775280550854927,0,1,21,0.0,0.0,0.75,0.2,0.0,0.05,0.0,32,149.52239141841466,112.89215087890625,4,0.352386474609375,90.2109375,21.07707991105277,0,2,22,0.0,0.0,0.75,0.2,0.0,0.05,0.0
23,Periodic10_COMPACT_64KB,0,NOOP,0.104632,0.0,0.058161,0,32,149.52239141841466,112.89215087890625,4,0.352386474609375,90.2109375,21.07707991105277,0,2,22,0.0,0.0,0.75,0.2,0.0,0.05,0.0,41,214.77391137099937,67.5044059753418,5,0.301806640625,96.578125,19.636111089297763,0,3,23,0.0,0.0,0.7,0.2,0.0,0.05,0.05
24,Periodic10_COMPACT_64KB,0,NOOP,0.092274,0.0,0.049569,0,41,214.77391137099937,67.5044059753418,5,0.301806640625,96.578125,19.636111089297763,0,3,23,0.0,0.0,0.7,0.2,0.0,0.05,0.05,37,165.09072959839324,132.62224197387695,6,0.2670694986979167,102.5546875,18.387946732360987,0,4,24,0.0,0.0,0.7,0.2,0.0,0.05,0.05
