step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,Threshold20_C64,0,NOOP,0.03124,0.0,0.016005,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,173.51657946608913,78.69410514831543,1,0.0898284912109375,5.7490234375,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Threshold20_C64,0,NOOP,0.032685,0.0,0.016636,0,34,173.51657946608913,78.69410514831543,1,0.0898284912109375,5.7490234375,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,187.26569690581096,86.55118942260742,2,0.0945281982421875,12.099609375,0.4253689230575325,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0
3,Threshold20_C64,0,NOOP,0.032745,0.0,0.016335,0,41,187.26569690581096,86.55118942260742,2,0.0945281982421875,12.099609375,0.4253689230575325,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,39,145.50393874486753,100.4636287689209,3,0.09527079264322917,18.2919921875,0.3118421624172519,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
4,Threshold20_C64,0,NOOP,0.03279,0.0,0.016213,0,39,145.50393874486753,100.4636287689209,3,0.09527079264322917,18.2919921875,0.3118421624172519,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,40,207.816536171404,106.3222885131836,4,0.09597015380859375,24.568359375,0.269896034663685,0,4,4,0.0,0.0,0.75,0.0,0.0,0.25,0.0
5,Threshold20_C64,0,NOOP,0.032743,0.0,0.015715,0,40,207.816536171404,106.3222885131836,4,0.09597015380859375,24.568359375,0.269896034663685,0,4,4,0.0,0.0,0.75,0.0,0.0,0.25,0.0,40,206.70658564592358,126.07407569885254,5,0.0964080810546875,30.8505859375,0.24199289686639372,0,5,5,0.0,0.0,0.8,0.0,0.0,0.2,0.0
6,Threshold20_C64,0,NOOP,0.033441,0.0,0.016916,0,40,206.70658564592358,126.07407569885254,5,0.0964080810546875,30.8505859375,0.24199289686639372,0,5,5,0.0,0.0,0.8,0.0,0.0,0.2,0.0,50,271.1646303855638,91.21537208557129,6,0.09897359212239583,38.005859375,0.4567317840111871,0,6,6,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0
7,Threshold20_C64,0,NOOP,0.032996,0.0,0.014918,0,50,271.1646303855638,91.21537208557129,6,0.09897359212239583,38.005859375,0.4567317840111871,0,6,6,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,37,170.9578909913711,165.5120849609375,7,0.09827314104352679,44.0263671875,0.43347894367045636,0,7,7,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.0
8,Threshold20_C64,0,NOOP,0.033156,0.0,0.015644,0,37,170.9578909913711,165.5120849609375,7,0.09827314104352679,44.0263671875,0.43347894367045636,0,7,7,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.0,46,243.52892677773303,137.8304958343506,8,0.09930229187011719,50.8427734375,0.44245546743404024,0,8,8,0.0,0.0,0.625,0.125,0.125,0.125,0.0
9,Threshold20_C64,0,NOOP,0.032546,0.0,0.014939,0,46,243.52892677773303,137.8304958343506,8,0.09930229187011719,50.8427734375,0.44245546743404024,0,8,8,0.0,0.0,0.625,0.125,0.125,0.125,0.0,33,183.07719127919358,152.6803970336914,9,0.09813096788194445,56.5234375,0.47103438234384054,0,9,9,0.0,0.0,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0
10,Threshold20_C64,0,NOOP,0.032663,0.0,0.016626,0,33,183.07719127919358,152.6803970336914,9,0.09813096788194445,56.5234375,0.47103438234384054,0,9,9,0.0,0.0,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,47,257.871629479148,82.77177810668945,10,0.09903717041015625,63.3837890625,0.48047608298449423,0,10,10,0.0,0.0,0.5,0.1,0.2,0.1,0.1
11,Threshold20_C64,0,NOOP,0.03204,0.0,0.014719,0,47,257.871629479148,82.77177810668945,10,0.09903717041015625,63.3837890625,0.48047608298449423,0,10,10,0.0,0.0,0.5,0.1,0.2,0.1,0.1,31,166.00776521027478,148.79226684570312,11,0.09782964533025568,68.8720703125,0.5229421106264541,0,11,11,0.0,0.0,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
12,Threshold20_C64,0,NOOP,0.031473,0.0,0.014287,0,31,166.00776521027478,148.79226684570312,11,0.09782964533025568,68.8720703125,0.5229421106264541,0,11,11,0.0,0.0,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,31,172.18977191614016,152.93073654174805,12,0.09677886962890625,74.326171875,0.5503434015555984,0,12,12,0.0,0.0,0.5833333333333334,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
13,Threshold20_C64,0,NOOP,0.031259,0.0,0.015467,0,31,172.18977191614016,152.93073654174805,12,0.09677886962890625,74.326171875,0.5503434015555984,0,12,12,0.0,0.0,0.5833333333333334,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,39,215.7930955330323,96.70090675354004,13,0.09674072265625,80.48828125,0.5269872143019022,0,13,13,0.0,0.0,0.5384615384615384,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.15384615384615385
14,Threshold20_C64,0,NOOP,0.031318,0.0,0.015546,0,39,215.7930955330323,96.70090675354004,13,0.09674072265625,80.48828125,0.5269872143019022,0,13,13,0.0,0.0,0.5384615384615384,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.15384615384615385,46,254.98569242277264,94.28858757019043,14,0.09747968401227679,87.341796875,0.5363452981811541,0,14,14,0.0,0.0,0.5,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427
15,Threshold20_C64,0,NOOP,0.030803,0.0,0.013431,0,46,254.98569242277264,94.28858757019043,14,0.09747968401227679,87.341796875,0.5363452981811541,0,14,14,0.0,0.0,0.5,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427,30,163.0812897807466,171.8592643737793,15,0.09658101399739584,92.7177734375,0.5627949098000837,0,15,15,0.0,0.0,0.5333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.2
