step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,WorkloadAwareThreshold,0,NOOP,0.033531,0.0,0.017352,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,203.3853657167139,77.06308364868164,1,0.09637451171875,6.16796875,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,WorkloadAwareThreshold,0,NOOP,0.032888,0.0,0.017289,0,38,203.3853657167139,77.06308364868164,1,0.09637451171875,6.16796875,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37,187.2561073611711,63.547372817993164,2,0.0951080322265625,12.173828125,0.11462863835641297,0,2,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0
3,WorkloadAwareThreshold,0,NOOP,0.033453,0.0,0.017324,0,37,187.2561073611711,63.547372817993164,2,0.0951080322265625,12.173828125,0.11462863835641297,0,2,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,43,205.81077808778807,75.4244327545166,3,0.09729512532552083,18.6806640625,0.25563252805585573,0,3,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
4,WorkloadAwareThreshold,0,NOOP,0.034437,0.0,0.017752,0,43,205.81077808778807,75.4244327545166,3,0.09729512532552083,18.6806640625,0.25563252805585573,0,3,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,49,187.4332158080879,80.73878288269043,4,0.100677490234375,25.7734375,0.4806294986429987,0,4,4,0.0,0.0,0.5,0.5,0.0,0.0,0.0
5,WorkloadAwareThreshold,0,NOOP,0.034993,0.0,0.01866,0,49,187.4332158080879,80.73878288269043,4,0.100677490234375,25.7734375,0.4806294986429987,0,4,4,0.0,0.0,0.5,0.5,0.0,0.0,0.0,50,292.83983785361306,54.973602294921875,5,0.102838134765625,32.908203125,0.5185190996792477,0,5,5,0.0,0.0,0.4,0.4,0.0,0.0,0.2
6,WorkloadAwareThreshold,0,NOOP,0.034541,0.0,0.017325,0,50,292.83983785361306,54.973602294921875,5,0.102838134765625,32.908203125,0.5185190996792477,0,5,5,0.0,0.0,0.4,0.4,0.0,0.0,0.2,41,265.83653429960054,100.63338279724121,6,0.10211690266927083,39.212890625,0.4773609580743064,0,6,6,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666
7,WorkloadAwareThreshold,0,NOOP,0.034743,0.0,0.017308,0,41,265.83653429960054,100.63338279724121,6,0.10211690266927083,39.212890625,0.4773609580743064,0,6,6,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,48,256.66120860880716,105.84712028503418,7,0.10326494489397321,46.2626953125,0.47716275365379257,0,7,7,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.14285714285714285
8,WorkloadAwareThreshold,0,NOOP,0.034236,0.0,0.017464,0,48,256.66120860880716,105.84712028503418,7,0.10326494489397321,46.2626953125,0.47716275365379257,0,7,7,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.14285714285714285,38,216.88673098643298,86.30895614624023,8,0.10238838195800781,52.4228515625,0.46939926595586934,0,8,8,0.0,0.0,0.5,0.25,0.0,0.125,0.125
9,WorkloadAwareThreshold,0,NOOP,0.033634,0.0,0.015662,0,38,216.88673098643298,86.30895614624023,8,0.10238838195800781,52.4228515625,0.46939926595586934,0,8,8,0.0,0.0,0.5,0.25,0.0,0.125,0.125,36,191.34404557942437,148.3454704284668,9,0.10124037000868055,58.314453125,0.49130228624461336,0,9,9,0.0,0.0,0.4444444444444444,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111
10,WorkloadAwareThreshold,0,NOOP,0.0337,0.0,0.016144,0,36,191.34404557942437,148.3454704284668,9,0.10124037000868055,58.314453125,0.49130228624461336,0,9,9,0.0,0.0,0.4444444444444444,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,47,249.2613009030607,128.83448600769043,10,0.10200042724609375,65.2802734375,0.4880780935876259,0,10,10,0.0,0.0,0.4,0.2,0.1,0.2,0.1
11,WorkloadAwareThreshold,2,COMPACT_64KB,-0.063128,-0.075,0.069561,0,47,249.2613009030607,128.83448600769043,10,0.10200042724609375,65.2802734375,0.4880780935876259,0,10,10,0.0,0.0,0.4,0.2,0.1,0.2,0.1,37,236.68262656611026,63.74979019165039,2,0.3564910888671875,45.630859375,18.007744765412877,0,0,11,0.0,0.0,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091
12,WorkloadAwareThreshold,0,NOOP,0.092873,0.0,0.051064,0,37,236.68262656611026,63.74979019165039,2,0.3564910888671875,45.630859375,18.007744765412877,0,0,11,0.0,0.0,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,33,186.7835563790351,84.6102237701416,3,0.2670644124348958,51.2763671875,16.13716749719919,0,1,12,0.0,0.0,0.5,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333
13,WorkloadAwareThreshold,0,NOOP,0.077763,0.0,0.042413,0,33,186.7835563790351,84.6102237701416,3,0.2670644124348958,51.2763671875,16.13716749719919,0,1,12,0.0,0.0,0.5,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,39,240.23488635762834,84.84315872192383,4,0.22446441650390625,57.462890625,14.259679942005766,0,2,13,0.0,0.0,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693
