tag,seed,arch,specialist,algorithm,advantage_treatment,class_balance,n_train_samples,trainable_params,approx_gradient_updates,wall_clock_sec,final_loss,gpu,platform,tf_version,timestamp
compaction_attentive_ppo_seed1,1,attentive_ppo,compaction,awr_balanced,per_action_zscore,balanced_action_sampling,17000,84741,39750,116.8,0.77766295385604,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:23:13
partition_attentive_ppo_seed1,1,attentive_ppo,partition,awr_balanced,per_action_zscore,balanced_action_sampling,4990,85830,15400,43.4,0.6682550929210804,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:23:56
compaction_mlp_ppo_seed1,1,mlp_ppo,compaction,offline_ppo_clip_balanced,per_action_zscore,balanced_action_sampling,17000,70469,39750,76.9,0.13031259498425893,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:25:13
partition_mlp_ppo_seed1,1,mlp_ppo,partition,offline_ppo_clip_balanced,per_action_zscore,balanced_action_sampling,4990,121734,15400,29.7,-0.27174755103058285,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:25:43
compaction_ddqn_seed1,1,ddqn,compaction,double_dqn_rawQ_balanced,per_action_zscore,balanced_action_sampling,17000,71237,39750,100.0,0.17812527482378848,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:27:23
partition_ddqn_seed1,1,ddqn,partition,double_dqn_rawQ_balanced,per_action_zscore,balanced_action_sampling,4990,122502,15400,39.2,1.8331258870937206,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:28:02
compaction_attentive_ppo_seed2,2,attentive_ppo,compaction,awr_balanced,per_action_zscore,balanced_action_sampling,17000,84741,39750,110.1,0.8038635259988357,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:29:52
partition_attentive_ppo_seed2,2,attentive_ppo,partition,awr_balanced,per_action_zscore,balanced_action_sampling,4990,85830,15400,41.7,0.7659665898040489,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:30:34
compaction_mlp_ppo_seed2,2,mlp_ppo,compaction,offline_ppo_clip_balanced,per_action_zscore,balanced_action_sampling,17000,70469,39750,75.1,0.16957782090128382,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:31:49
partition_mlp_ppo_seed2,2,mlp_ppo,partition,offline_ppo_clip_balanced,per_action_zscore,balanced_action_sampling,4990,121734,15400,29.0,-0.2674194083169655,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:32:18
compaction_ddqn_seed2,2,ddqn,compaction,double_dqn_rawQ_balanced,per_action_zscore,balanced_action_sampling,17000,71237,39750,96.1,0.09913624526590717,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:33:54
partition_ddqn_seed2,2,ddqn,partition,double_dqn_rawQ_balanced,per_action_zscore,balanced_action_sampling,4990,122502,15400,38.5,47.38896734626205,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:34:33
compaction_attentive_ppo_seed3,3,attentive_ppo,compaction,awr_balanced,per_action_zscore,balanced_action_sampling,17000,84741,39750,105.2,0.765416579587119,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:36:18
partition_attentive_ppo_seed3,3,attentive_ppo,partition,awr_balanced,per_action_zscore,balanced_action_sampling,4990,85830,15400,41.4,0.7285967601670159,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:36:59
compaction_mlp_ppo_seed3,3,mlp_ppo,compaction,offline_ppo_clip_balanced,per_action_zscore,balanced_action_sampling,17000,70469,39750,73.7,0.16860982531453578,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:38:13
partition_mlp_ppo_seed3,3,mlp_ppo,partition,offline_ppo_clip_balanced,per_action_zscore,balanced_action_sampling,4990,121734,15400,29.1,-0.2936359045130235,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:38:42
compaction_ddqn_seed3,3,ddqn,compaction,double_dqn_rawQ_balanced,per_action_zscore,balanced_action_sampling,17000,71237,39750,99.2,0.1487468442480479,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:40:21
partition_ddqn_seed3,3,ddqn,partition,double_dqn_rawQ_balanced,per_action_zscore,balanced_action_sampling,4990,122502,15400,38.3,4.3372189203898115,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:41:00
compaction_attentive_ppo_seed4,4,attentive_ppo,compaction,awr_balanced,per_action_zscore,balanced_action_sampling,17000,84741,39750,108.4,0.8578775704515224,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:42:48
partition_attentive_ppo_seed4,4,attentive_ppo,partition,awr_balanced,per_action_zscore,balanced_action_sampling,4990,85830,15400,42.0,0.9374854630894132,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:43:30
compaction_mlp_ppo_seed4,4,mlp_ppo,compaction,offline_ppo_clip_balanced,per_action_zscore,balanced_action_sampling,17000,70469,39750,74.5,0.15087034020154755,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:44:45
partition_mlp_ppo_seed4,4,mlp_ppo,partition,offline_ppo_clip_balanced,per_action_zscore,balanced_action_sampling,4990,121734,15400,29.5,-0.3141206894759779,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:45:14
compaction_ddqn_seed4,4,ddqn,compaction,double_dqn_rawQ_balanced,per_action_zscore,balanced_action_sampling,17000,71237,39750,95.1,0.14847692227637282,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:46:50
partition_ddqn_seed4,4,ddqn,partition,double_dqn_rawQ_balanced,per_action_zscore,balanced_action_sampling,4990,122502,15400,39.1,4817.291059043672,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:47:29
compaction_attentive_ppo_seed5,5,attentive_ppo,compaction,awr_balanced,per_action_zscore,balanced_action_sampling,17000,84741,39750,106.4,0.8527870111319483,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:49:15
partition_attentive_ppo_seed5,5,attentive_ppo,partition,awr_balanced,per_action_zscore,balanced_action_sampling,4990,85830,15400,41.1,0.7229784925778707,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T21:49:56
