tag,seed,arch,specialist,algorithm,n_train_samples,trainable_params,approx_gradient_updates,wall_clock_sec,final_loss,gpu,platform,tf_version,timestamp
compaction_attentive_ppo_seed1,1,attentive_ppo,compaction,awr_returns,14000,84741,32700,215.4,1.9718495998331296,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:06:42
partition_attentive_ppo_seed1,1,attentive_ppo,partition,awr_shaped_balanced,4990,85830,15400,46.0,0.6709166080863388,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:07:29
compaction_mlp_ppo_seed1,1,mlp_ppo,compaction,offline_ppo_clip,14000,70469,16350,79.0,2.3595543394806566,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:08:48
partition_mlp_ppo_seed1,1,mlp_ppo,partition,offline_ppo_clip,4990,121734,5700,31.1,-0.1642105958479292,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:09:19
compaction_ddqn_seed1,1,ddqn,compaction,double_dqn_rawQ,14000,71237,32700,232.5,1.616207976455558,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:13:11
partition_ddqn_seed1,1,ddqn,partition,double_dqn_rawQ,4990,122502,11550,85.8,21176.59688436374,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:14:37
compaction_attentive_ppo_seed2,2,attentive_ppo,compaction,awr_returns,14000,84741,32700,211.4,2.1767107232283522,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:18:09
partition_attentive_ppo_seed2,2,attentive_ppo,partition,awr_shaped_balanced,4990,85830,15400,45.4,0.7524648838573031,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:18:54
compaction_mlp_ppo_seed2,2,mlp_ppo,compaction,offline_ppo_clip,14000,70469,16350,78.2,2.397926180593429,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:20:12
partition_mlp_ppo_seed2,2,mlp_ppo,partition,offline_ppo_clip,4990,121734,5700,31.6,-0.1823456129333114,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:20:44
compaction_ddqn_seed2,2,ddqn,compaction,double_dqn_rawQ,14000,71237,32700,232.1,1.3386169670651493,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:24:36
partition_ddqn_seed2,2,ddqn,partition,double_dqn_rawQ,4990,122502,11550,86.9,85.57995412288568,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:26:03
compaction_attentive_ppo_seed3,3,attentive_ppo,compaction,awr_returns,14000,84741,32700,211.5,1.9903284231180787,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:29:34
partition_attentive_ppo_seed3,3,attentive_ppo,partition,awr_shaped_balanced,4990,85830,15400,45.6,0.7332698239220513,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:30:20
compaction_mlp_ppo_seed3,3,mlp_ppo,compaction,offline_ppo_clip,14000,70469,16350,78.5,2.431611753279163,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:31:39
partition_mlp_ppo_seed3,3,mlp_ppo,partition,offline_ppo_clip,4990,121734,5700,31.6,-0.15805712651790066,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:32:10
compaction_ddqn_seed3,3,ddqn,compaction,double_dqn_rawQ,14000,71237,32700,231.5,3991044.859892266,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:36:02
partition_ddqn_seed3,3,ddqn,partition,double_dqn_rawQ,4990,122502,11550,86.7,40.80212684778067,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:37:29
compaction_attentive_ppo_seed4,4,attentive_ppo,compaction,awr_returns,14000,84741,32700,208.7,2.134770440798934,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:40:57
partition_attentive_ppo_seed4,4,attentive_ppo,partition,awr_shaped_balanced,4990,85830,15400,45.5,0.9351728558540344,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:41:43
compaction_mlp_ppo_seed4,4,mlp_ppo,compaction,offline_ppo_clip,14000,70469,16350,78.2,2.4228262664169393,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:43:01
partition_mlp_ppo_seed4,4,mlp_ppo,partition,offline_ppo_clip,4990,121734,5700,31.2,-0.1650102835641626,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:43:32
compaction_ddqn_seed4,4,ddqn,compaction,double_dqn_rawQ,14000,71237,32700,231.3,0.9658388193339518,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:47:23
partition_ddqn_seed4,4,ddqn,partition,double_dqn_rawQ,4990,122502,11550,85.2,2.3686348566642175,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:48:49
compaction_attentive_ppo_seed5,5,attentive_ppo,compaction,awr_returns,14000,84741,32700,207.9,1.955423830978332,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:52:17
partition_attentive_ppo_seed5,5,attentive_ppo,partition,awr_shaped_balanced,4990,85830,15400,45.7,0.7198892853878163,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:53:02
compaction_mlp_ppo_seed5,5,mlp_ppo,compaction,offline_ppo_clip,14000,70469,16350,77.5,2.558767605212427,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:54:20
partition_mlp_ppo_seed5,5,mlp_ppo,partition,offline_ppo_clip,4990,121734,5700,31.1,-0.1743713666630142,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:54:51
compaction_ddqn_seed5,5,ddqn,compaction,double_dqn_rawQ,14000,71237,32700,225.8,12131971.445187643,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-07-31T20:58:37
