step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,AlwaysCompact_C128,3,COMPACT_128KB,-0.302692,-0.055,0.020192,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,261.7245863503735,107.06496238708496,1,0.1121673583984375,7.1787109375,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,AlwaysCompact_C128,3,COMPACT_128KB,-0.294031,-0.055,0.029048,0,50,261.7245863503735,107.06496238708496,1,0.1121673583984375,7.1787109375,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31,128.9482534626286,97.32294082641602,1,0.1554718017578125,9.9501953125,0.0,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,AlwaysCompact_C128,3,COMPACT_128KB,-0.284286,-0.055,0.038315,0,31,128.9482534626286,97.32294082641602,1,0.1554718017578125,9.9501953125,0.0,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37,183.68982676091682,121.16622924804688,1,0.204193115234375,13.068359375,0.0,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,AlwaysCompact_C128,3,COMPACT_128KB,-0.27178,-0.055,0.051773,0,37,183.68982676091682,121.16622924804688,1,0.204193115234375,13.068359375,0.0,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45,226.93503008267325,73.5626220703125,1,0.2667236328125,17.0703125,0.0,0,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,AlwaysCompact_C128,3,COMPACT_128KB,-0.260272,-0.055,0.063536,0,45,226.93503008267325,73.5626220703125,1,0.2667236328125,17.0703125,0.0,0,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,194.32363807580293,60.83869934082031,1,0.3242645263671875,20.7529296875,0.0,0,0,5,0.0,0.0,0.8,0.0,0.0,0.2,0.0
6,AlwaysCompact_C128,3,COMPACT_128KB,-0.248715,-0.055,0.07462,0,43,194.32363807580293,60.83869934082031,1,0.3242645263671875,20.7529296875,0.0,0,0,5,0.0,0.0,0.8,0.0,0.0,0.2,0.0,43,224.6956036398792,84.49959754943848,1,0.382049560546875,24.451171875,0.0,0,0,6,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
7,AlwaysCompact_C128,3,COMPACT_128KB,-0.236099,-0.055,0.086807,0,43,224.6956036398792,84.49959754943848,1,0.382049560546875,24.451171875,0.0,0,0,6,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,47,194.8178519191999,105.93438148498535,1,0.44512939453125,28.48828125,0.0,0,0,7,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0
8,AlwaysCompact_C128,3,COMPACT_128KB,-0.225741,-0.055,0.09723,0,47,194.8178519191999,105.93438148498535,1,0.44512939453125,28.48828125,0.0,0,0,7,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0,39,205.3110154983106,102.70190238952637,1,0.496917724609375,31.802734375,0.0,0,0,8,0.0,0.0,0.625,0.0,0.25,0.125,0.0
9,AlwaysCompact_C128,3,COMPACT_128KB,-0.214206,-0.055,0.108741,0,39,205.3110154983106,102.70190238952637,1,0.496917724609375,31.802734375,0.0,0,0,8,0.0,0.0,0.625,0.0,0.25,0.125,0.0,44,183.69501050613596,103.88588905334473,1,0.554595947265625,35.494140625,0.0,0,0,9,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.1111111111111111,0.0
10,AlwaysCompact_C128,3,COMPACT_128KB,-0.2005,-0.055,0.122748,0,44,183.69501050613596,103.88588905334473,1,0.554595947265625,35.494140625,0.0,0,0,9,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.1111111111111111,0.0,50,245.83730430858142,88.84930610656738,1,0.6231231689453125,39.8798828125,0.0,0,0,10,0.0,0.0,0.7,0.0,0.2,0.1,0.0
