step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,CompactOnlyRL_attentive_ppoclip,0,NOOP,0.022156,0.0,0.020857,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,312.89241130508606,66.18452072143555,1,0.1114044189453125,7.1298828125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,CompactOnlyRL_attentive_ppoclip,0,NOOP,0.020658,0.0,0.019163,0,50,312.89241130508606,66.18452072143555,1,0.1114044189453125,7.1298828125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40,231.20577696929607,77.23832130432129,2,0.1045379638671875,13.380859375,0.6214805694022391,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,CompactOnlyRL_attentive_ppoclip,0,NOOP,0.02086,0.0,0.019269,0,40,231.20577696929607,77.23832130432129,2,0.1045379638671875,13.380859375,0.6214805694022391,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,277.6899359314763,83.32490921020508,3,0.10617574055989583,20.3857421875,0.4754779753185428,0,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,CompactOnlyRL_attentive_ppoclip,0,NOOP,0.020746,0.0,0.019582,0,48,277.6899359314763,83.32490921020508,3,0.10617574055989583,20.3857421875,0.4754779753185428,0,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46,267.55990692024153,63.1871223449707,4,0.10622787475585938,27.1943359375,0.38828348917734407,0,4,4,0.0,0.0,0.75,0.0,0.0,0.0,0.25
5,CompactOnlyRL_attentive_ppoclip,0,NOOP,0.019922,0.0,0.017875,0,46,267.55990692024153,63.1871223449707,4,0.10622787475585938,27.1943359375,0.38828348917734407,0,4,4,0.0,0.0,0.75,0.0,0.0,0.0,0.25,33,196.59627124518138,108.58345031738281,5,0.102734375,32.875,0.6025131046880232,0,5,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2
6,CompactOnlyRL_attentive_ppoclip,0,NOOP,0.020047,0.0,0.017934,0,33,196.59627124518138,108.58345031738281,5,0.102734375,32.875,0.6025131046880232,0,5,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2,48,238.50781356436195,113.13962936401367,6,0.10398610432942708,39.9306640625,0.5735189243199751,0,6,6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666
7,CompactOnlyRL_attentive_ppoclip,0,NOOP,0.019861,0.0,0.017803,0,48,238.50781356436195,113.13962936401367,6,0.10398610432942708,39.9306640625,0.5735189243199751,0,6,6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,43,260.75004843294136,111.62805557250977,7,0.10367911202566964,46.4482421875,0.5261230549671652,0,7,7,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285
8,CompactOnlyRL_attentive_ppoclip,0,NOOP,0.019551,0.0,0.017503,0,43,260.75004843294136,111.62805557250977,7,0.10367911202566964,46.4482421875,0.5261230549671652,0,7,7,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,39,234.96286337271937,112.39314079284668,8,0.102752685546875,52.609375,0.5151557934328157,0,8,8,0.0,0.0,0.875,0.0,0.0,0.0,0.125
9,CompactOnlyRL_attentive_ppoclip,0,NOOP,0.019292,0.0,0.017524,0,39,234.96286337271937,112.39314079284668,8,0.102752685546875,52.609375,0.5151557934328157,0,8,8,0.0,0.0,0.875,0.0,0.0,0.0,0.125,39,235.5726168805733,99.6408462524414,9,0.10208638509114583,58.8017578125,0.49857628304284335,0,9,9,0.0,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111
10,CompactOnlyRL_attentive_ppoclip,0,NOOP,0.019174,0.0,0.017668,0,39,235.5726168805733,99.6408462524414,9,0.10208638509114583,58.8017578125,0.49857628304284335,0,9,9,0.0,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111,43,256.59367006126206,87.80884742736816,10,0.1021209716796875,65.357421875,0.4701143429595312,0,10,10,0.0,0.0,0.7,0.1,0.0,0.1,0.1
