step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,MultiAgentRL_attentive_ppoclip,0,NOOP,0.021472,0.0,0.020418,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,235.30569570920932,53.97963523864746,1,0.1079864501953125,6.9111328125,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,MultiAgentRL_attentive_ppoclip,0,NOOP,0.021355,0.0,0.019475,0,47,235.30569570920932,53.97963523864746,1,0.1079864501953125,6.9111328125,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47,209.80537167037747,96.50230407714844,2,0.10802459716796875,13.8271484375,0.003452669830012439,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0
3,MultiAgentRL_attentive_ppoclip,0,NOOP,0.021521,0.0,0.020465,0,47,209.80537167037747,96.50230407714844,2,0.10802459716796875,13.8271484375,0.003452669830012439,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,50,232.93148067930647,56.55932426452637,3,0.1094818115234375,21.0205078125,0.16155248378496026,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
4,MultiAgentRL_attentive_ppoclip,0,NOOP,0.020206,0.0,0.019316,0,50,232.93148067930647,56.55932426452637,3,0.1094818115234375,21.0205078125,0.16155248378496026,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,31,196.0395446067929,49.49522018432617,4,0.1035308837890625,26.50390625,0.7730555763416727,0,4,4,0.0,0.0,0.25,0.25,0.0,0.25,0.25
5,MultiAgentRL_attentive_ppoclip,0,NOOP,0.019904,0.0,0.017887,0,31,196.0395446067929,49.49522018432617,4,0.1035308837890625,26.50390625,0.7730555763416727,0,4,4,0.0,0.0,0.25,0.25,0.0,0.25,0.25,41,223.22986255705155,107.08880424499512,5,0.102642822265625,32.845703125,0.681441715807182,0,5,5,0.0,0.0,0.4,0.2,0.0,0.2,0.2
6,MultiAgentRL_attentive_ppoclip,0,NOOP,0.020047,0.0,0.01815,0,41,223.22986255705155,107.08880424499512,5,0.102642822265625,32.845703125,0.681441715807182,0,5,5,0.0,0.0,0.4,0.2,0.0,0.2,0.2,49,252.61332458187835,102.34475135803223,6,0.10398356119791667,39.9296875,0.6447228842322874,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
7,MultiAgentRL_attentive_ppoclip,0,NOOP,0.019635,0.0,0.01775,0,49,252.61332458187835,102.34475135803223,6,0.10398356119791667,39.9296875,0.6447228842322874,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,37,240.8230262627015,103.0111312866211,7,0.10255214146205358,45.943359375,0.6365041368313177,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
8,MultiAgentRL_attentive_ppoclip,0,NOOP,0.019369,0.0,0.017456,0,37,240.8230262627015,103.0111312866211,7,0.10255214146205358,45.943359375,0.6365041368313177,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,39,247.4474458484164,105.64589500427246,8,0.10184288024902344,52.1435546875,0.6031125257262321,0,8,8,0.0,0.0,0.625,0.125,0.0,0.125,0.125
9,MultiAgentRL_attentive_ppoclip,0,NOOP,0.018951,0.0,0.016982,0,39,247.4474458484164,105.64589500427246,8,0.10184288024902344,52.1435546875,0.6031125257262321,0,8,8,0.0,0.0,0.625,0.125,0.0,0.125,0.125,33,173.49149100717847,109.68184471130371,9,0.10037909613715278,57.818359375,0.6302886575419521,0,9,9,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
10,MultiAgentRL_attentive_ppoclip,0,NOOP,0.01869,0.0,0.016044,0,33,173.49149100717847,109.68184471130371,9,0.10037909613715278,57.818359375,0.6302886575419521,0,9,9,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,37,196.36304373682492,144.78588104248047,10,0.09969940185546874,63.8076171875,0.6099559394891427,0,10,10,0.0,0.0,0.7,0.1,0.0,0.1,0.1
