step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,MultiAgentRL_ddqn,0,NOOP,0.021472,0.0,0.020212,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,269.81802653118206,64.27407264709473,1,0.1079864501953125,6.9111328125,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,MultiAgentRL_ddqn,0,NOOP,0.021353,0.0,0.019267,0,47,269.81802653118206,64.27407264709473,1,0.1079864501953125,6.9111328125,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47,218.39476558812908,106.80770874023438,2,0.1080169677734375,13.826171875,0.0027621358640099515,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0
3,MultiAgentRL_ddqn,0,NOOP,0.021519,0.0,0.020259,0,47,218.39476558812908,106.80770874023438,2,0.1080169677734375,13.826171875,0.0027621358640099515,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,50,261.0388268667529,66.74575805664062,3,0.10947163899739583,21.0185546875,0.16126395389398349,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
4,MultiAgentRL_ddqn,0,NOOP,0.020205,0.0,0.019106,0,50,261.0388268667529,66.74575805664062,3,0.10947163899739583,21.0185546875,0.16126395389398349,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,31,154.64140836292796,59.97967720031738,4,0.10352706909179688,26.5029296875,0.7722135164454706,0,4,4,0.0,0.0,0.25,0.25,0.0,0.25,0.25
5,MultiAgentRL_ddqn,0,NOOP,0.019902,0.0,0.016951,0,31,154.64140836292796,59.97967720031738,4,0.10352706909179688,26.5029296875,0.7722135164454706,0,4,4,0.0,0.0,0.25,0.25,0.0,0.25,0.25,41,157.03151104731222,153.8245677947998,5,0.10263671875,32.84375,0.6807865071000686,0,5,5,0.0,0.0,0.4,0.2,0.0,0.2,0.2
6,MultiAgentRL_ddqn,0,NOOP,0.020049,0.0,0.016928,0,41,157.03151104731222,153.8245677947998,5,0.10263671875,32.84375,0.6807865071000686,0,5,5,0.0,0.0,0.4,0.2,0.0,0.2,0.2,49,234.64503813307758,163.53511810302734,6,0.10399373372395833,39.93359375,0.6450059410432742,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
7,MultiAgentRL_ddqn,0,NOOP,0.019638,0.0,0.016184,0,49,234.64503813307758,163.53511810302734,6,0.10399373372395833,39.93359375,0.6450059410432742,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,37,189.30550804970102,181.44631385803223,7,0.10256522042410714,45.94921875,0.6365558974334761,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
8,MultiAgentRL_ddqn,0,NOOP,0.019371,0.0,0.016421,0,37,189.30550804970102,181.44631385803223,7,0.10256522042410714,45.94921875,0.6365558974334761,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,39,216.35679896727225,157.47618675231934,8,0.10185432434082031,52.1494140625,0.6032224128941625,0,8,8,0.0,0.0,0.625,0.125,0.0,0.125,0.125
9,MultiAgentRL_ddqn,0,NOOP,0.018952,0.0,0.016824,0,39,216.35679896727225,157.47618675231934,8,0.10185432434082031,52.1494140625,0.6032224128941625,0,8,8,0.0,0.0,0.625,0.125,0.0,0.125,0.125,33,157.43954573994705,117.66743659973145,9,0.10038587782118055,57.822265625,0.6307802783890442,0,9,9,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
10,MultiAgentRL_ddqn,0,NOOP,0.018691,0.0,0.015681,0,33,157.43954573994705,117.66743659973145,9,0.10038587782118055,57.822265625,0.6307802783890442,0,9,9,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,37,214.53587918802498,163.00606727600098,10,0.09970703125,63.8125,0.6103688712823504,0,10,10,0.0,0.0,0.7,0.1,0.0,0.1,0.1
11,MultiAgentRL_ddqn,0,NOOP,0.018286,0.0,0.015328,0,37,214.53587918802498,163.00606727600098,10,0.09970703125,63.8125,0.6103688712823504,0,10,10,0.0,0.0,0.7,0.1,0.0,0.1,0.1,30,152.23449817796427,161.64040565490723,11,0.09830266779119318,69.205078125,0.6512727853852353,0,11,11,0.0,0.0,0.7272727272727273,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091
12,MultiAgentRL_ddqn,0,NOOP,0.017976,0.0,0.016398,0,30,152.23449817796427,161.64040565490723,11,0.09830266779119318,69.205078125,0.6512727853852353,0,11,11,0.0,0.0,0.7272727272727273,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,32,137.49182072697138,93.89019012451172,12,0.09737904866536458,74.787109375,0.6538553294808128,0,12,12,0.0,0.0,0.6666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333
13,MultiAgentRL_ddqn,0,NOOP,0.01786,0.0,0.015107,0,32,137.49182072697138,93.89019012451172,12,0.09737904866536458,74.787109375,0.6538553294808128,0,12,12,0.0,0.0,0.6666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,40,210.92167196363198,153.85746955871582,13,0.09742267315204327,81.0556640625,0.6260997486663802,0,13,13,0.0,0.0,0.6923076923076923,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693
14,MultiAgentRL_ddqn,0,NOOP,0.017854,0.0,0.013844,0,40,210.92167196363198,153.85746955871582,13,0.09742267315204327,81.0556640625,0.6260997486663802,0,13,13,0.0,0.0,0.6923076923076923,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,46,258.4162750111503,218.00589561462402,14,0.09801919119698661,87.8251953125,0.6182652443902397,0,14,14,0.0,0.0,0.7142857142857143,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142
15,MultiAgentRL_ddqn,0,NOOP,0.017788,0.0,0.014504,0,46,258.4162750111503,218.00589561462402,14,0.09801919119698661,87.8251953125,0.6182652443902397,0,14,14,0.0,0.0,0.7142857142857143,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,43,213.5122421292142,182.9357147216797,15,0.09831339518229167,94.380859375,0.6002217957616794,0,15,15,0.0,0.0,0.6666666666666666,0.06666666666666667,0.0,0.2,0.06666666666666667
16,MultiAgentRL_ddqn,0,NOOP,0.017811,0.0,0.014213,0,43,213.5122421292142,182.9357147216797,15,0.09831339518229167,94.380859375,0.6002217957616794,0,15,15,0.0,0.0,0.6666666666666666,0.06666666666666667,0.0,0.2,0.06666666666666667,49,241.33076096592944,199.88036155700684,16,0.09905338287353516,101.4306640625,0.610028504998042,0,16,16,0.0,0.0,0.6875,0.0625,0.0,0.1875,0.0625
