step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,Threshold10_C64,0,NOOP,0.021472,0.0,0.020682,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,318.75269909079003,40.746212005615234,1,0.1079864501953125,6.9111328125,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,Threshold10_C64,0,NOOP,0.021353,0.0,0.019358,0,47,318.75269909079003,40.746212005615234,1,0.1079864501953125,6.9111328125,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47,296.27067881613334,102.29372978210449,2,0.1080169677734375,13.826171875,0.0027621358640099515,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0
3,Threshold10_C64,0,NOOP,0.021519,0.0,0.020127,0,47,296.27067881613334,102.29372978210449,2,0.1080169677734375,13.826171875,0.0027621358640099515,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,50,235.8197374798016,73.36854934692383,3,0.10947163899739583,21.0185546875,0.16126395389398349,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
4,Threshold10_C64,0,NOOP,0.020205,0.0,0.019317,0,50,235.8197374798016,73.36854934692383,3,0.10947163899739583,21.0185546875,0.16126395389398349,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,31,160.074536975481,49.41201210021973,4,0.10352706909179688,26.5029296875,0.7722135164454706,0,4,4,0.0,0.0,0.25,0.25,0.0,0.25,0.25
5,Threshold10_C64,0,NOOP,0.019902,0.0,0.018035,0,31,160.074536975481,49.41201210021973,4,0.10352706909179688,26.5029296875,0.7722135164454706,0,4,4,0.0,0.0,0.25,0.25,0.0,0.25,0.25,41,250.72931845188194,99.56836700439453,5,0.1026336669921875,32.8427734375,0.6808683813903387,0,5,5,0.0,0.0,0.4,0.2,0.0,0.2,0.2
6,Threshold10_C64,0,NOOP,0.020048,0.0,0.018183,0,41,250.72931845188194,99.56836700439453,5,0.1026336669921875,32.8427734375,0.6808683813903387,0,5,5,0.0,0.0,0.4,0.2,0.0,0.2,0.2,49,302.0775768051526,100.74472427368164,6,0.10399119059244792,39.9326171875,0.64510137446402,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
7,Threshold10_C64,0,NOOP,0.019638,0.0,0.017445,0,49,302.0775768051526,100.74472427368164,6,0.10399119059244792,39.9326171875,0.64510137446402,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,37,227.33754640087426,118.40319633483887,7,0.10256304059709821,45.9482421875,0.6366131110100438,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
8,Threshold10_C64,0,NOOP,0.01937,0.0,0.017495,0,37,227.33754640087426,118.40319633483887,7,0.10256304059709821,45.9482421875,0.6366131110100438,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,39,240.50226493822694,103.78074645996094,8,0.1018524169921875,52.1484375,0.6032636436512605,0,8,8,0.0,0.0,0.625,0.125,0.0,0.125,0.125
9,Threshold10_C64,0,NOOP,0.018952,0.0,0.017048,0,39,240.50226493822694,103.78074645996094,8,0.1018524169921875,52.1484375,0.6032636436512605,0,8,8,0.0,0.0,0.625,0.125,0.0,0.125,0.125,33,197.29910738467416,106.44865036010742,9,0.1003841824001736,57.8212890625,0.630796594058039,0,9,9,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
10,Threshold10_C64,0,NOOP,0.018691,0.0,0.016785,0,33,197.29910738467416,106.44865036010742,9,0.1003841824001736,57.8212890625,0.630796594058039,0,9,9,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,37,216.95565521792133,107.79333114624023,10,0.0997039794921875,63.810546875,0.6104457045452115,0,10,10,0.0,0.0,0.7,0.1,0.0,0.1,0.1
