policy,protocol,n_episodes,n_seeds,avg_global_reward_mean,avg_global_reward_ci_low,avg_global_reward_ci_high,avg_latency_ms_mean,avg_latency_ms_ci_low,avg_latency_ms_ci_high,avg_file_count_mean,avg_file_count_ci_low,avg_file_count_ci_high,avg_partition_pruning_ratio_mean,avg_partition_pruning_ratio_ci_low,avg_partition_pruning_ratio_ci_high,seed_reward_min,seed_reward_max,seed_reward_sd
MultiAgentRL_ddqn,eval500,25,5,0.210492,0.20504,0.215532,219.618885,212.175432,227.100663,37.3788,36.644156,38.098706,0.204444,0.188585,0.218785,0.1981,0.22444,0.010432
WorkloadAwareThreshold,eval500,25,5,0.19432,0.192336,0.196428,323.649317,313.319489,334.607196,49.85416,49.543278,50.16464,0.247725,0.241011,0.254381,0.19148,0.19644,0.002037
AlwaysCompact_C128,eval500,25,5,0.190264,0.19014,0.190376,197.860298,192.677667,203.993264,22.14928,22.023914,22.276642,0.0,0.0,0.0,0.19,0.19052,0.00019
MultiAgentRL_attentive_ppoclip,eval500,25,5,0.182308,0.16692,0.196277,331.070041,287.735179,379.559616,51.5748,44.780768,58.866804,0.224547,0.20135,0.245311,0.1242,0.22,0.040292
Threshold10_C128,eval500,25,5,0.17096,0.170772,0.171156,203.282936,198.301432,208.384271,26.11408,25.98688,26.240802,0.0,0.0,0.0,0.17066,0.17128,0.000258
MultiAgentRL_mlp_ppo,eval500,25,5,0.167524,0.157932,0.177176,316.945888,297.139099,338.03399,61.56928,56.636636,66.803804,0.220843,0.203095,0.238943,0.14296,0.20228,0.02542
Threshold10_C64,eval500,25,5,0.127308,0.126664,0.127984,321.312022,311.180532,332.372632,46.768,46.460158,47.086902,0.0,0.0,0.0,0.12608,0.1288,0.001137
CompactOnlyRL_attentive_ppoclip,eval500,25,5,0.120212,0.108608,0.131544,314.247394,278.951801,350.929911,48.43392,42.04595,55.024492,0.0,0.0,0.0,0.08356,0.15906,0.032289
PartitionOnlyRL_attentive_ppoclip,eval500,15,3,-0.109893,-0.119541,-0.10112,3642.394364,3409.726703,3890.443601,792.979733,751.22576,838.50645,0.080161,0.072053,0.086462,-0.1232,-0.10202,0.011588
MultiAgentRL_ddqn,std1000,5,5,0.2306,0.211,0.24626,343.927224,321.426858,370.901259,64.725,63.509795,66.0692,0.234656,0.172267,0.281578,0.192,0.2551,0.023837
WorkloadAwareThreshold,std1000,5,5,0.21392,0.20788,0.22188,572.500942,538.490729,611.134698,91.5026,90.361,92.5016,0.298443,0.279966,0.3217,0.205,0.2286,0.009039
MultiAgentRL_attentive_ppoclip,std1000,5,5,0.19228,0.15636,0.2232,498.114653,373.132668,623.096638,89.6734,58.7734,120.5734,0.241447,0.202879,0.273479,0.1347,0.2378,0.042116
AlwaysCompact_C128,std1000,5,5,0.18698,0.18656,0.18734,348.124239,333.155789,367.498349,43.5336,43.0634,44.101,0.0,0.0,0.0,0.1862,0.1875,0.000497
Threshold10_C128,std1000,5,5,0.17592,0.17556,0.17618,330.665743,319.311616,344.591456,46.3456,45.8884,46.876,0.0,0.0,0.0,0.1752,0.1763,0.000427
MultiAgentRL_mlp_ppo,std1000,5,5,0.17308,0.15084,0.1971,637.166924,543.284391,738.443275,127.672,104.3452,149.3622,0.250789,0.213497,0.281535,0.1357,0.2172,0.029387
Threshold10_C64,std1000,5,5,0.1284,0.1276,0.12914,570.790398,534.771651,611.305982,88.3636,87.6648,89.0078,0.0,0.0,0.0,0.1271,0.1296,0.000995
CompactOnlyRL_attentive_ppoclip,std1000,5,5,0.11904,0.08358,0.15048,547.954364,404.683971,704.341147,93.9798,60.4412,132.1294,0.0,0.0,0.0,0.0573,0.1677,0.042816
MultiAgentRL_attentive_ppo,std1000,1,1,-0.094,-0.094,-0.094,4686.409853,4686.409853,4686.409853,1004.675,1004.675,1004.675,0.258338,0.258338,0.258338,-0.094,-0.094,0.0
