name_a,name_b,n,mean_a,mean_b,mean_diff,wilcoxon_p,permutation_p,cliffs_delta,rank_biserial,effect_label,wilcoxon_p_corr,permutation_p_corr,significant,protocol,metric,metric_label,higher_is_better
AlwaysCompact_C128,CompactOnlyRL_attentive_ppoclip,5,0.18697999999999998,0.11903999999999999,0.06794,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
AlwaysCompact_C128,MultiAgentRL_attentive_ppoclip,5,0.18697999999999998,0.19228,-0.005299999999999999,1.0,0.8125,-0.2,-0.06666666666666667,small,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
AlwaysCompact_C128,MultiAgentRL_ddqn,5,0.18697999999999998,0.2306,-0.04362,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
AlwaysCompact_C128,MultiAgentRL_mlp_ppo,5,0.18697999999999998,0.17307999999999998,0.013900000000000001,0.4375,0.375,0.6,0.4666666666666667,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
AlwaysCompact_C128,Threshold10_C128,5,0.18697999999999998,0.17592000000000002,0.011059999999999997,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
AlwaysCompact_C128,Threshold10_C64,5,0.18697999999999998,0.12840000000000001,0.05858000000000001,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
AlwaysCompact_C128,WorkloadAwareThreshold,5,0.18697999999999998,0.21391999999999997,-0.02694,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_attentive_ppoclip,5,0.11903999999999999,0.19228,-0.07324000000000001,0.0625,0.0625,-0.76,-1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_ddqn,5,0.11903999999999999,0.2306,-0.11156000000000002,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_mlp_ppo,5,0.11903999999999999,0.17307999999999998,-0.05404,0.0625,0.0625,-0.76,-1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
CompactOnlyRL_attentive_ppoclip,Threshold10_C128,5,0.11903999999999999,0.17592000000000002,-0.05688000000000001,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
CompactOnlyRL_attentive_ppoclip,Threshold10_C64,5,0.11903999999999999,0.12840000000000001,-0.009360000000000002,0.8125,0.6875,-0.2,-0.2,small,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
CompactOnlyRL_attentive_ppoclip,WorkloadAwareThreshold,5,0.11903999999999999,0.21391999999999997,-0.09488,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
MultiAgentRL_attentive_ppoclip,MultiAgentRL_ddqn,5,0.19228,0.2306,-0.03832,0.0625,0.0625,-0.68,-1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
MultiAgentRL_attentive_ppoclip,MultiAgentRL_mlp_ppo,5,0.19228,0.17307999999999998,0.019200000000000002,0.3125,0.25,0.12,0.6,negligible,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
MultiAgentRL_attentive_ppoclip,Threshold10_C128,5,0.19228,0.17592000000000002,0.016359999999999996,0.625,0.5,0.2,0.3333333333333333,small,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
MultiAgentRL_attentive_ppoclip,Threshold10_C64,5,0.19228,0.12840000000000001,0.06388,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
MultiAgentRL_attentive_ppoclip,WorkloadAwareThreshold,5,0.19228,0.21391999999999997,-0.02164,0.8125,0.5,-0.2,-0.2,small,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
