query_mult,compact_mult,storage_mult,policy,cost,model
0.5,0.5,0.5,DDQN,4.396540462475204,flat
0.5,0.5,0.5,AttentivePPO-clip,5.185331777478028,flat
0.5,0.5,0.5,MLP-PPO,5.810328504928208,flat
0.5,0.5,0.5,WorkloadAwareThreshold,5.674867617389678,flat
0.5,0.5,0.5,AlwaysCompact_C128,6.457849143320084,flat
0.5,0.5,0.5,Threshold10_C128,4.185436629071044,flat
0.5,0.5,0.5,Threshold10_C64,5.448812834474945,flat
0.5,0.5,0.5,CompactOnly,5.429880480755997,flat
0.5,0.5,0.5,No_Maintenance,24.92895727261162,flat
0.5,0.5,1.0,DDQN,6.639944805346298,flat
0.5,0.5,1.0,AttentivePPO-clip,7.4680902898803705,flat
0.5,0.5,1.0,MLP-PPO,8.14432239057274,flat
0.5,0.5,1.0,WorkloadAwareThreshold,7.961230523151397,flat
0.5,0.5,1.0,AlwaysCompact_C128,8.67507709156227,flat
0.5,0.5,1.0,Threshold10_C128,6.4080445418640135,flat
0.5,0.5,1.0,Threshold10_C64,7.734173679299164,flat
0.5,0.5,1.0,CompactOnly,7.725489141205216,flat
0.5,0.5,1.0,No_Maintenance,28.36727405874443,flat
0.5,0.5,2.0,DDQN,11.126753491088484,flat
0.5,0.5,2.0,AttentivePPO-clip,12.033607314685058,flat
0.5,0.5,2.0,MLP-PPO,12.812310161861802,flat
0.5,0.5,2.0,WorkloadAwareThreshold,12.533956334674835,flat
0.5,0.5,2.0,AlwaysCompact_C128,13.109532988046647,flat
0.5,0.5,2.0,Threshold10_C128,10.853260367449952,flat
0.5,0.5,2.0,Threshold10_C64,12.304895368947601,flat
0.5,0.5,2.0,CompactOnly,12.316706462103653,flat
0.5,0.5,2.0,No_Maintenance,35.24390763101006,flat
0.5,1.0,0.5,DDQN,4.830040462475205,flat
0.5,1.0,0.5,AttentivePPO-clip,5.597331777478027,flat
0.5,1.0,0.5,MLP-PPO,6.100828504928208,flat
0.5,1.0,0.5,WorkloadAwareThreshold,6.200867617389679,flat
0.5,1.0,0.5,AlwaysCompact_C128,8.957849143320084,flat
0.5,1.0,0.5,Threshold10_C128,4.494936629071044,flat
0.5,1.0,0.5,Threshold10_C64,5.758312834474945,flat
0.5,1.0,0.5,CompactOnly,5.8243804807559965,flat
0.5,1.0,0.5,No_Maintenance,24.92895727261162,flat
0.5,1.0,1.0,DDQN,7.073444805346298,flat
0.5,1.0,1.0,AttentivePPO-clip,7.880090289880371,flat
0.5,1.0,1.0,MLP-PPO,8.434822390572737,flat
0.5,1.0,1.0,WorkloadAwareThreshold,8.4872305231514,flat
0.5,1.0,1.0,AlwaysCompact_C128,11.17507709156227,flat
0.5,1.0,1.0,Threshold10_C128,6.717544541864013,flat
0.5,1.0,1.0,Threshold10_C64,8.043673679299165,flat
0.5,1.0,1.0,CompactOnly,8.119989141205215,flat
0.5,1.0,1.0,No_Maintenance,28.36727405874443,flat
0.5,1.0,2.0,DDQN,11.560253491088485,flat
0.5,1.0,2.0,AttentivePPO-clip,12.44560731468506,flat
0.5,1.0,2.0,MLP-PPO,13.1028101618618,flat
0.5,1.0,2.0,WorkloadAwareThreshold,13.059956334674833,flat
0.5,1.0,2.0,AlwaysCompact_C128,15.609532988046647,flat
0.5,1.0,2.0,Threshold10_C128,11.162760367449952,flat
0.5,1.0,2.0,Threshold10_C64,12.614395368947601,flat
0.5,1.0,2.0,CompactOnly,12.711206462103652,flat
0.5,1.0,2.0,No_Maintenance,35.24390763101006,flat
0.5,2.0,0.5,DDQN,5.697040462475204,flat
0.5,2.0,0.5,AttentivePPO-clip,6.421331777478026,flat
0.5,2.0,0.5,MLP-PPO,6.681828504928208,flat
0.5,2.0,0.5,WorkloadAwareThreshold,7.252867617389678,flat
0.5,2.0,0.5,AlwaysCompact_C128,13.957849143320084,flat
0.5,2.0,0.5,Threshold10_C128,5.113936629071045,flat
0.5,2.0,0.5,Threshold10_C64,6.377312834474945,flat
0.5,2.0,0.5,CompactOnly,6.613380480755997,flat
0.5,2.0,0.5,No_Maintenance,24.92895727261162,flat
0.5,2.0,1.0,DDQN,7.940444805346298,flat
0.5,2.0,1.0,AttentivePPO-clip,8.704090289880373,flat
0.5,2.0,1.0,MLP-PPO,9.01582239057274,flat
0.5,2.0,1.0,WorkloadAwareThreshold,9.539230523151398,flat
0.5,2.0,1.0,AlwaysCompact_C128,16.17507709156227,flat
0.5,2.0,1.0,Threshold10_C128,7.336544541864013,flat
0.5,2.0,1.0,Threshold10_C64,8.662673679299164,flat
0.5,2.0,1.0,CompactOnly,8.908989141205215,flat
0.5,2.0,1.0,No_Maintenance,28.36727405874443,flat
0.5,2.0,2.0,DDQN,12.427253491088486,flat
0.5,2.0,2.0,AttentivePPO-clip,13.269607314685057,flat
0.5,2.0,2.0,MLP-PPO,13.6838101618618,flat
0.5,2.0,2.0,WorkloadAwareThreshold,14.111956334674835,flat
0.5,2.0,2.0,AlwaysCompact_C128,20.609532988046645,flat
0.5,2.0,2.0,Threshold10_C128,11.781760367449952,flat
0.5,2.0,2.0,Threshold10_C64,13.233395368947601,flat
0.5,2.0,2.0,CompactOnly,13.500206462103652,flat
0.5,2.0,2.0,No_Maintenance,35.24390763101006,flat
