step,rule_delegation,oracle_delegation,action,agree,r_noop,r_compaction,r_partition,realised_reward,latency_ms,file_count,pruning
1,noop,partition,NOOP,0,-0.0017582727432250977,0.009290778541564942,0.011257083320617676,0.011219189071655273,276.9360542297363,1,0.0
2,noop,compaction,COMPACT_32KB,0,0.012971648979187015,0.026978671455383303,0.01494246463775635,0.026677586936950683,171.89335823059082,1,0.0
3,noop,compaction,COMPACT_32KB,0,0.021510658073425296,0.03579194297790528,0.020916285324096683,0.04039690246582031,95.36361694335938,1,0.0
4,noop,compaction,COMPACT_32KB,0,0.026463188934326174,0.046986772918701174,0.02609952907562256,0.048707334899902345,92.43965148925781,1,0.0
5,noop,compaction,COMPACT_32KB,0,0.03178544025421143,0.05656984558105469,0.028428702163696293,0.055060274505615237,185.25409698486328,1,0.0
6,noop,compaction,COMPACT_32KB,0,0.03567602138519287,0.06646203746795655,0.03620305995941162,0.06562187423706055,124.70340728759766,1,0.0
7,noop,compaction,COMPACT_32KB,0,0.042066831398010256,0.0785013412475586,0.04121433715820313,0.07933883419036866,105.66449165344238,1,0.0
8,noop,noop,NOOP,1,0.048785290527343754,0.047128290939331054,0.048011159706115726,0.04817113380432129,110.51130294799805,2,0.0
9,noop,compaction,COMPACT_32KB,0,0.037701066843668626,0.05516695003509522,0.038563794008890796,0.055361676025390626,92.47589111328125,2,0.0
10,noop,compaction,COMPACT_32KB,0,0.04364177595774334,0.06122898082733154,0.04170075308481853,0.060123519706726074,197.0961093902588,2,0.0
11,noop,compaction,COMPACT_32KB,0,0.046512359491984054,0.0666513536453247,0.04557803999582927,0.06673016052246093,132.26699829101562,2,0.0
12,noop,compaction,COMPACT_32KB,0,0.050110426457722984,0.07216975193023682,0.04957716515858968,0.0707713125228882,141.69621467590332,2,0.0
13,noop,compaction,COMPACT_32KB,0,0.05325680783589681,0.07693040828704835,0.052246041806538905,0.07621370296478272,137.52102851867676,2,0.0
14,noop,compaction,COMPACT_32KB,0,0.056440813255310064,0.05702941627502442,0.05668997020721436,0.05700046749114991,128.44586372375488,3,0.0
15,noop,compaction,COMPACT_32KB,0,0.046398787117004396,0.060529157829284676,0.04483545742034912,0.0605462413152059,100.03209114074707,3,0.0
16,noop,compaction,COMPACT_32KB,0,0.04874036750793457,0.06330625267028808,0.04899082622528076,0.06288749904632569,146.74687385559082,3,0.0
17,noop,compaction,COMPACT_32KB,0,0.05079235515594483,0.06674842885335287,0.05149359188079834,0.06516312173207602,172.8379726409912,3,0.0
18,noop,compaction,COMPACT_32KB,0,0.05246156177520752,0.06923678607940674,0.05354927024841309,0.06817396850585938,161.81182861328125,3,0.0
19,noop,compaction,COMPACT_32KB,0,0.055349921798706056,0.07269142201741538,0.05514792881011963,0.07300815156300863,124.51958656311035,3,0.0
20,noop,compaction,COMPACT_32KB,0,0.05840757331848145,0.07666814378102621,0.058540281867980964,0.07732802441914877,105.36432266235352,3,0.0
21,partition,noop,NOOP,0,0.06294620952606202,0.061207689857482914,0.062053250885009764,0.06212936840057373,126.51467323303223,4,0.0
22,partition,compaction,COMPACT_32KB,0,0.05185630035400391,0.0646738286972046,0.051520292282104495,0.06552297554016114,82.83376693725586,4,0.0
23,partition,compaction,COMPACT_32KB,0,0.05594781589508057,0.06770628414154053,0.054215924263000495,0.06720994434356689,159.16037559509277,4,0.0
24,partition,compaction,COMPACT_32KB,0,0.05625061702728272,0.06963746509552002,0.05599973392486573,0.06905860862731934,179.68034744262695,4,0.0
25,partition,compaction,COMPACT_32KB,0,0.05976976585388184,0.07204583606719972,0.05805627059936524,0.07168431243896485,194.3073272705078,4,0.0
26,partition,compaction,COMPACT_32KB,0,0.06054975700378419,0.07621136150360108,0.06106933784484864,0.07554611644744873,138.88955116271973,4,0.0
27,partition,noop,NOOP,0,0.06256867122650148,0.06207063388824463,0.062479264259338384,0.0630395336151123,159.08288955688477,5,0.0
28,partition,compaction,COMPACT_32KB,0,0.055502736790974935,0.06491306018829346,0.05414945386250814,0.06473622989654541,185.5762004852295,5,0.0
29,partition,compaction,COMPACT_32KB,0,0.055956391716003424,0.06732659053802491,0.058208012008667,0.0681913585662842,133.91351699829102,5,0.0
30,partition,compaction,COMPACT_32KB,0,0.05870097897847494,0.06919647884368897,0.05801390431722006,0.07004771423339844,150.25711059570312,5,0.0
31,partition,compaction,COMPACT_32KB,0,0.06056224447886149,0.07153054904937746,0.06081916433970133,0.07249450874328615,144.28091049194336,5,0.0
32,partition,compaction,COMPACT_32KB,0,0.0630170228322347,0.07331493091583252,0.06225763581593832,0.0736512680053711,202.2266387939453,5,0.0
33,partition,partition,NOOP,1,0.06345228296915689,0.06320807081858316,0.06449482065836588,0.06390229803721109,188.63224983215332,6,0.0
34,partition,compaction,COMPACT_32KB,0,0.05858796086992536,0.06696328741709391,0.05866639104570661,0.06628285032908122,184.19814109802246,6,0.0
35,partition,compaction,COMPACT_32KB,0,0.05881456887381417,0.06762867393493652,0.05893648183005197,0.06884066683451334,126.26886367797852,6,0.0
36,partition,compaction,COMPACT_32KB,0,0.06080022234235492,0.06969473463694255,0.060588420813424256,0.0696393929163615,162.6265048980713,6,0.0
37,partition,compaction,COMPACT_32KB,0,0.06204056570870536,0.07126086495717367,0.06229008505684989,0.07151184183756511,154.45327758789062,6,0.0
38,partition,compaction,COMPACT_32KB,0,0.0647348714011056,0.07312207641601563,0.06306264640263148,0.07509136619567872,84.90800857543945,6,0.0
39,partition,compaction,COMPACT_32KB,0,0.06503242800576348,0.07530418815612794,0.06487211535317558,0.07634964408874513,104.84933853149414,6,0.0
40,partition,noop,NOOP,0,0.06672301940917968,0.06561733417510987,0.06655686073303223,0.0663383358001709,156.07881546020508,7,0.0
41,partition,compaction,COMPACT_32KB,0,0.05938088340759278,0.0688542744227818,0.0600162021636963,0.06750339271000454,182.92641639709473,7,0.0
42,partition,compaction,COMPACT_32KB,0,0.06033350868225098,0.0698445030757359,0.06101245803833008,0.06946234670366559,176.55324935913086,7,0.0
43,partition,compaction,COMPACT_32KB,0,0.06432266635894775,0.07178200416564941,0.06286595268249512,0.07239852600097656,104.07638549804688,7,0.0
44,partition,compaction,COMPACT_32KB,0,0.06469286842346192,0.07333314726693291,0.0648872844696045,0.0731889469419207,150.9854793548584,7,0.0
45,partition,compaction,COMPACT_32KB,0,0.06721581859588623,0.07540651969909669,0.06617859287261962,0.0754496332713536,133.99434089660645,7,0.0
46,partition,compaction,COMPACT_32KB,0,0.06823620719909668,0.06927513523101807,0.06812414569854737,0.06778428001403809,154.59871292114258,8,0.0
47,partition,compaction,COMPACT_32KB,0,0.06242325299580893,0.06925000591278077,0.06251275533040365,0.06905061168670655,148.82683753967285,8,0.0
48,partition,compaction,COMPACT_32KB,0,0.06311061799791125,0.070619677734375,0.06293395936754015,0.0703476230621338,149.7797966003418,8,0.0
49,partition,compaction,COMPACT_32KB,0,0.06392304679022895,0.07317232532501221,0.0645166661368476,0.0717922679901123,149.11127090454102,8,0.0
50,partition,compaction,COMPACT_32KB,0,0.06697713368733724,0.07417837066650391,0.06552836888631185,0.07227881832122804,204.32019233703613,8,0.0
51,partition,compaction,COMPACT_32KB,0,0.06738751617007785,0.0745273868560791,0.06650708880954317,0.07526171607971192,106.94074630737305,8,0.0
52,partition,compaction,COMPACT_32KB,0,0.06766804529825846,0.07548385066986085,0.06824237181345622,0.07551862640380859,138.2884979248047,8,0.0
53,partition,compaction,COMPACT_32KB,0,0.06753883567386203,0.06872199264102512,0.06861124721103244,0.0694164678149753,106.63008689880371,9,0.0
54,partition,compaction,COMPACT_32KB,0,0.06423395061492919,0.07047410640716553,0.06224397563934325,0.06973983917236327,139.42527770996094,9,0.0
55,partition,compaction,COMPACT_32KB,0,0.06397897624969483,0.07071180549197727,0.06336522006988525,0.06916115595499674,215.7125473022461,9,0.0
56,partition,compaction,COMPACT_32KB,0,0.06636364841461181,0.07181097766028512,0.06592851543426514,0.07218882342444527,137.85958290100098,9,0.0
