step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,Oracle_ddqn,0,NOOP,0.0,0.0,0.011219,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,276.9360542297363,1,0.0,5.39453125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Oracle_ddqn,1,COMPACT_32KB,0.0,0.0,0.026678,0,0,0.0,276.9360542297363,1,0.0,5.39453125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,171.89335823059082,1,0.0,9.6689453125,0.0,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,Oracle_ddqn,1,COMPACT_32KB,0.0,0.0,0.040397,0,0,0.0,171.89335823059082,1,0.0,9.6689453125,0.0,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,95.36361694335938,1,0.0,13.5693359375,0.0,0,0,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
4,Oracle_ddqn,1,COMPACT_32KB,0.0,0.0,0.048707,0,0,0.0,95.36361694335938,1,0.0,13.5693359375,0.0,0,0,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0,0.0,92.43965148925781,1,0.0,16.2099609375,0.0,0,0,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0
5,Oracle_ddqn,1,COMPACT_32KB,0.0,0.0,0.05506,0,0,0.0,92.43965148925781,1,0.0,16.2099609375,0.0,0,0,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0,0.0,185.25409698486328,1,0.0,18.8369140625,0.0,0,0,5,0.0,0.0,0.6,0.2,0.0,0.2,0.0
6,Oracle_ddqn,1,COMPACT_32KB,0.0,0.0,0.065622,0,0,0.0,185.25409698486328,1,0.0,18.8369140625,0.0,0,0,5,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0,0.0,124.70340728759766,1,0.0,21.8291015625,0.0,0,0,6,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0
7,Oracle_ddqn,1,COMPACT_32KB,0.0,0.0,0.079339,0,0,0.0,124.70340728759766,1,0.0,21.8291015625,0.0,0,0,6,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0,0.0,105.66449165344238,1,0.0,26.0966796875,0.0,0,0,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.0
8,Oracle_ddqn,0,NOOP,0.0,0.0,0.048171,0,0,0.0,105.66449165344238,1,0.0,26.0966796875,0.0,0,0,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.0,0,0.0,110.51130294799805,2,0.0,32.3720703125,0.0,0,1,8,0.0,0.0,0.5,0.125,0.0,0.25,0.125
9,Oracle_ddqn,1,COMPACT_32KB,0.0,0.0,0.055362,0,0,0.0,110.51130294799805,2,0.0,32.3720703125,0.0,0,1,8,0.0,0.0,0.5,0.125,0.0,0.25,0.125,0,0.0,92.47589111328125,2,0.0,36.7431640625,0.0,0,0,9,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222
10,Oracle_ddqn,1,COMPACT_32KB,0.0,0.0,0.060124,0,0,0.0,92.47589111328125,2,0.0,36.7431640625,0.0,0,0,9,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0,0.0,197.0961093902588,2,0.0,41.1298828125,0.0,0,0,10,0.0,0.0,0.5,0.1,0.0,0.2,0.2
