policy,workload,baseline_reward,reward,delta,pct_change,pruning_baseline,pruning,latency,files,p_raw,cliffs_delta,p_holm,significant
DDQN,drift500,0.21049199999999998,0.20094000000000004,-0.00955199999999995,-4.537939684168496,0.20444384,0.1783788,237.73325999999997,37.5824,0.125,-0.44,1.0,False
DDQN,mixed500,0.21049199999999998,0.19940000000000002,-0.011091999999999963,-5.269558938106894,0.20444384,0.164835,250.6234042,37.85,0.125,-0.44,1.0,False
AttentivePPO-clip,drift500,0.18230800000000003,0.17878000000000002,-0.0035280000000000034,-1.9351866072799893,0.22454684,0.20483160000000003,283.4139902,50.0496,0.625,-0.2,1.0,False
AttentivePPO-clip,mixed500,0.18230800000000003,0.16375999999999996,-0.018548000000000064,-10.17399126752532,0.22454684,0.14981879999999997,296.8530298,49.568,0.0625,-0.36,0.625,False
MLP-PPO,drift500,0.16752399999999998,0.1609,-0.006623999999999991,-3.9540603137460857,0.22084267999999999,0.20140019999999997,335.80359480000004,61.096000000000004,0.4375,-0.2,1.0,False
MLP-PPO,mixed500,0.16752399999999998,0.14686,-0.020663999999999988,-12.334949022229646,0.22084267999999999,0.15131880000000003,334.9380712,61.62360000000001,0.0625,-0.36,0.625,False
WorkloadAwareThreshold,drift500,0.19432000000000002,0.1869333333333333,-0.007386666666666708,-3.801289968436963,0.24772531999999997,0.22444433333333333,294.08702366666665,49.82266666666666,0.25,-1.0,1.0,False
WorkloadAwareThreshold,mixed500,0.19432000000000002,0.1834,-0.010920000000000013,-5.61959654178675,0.24772531999999997,0.20315933333333333,288.05753266666665,49.90533333333334,0.25,-1.0,1.0,False
AlwaysCompact_C128,drift500,0.190264,0.19016666666666668,-9.73333333333104e-05,-0.051156988885606526,0.0,0.0,213.41978166666664,21.954666666666668,0.75,-0.3333333333333333,1.0,False
AlwaysCompact_C128,mixed500,0.190264,0.1898,-0.0004639999999999922,-0.24387167304376667,0.0,0.0,223.98958133333335,22.546000000000003,0.25,-1.0,1.0,False
