policy,workload,n_seeds,n_episodes,avg_global_reward,avg_global_reward_ci_low,avg_global_reward_ci_high,avg_latency_ms,avg_latency_ms_ci_low,avg_latency_ms_ci_high,avg_file_count,avg_file_count_ci_low,avg_file_count_ci_high,avg_partition_pruning_ratio,avg_partition_pruning_ratio_ci_low,avg_partition_pruning_ratio_ci_high
DDQN,baseline (eval500),5,25,0.21049199999999998,0.2050399,0.2155321,219.61888548,212.175432135,227.100662979,37.3788,36.644156,38.098706,0.20444384,0.18858500300000003,0.21878507600000005
DDQN,drift500,5,5,0.20094000000000004,0.19180000000000003,0.21058,237.73325999999997,213.6826614,259.83336099999997,37.5824,35.5452,40.024800000000006,0.1783788,0.15101499999999998,0.2057426
DDQN,mixed500,5,5,0.19940000000000002,0.18510000000000001,0.2162,250.6234042,230.92599660000002,274.849107,37.85,35.2924,40.0148,0.164835,0.1253816,0.20428839999999998
AttentivePPO-clip,baseline (eval500),5,25,0.18230800000000003,0.1669198,0.19627659999999997,331.0700412,287.735179487,379.5596160809999,51.574799999999996,44.780767999999995,58.866804,0.22454684,0.201350054,0.24531145099999999
AttentivePPO-clip,drift500,5,5,0.17878000000000002,0.15604,0.20152,283.4139902,234.85276725000006,329.9971919999999,50.0496,37.063199999999995,63.036,0.20483160000000003,0.192166,0.215191
AttentivePPO-clip,mixed500,5,5,0.16375999999999996,0.13566,0.18839999999999998,296.8530298,243.703136,351.08163440000004,49.568,36.058,63.077999999999996,0.14981879999999997,0.1090932,0.190925
MLP-PPO,baseline (eval500),5,25,0.16752399999999998,0.1579319,0.17717599999999997,316.94588788,297.13909896900003,338.03399035199993,61.56928,56.636636,66.803804,0.22084267999999999,0.203094926,0.23894266699999997
MLP-PPO,drift500,5,5,0.1609,0.13068,0.19260000000000002,335.80359480000004,281.1962858,397.59411719999997,61.096000000000004,48.328799999999994,71.5308,0.20140019999999997,0.14988200000000002,0.2430446
MLP-PPO,mixed500,5,5,0.14686,0.12118,0.17526000000000003,334.9380712,268.8865678,417.37233219999996,61.62360000000001,46.343599999999995,74.6944,0.15131880000000003,0.1166012,0.1903242
WorkloadAwareThreshold,baseline (eval500),5,25,0.19432000000000002,0.19233599999999998,0.19642810000000005,323.64931684,313.319489275,334.60719571499993,49.85416,49.543277999999994,50.16464,0.24772531999999997,0.24101052199999998,0.25438063400000005
WorkloadAwareThreshold,drift500,3,3,0.1869333333333333,0.1837,0.1909,294.08702366666665,275.057826,330.461436,49.82266666666666,48.358,50.618,0.22444433333333333,0.21877500000000003,0.234453
WorkloadAwareThreshold,mixed500,3,3,0.1834,0.17600000000000002,0.1895,288.05753266666665,273.613339,306.136564,49.90533333333334,49.698,50.15200000000001,0.20315933333333333,0.178642,0.223017
AlwaysCompact_C128,baseline (eval500),5,25,0.190264,0.19014,0.190376,197.86029784000002,192.67766674100002,203.99326401899998,22.149280000000005,22.023914000000005,22.276641999999995,0.0,0.0,0.0
AlwaysCompact_C128,drift500,3,3,0.19016666666666668,0.1897,0.1907,213.41978166666664,192.936102,236.390623,21.954666666666668,21.718,22.314000000000004,0.0,0.0,0.0
AlwaysCompact_C128,mixed500,3,3,0.1898,0.1893,0.1902,223.98958133333335,213.542839,239.293933,22.546000000000003,22.334,22.754,0.0,0.0,0.0
