step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,AlwaysCompact_C128,3,COMPACT_128KB,-0.30422,-0.055,0.017014,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,216.23343682335286,189.54849243164062,1,0.104522705078125,6.689453125,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,AlwaysCompact_C128,3,COMPACT_128KB,-0.291888,-0.055,0.031658,0,45,216.23343682335286,189.54849243164062,1,0.104522705078125,6.689453125,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45,167.3973387588147,73.94051551818848,1,0.1661834716796875,10.6357421875,0.0,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,AlwaysCompact_C128,3,COMPACT_128KB,-0.281055,-0.055,0.042691,0,45,167.3973387588147,73.94051551818848,1,0.1661834716796875,10.6357421875,0.0,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40,216.88038574401799,63.95292282104492,1,0.2203521728515625,14.1025390625,0.0,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,AlwaysCompact_C128,3,COMPACT_128KB,-0.272183,-0.055,0.050358,0,40,216.88038574401799,63.95292282104492,1,0.2203521728515625,14.1025390625,0.0,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33,202.90080713492023,124.20153617858887,1,0.26470947265625,16.94140625,0.0,0,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,AlwaysCompact_C128,3,COMPACT_128KB,-0.261285,-0.055,0.06296,0,33,202.90080713492023,124.20153617858887,1,0.26470947265625,16.94140625,0.0,0,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39,162.77245787841758,38.97547721862793,1,0.3191986083984375,20.4287109375,0.0,0,0,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2
6,AlwaysCompact_C128,3,COMPACT_128KB,-0.253018,-0.055,0.070626,0,39,162.77245787841758,38.97547721862793,1,0.3191986083984375,20.4287109375,0.0,0,0,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2,32,183.63626761382372,69.04959678649902,1,0.36053466796875,23.07421875,0.0,0,0,6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666
7,AlwaysCompact_C128,3,COMPACT_128KB,-0.241009,-0.055,0.082732,0,32,183.63626761382372,69.04959678649902,1,0.36053466796875,23.07421875,0.0,0,0,6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,45,267.14896158729306,64.19229507446289,1,0.4205780029296875,26.9169921875,0.0,0,0,7,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285
8,AlwaysCompact_C128,3,COMPACT_128KB,-0.229233,-0.055,0.094314,0,45,267.14896158729306,64.19229507446289,1,0.4205780029296875,26.9169921875,0.0,0,0,7,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,44,246.23918705435293,73.89235496520996,1,0.479461669921875,30.685546875,0.0,0,0,8,0.0,0.0,0.875,0.0,0.0,0.0,0.125
9,AlwaysCompact_C128,3,COMPACT_128KB,-0.216794,-0.055,0.107501,0,44,246.23918705435293,73.89235496520996,1,0.479461669921875,30.685546875,0.0,0,0,8,0.0,0.0,0.875,0.0,0.0,0.0,0.125,46,226.6190073481047,36.499977111816406,1,0.541656494140625,34.666015625,0.0,0,0,9,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.2222222222222222
10,AlwaysCompact_C128,3,COMPACT_128KB,-0.202008,-0.055,0.121581,0,46,226.6190073481047,36.499977111816406,1,0.541656494140625,34.666015625,0.0,0,0,9,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.2222222222222222,48,252.18593907751972,71.78854942321777,1,0.6155853271484375,39.3974609375,0.0,0,0,10,0.0,0.0,0.8,0.0,0.0,0.0,0.2
