step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,AlwaysCompact_C128,3,COMPACT_128KB,-0.30477,-0.055,0.01885,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,256.4761747657863,70.27626037597656,1,0.101776123046875,6.513671875,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,AlwaysCompact_C128,3,COMPACT_128KB,-0.292645,-0.055,0.030225,0,43,256.4761747657863,70.27626037597656,1,0.101776123046875,6.513671875,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,203.91362039101472,107.71870613098145,1,0.1623992919921875,10.3935546875,0.0,0,0,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0
3,AlwaysCompact_C128,3,COMPACT_128KB,-0.281756,-0.055,0.041775,0,43,203.91362039101472,107.71870613098145,1,0.1623992919921875,10.3935546875,0.0,0,0,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0,39,190.2579134628022,74.67508316040039,1,0.2168426513671875,13.8779296875,0.0,0,0,3,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
4,AlwaysCompact_C128,3,COMPACT_128KB,-0.270593,-0.055,0.053451,0,39,190.2579134628022,74.67508316040039,1,0.2168426513671875,13.8779296875,0.0,0,0,3,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,44,232.7700116038545,49.02482032775879,1,0.2726593017578125,17.4501953125,0.0,0,0,4,0.0,0.0,0.5,0.0,0.25,0.25,0.0
5,AlwaysCompact_C128,3,COMPACT_128KB,-0.259833,-0.055,0.064326,0,44,232.7700116038545,49.02482032775879,1,0.2726593017578125,17.4501953125,0.0,0,0,4,0.0,0.0,0.5,0.0,0.25,0.25,0.0,40,210.99329186547513,43.31684112548828,1,0.3264617919921875,20.8935546875,0.0,0,0,5,0.0,0.0,0.4,0.2,0.2,0.2,0.0
6,AlwaysCompact_C128,3,COMPACT_128KB,-0.247452,-0.055,0.076323,0,40,210.99329186547513,43.31684112548828,1,0.3264617919921875,20.8935546875,0.0,0,0,5,0.0,0.0,0.4,0.2,0.2,0.2,0.0,46,244.86784181783338,62.522172927856445,1,0.38836669921875,24.85546875,0.0,0,0,6,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0
7,AlwaysCompact_C128,3,COMPACT_128KB,-0.238898,-0.055,0.084609,0,46,244.86784181783338,62.522172927856445,1,0.38836669921875,24.85546875,0.0,0,0,6,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,32,161.057086115761,75.92439651489258,1,0.4311370849609375,27.5927734375,0.0,0,0,7,0.0,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0
8,AlwaysCompact_C128,3,COMPACT_128KB,-0.230856,-0.055,0.093418,0,32,161.057086115761,75.92439651489258,1,0.4311370849609375,27.5927734375,0.0,0,0,7,0.0,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,30,161.74905646795077,37.51730918884277,1,0.471343994140625,30.166015625,0.0,0,0,8,0.0,0.0,0.375,0.125,0.25,0.125,0.125
9,AlwaysCompact_C128,3,COMPACT_128KB,-0.218051,-0.055,0.105747,0,30,161.74905646795077,37.51730918884277,1,0.471343994140625,30.166015625,0.0,0,0,8,0.0,0.0,0.375,0.125,0.25,0.125,0.125,46,244.4168075998789,61.330556869506836,1,0.535369873046875,34.263671875,0.0,0,0,9,0.0,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111
10,AlwaysCompact_C128,3,COMPACT_128KB,-0.207797,-0.055,0.115661,0,46,244.4168075998789,61.330556869506836,1,0.535369873046875,34.263671875,0.0,0,0,9,0.0,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,39,206.65589788098495,78.34100723266602,1,0.586639404296875,37.544921875,0.0,0,0,10,0.0,0.0,0.4,0.1,0.3,0.1,0.1
11,AlwaysCompact_C128,3,COMPACT_128KB,-0.196344,-0.055,0.127411,0,39,206.65589788098495,78.34100723266602,1,0.586639404296875,37.544921875,0.0,0,0,10,0.0,0.0,0.4,0.1,0.3,0.1,0.1,43,224.40205346678047,63.48872184753418,1,0.6439056396484375,41.2099609375,0.0,0,0,11,0.0,0.0,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091
12,AlwaysCompact_C128,3,COMPACT_128KB,-0.185159,-0.055,0.139005,0,43,224.40205346678047,63.48872184753418,1,0.6439056396484375,41.2099609375,0.0,0,0,11,0.0,0.0,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,43,226.8485999552227,43.05911064147949,1,0.6998291015625,44.7890625,0.0,0,0,12,0.0,0.0,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666
13,AlwaysCompact_C128,3,COMPACT_128KB,-0.174722,-0.055,0.148782,0,43,226.8485999552227,43.05911064147949,1,0.6998291015625,44.7890625,0.0,0,0,12,0.0,0.0,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,39,205.72777373924373,76.04479789733887,1,0.75201416015625,48.12890625,0.0,0,0,13,0.0,0.0,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.15384615384615385
14,AlwaysCompact_C128,3,COMPACT_128KB,-0.164456,-0.055,0.157068,0,39,205.72777373924373,76.04479789733887,1,0.75201416015625,48.12890625,0.0,0,0,13,0.0,0.0,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.15384615384615385,38,192.6369229058544,175.05693435668945,1,0.8033447265625,51.4140625,0.0,0,0,14,0.0,0.0,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.14285714285714285
15,AlwaysCompact_C128,3,COMPACT_128KB,-0.151297,-0.055,0.172043,0,38,192.6369229058544,175.05693435668945,1,0.8033447265625,51.4140625,0.0,0,0,14,0.0,0.0,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.14285714285714285,49,185.66093178761105,84.26427841186523,1,0.869140625,55.625,0.0,0,0,15,0.0,0.0,0.4,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333
16,AlwaysCompact_C128,3,COMPACT_128KB,-0.141449,-0.055,0.182057,0,49,185.66093178761105,84.26427841186523,1,0.869140625,55.625,0.0,0,0,15,0.0,0.0,0.4,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,35,155.62752178033716,75.95109939575195,1,0.9183807373046875,58.7763671875,0.0,0,0,16,0.0,0.0,0.375,0.125,0.25,0.125,0.125
17,AlwaysCompact_C128,3,COMPACT_128KB,-0.131393,-0.055,0.192366,0,35,155.62752178033716,75.95109939575195,1,0.9183807373046875,58.7763671875,0.0,0,0,16,0.0,0.0,0.375,0.125,0.25,0.125,0.125,39,152.68571513912056,63.2781982421875,1,0.968658447265625,61.994140625,0.0,0,0,17,0.0,0.0,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.11764705882352941
18,AlwaysCompact_C128,3,COMPACT_128KB,-0.125125,-0.055,0.198281,0,39,152.68571513912056,63.2781982421875,1,0.968658447265625,61.994140625,0.0,0,0,17,0.0,0.0,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.11764705882352941,31,145.24040664455686,80.95502853393555,1,1.0096435546875,64.6171875,0.0,0,0,18,0.0,0.0,0.3888888888888889,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.1111111111111111
19,AlwaysCompact_C128,3,COMPACT_128KB,-0.125125,-0.055,0.198477,0,31,145.24040664455686,80.95502853393555,1,1.0096435546875,64.6171875,0.0,0,0,18,0.0,0.0,0.3888888888888889,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.1111111111111111,30,158.8169988261874,71.17366790771484,1,1.0500640869140625,67.2041015625,0.0,0,0,19,0.0,0.0,0.42105263157894735,0.10526315789473684,0.21052631578947367,0.15789473684210525,0.10526315789473684
20,AlwaysCompact_C128,3,COMPACT_128KB,-0.125125,-0.055,0.198452,0,30,158.8169988261874,71.17366790771484,1,1.0500640869140625,67.2041015625,0.0,0,0,19,0.0,0.0,0.42105263157894735,0.10526315789473684,0.21052631578947367,0.15789473684210525,0.10526315789473684,37,220.86060197222827,72.37887382507324,1,1.0992431640625,70.3515625,0.0,0,0,20,0.0,0.0,0.45,0.1,0.2,0.15,0.1
21,AlwaysCompact_C128,3,COMPACT_128KB,-0.125125,-0.055,0.198471,0,37,220.86060197222827,72.37887382507324,1,1.0992431640625,70.3515625,0.0,0,0,20,0.0,0.0,0.45,0.1,0.2,0.15,0.1,31,185.92836469713436,71.46859169006348,1,1.1409912109375,73.0234375,0.0,0,0,21,0.0,0.0,0.45,0.1,0.2,0.15,0.1
22,AlwaysCompact_C128,3,COMPACT_128KB,-0.125125,-0.055,0.19914,0,31,185.92836469713436,71.46859169006348,1,1.1409912109375,73.0234375,0.0,0,0,21,0.0,0.0,0.45,0.1,0.2,0.15,0.1,30,176.24928038861117,38.0244255065918,1,1.1809844970703125,75.5830078125,0.0,0,0,22,0.0,0.0,0.45,0.1,0.15,0.15,0.15
23,AlwaysCompact_C128,3,COMPACT_128KB,-0.125125,-0.055,0.199099,0,30,176.24928038861117,38.0244255065918,1,1.1809844970703125,75.5830078125,0.0,0,0,22,0.0,0.0,0.45,0.1,0.15,0.15,0.15,32,193.27643519758539,40.06528854370117,1,1.2238006591796875,78.3232421875,0.0,0,0,23,0.0,0.0,0.4,0.1,0.15,0.15,0.2
24,AlwaysCompact_C128,3,COMPACT_128KB,-0.125125,-0.055,0.198971,0,32,193.27643519758539,40.06528854370117,1,1.2238006591796875,78.3232421875,0.0,0,0,23,0.0,0.0,0.4,0.1,0.15,0.15,0.2,37,209.9646039011204,46.45061492919922,1,1.27325439453125,81.48828125,0.0,0,0,24,0.0,0.0,0.4,0.15,0.15,0.1,0.2
25,AlwaysCompact_C128,3,COMPACT_128KB,-0.125125,-0.055,0.198906,0,37,209.9646039011204,46.45061492919922,1,1.27325439453125,81.48828125,0.0,0,0,24,0.0,0.0,0.4,0.15,0.15,0.1,0.2,49,280.21462667072063,49.69620704650879,1,1.3386688232421875,85.6748046875,0.0,0,0,25,0.0,0.0,0.4,0.15,0.15,0.1,0.2
26,AlwaysCompact_C128,3,COMPACT_128KB,-0.125125,-0.055,0.198427,0,49,280.21462667072063,49.69620704650879,1,1.3386688232421875,85.6748046875,0.0,0,0,25,0.0,0.0,0.4,0.15,0.15,0.1,0.2,49,281.61031287766883,73.6532211303711,1,1.4080352783203125,90.1142578125,0.0,0,0,26,0.0,0.0,0.4,0.2,0.1,0.1,0.2
