step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,MultiAgentRL_attentive_ppoclip,0,NOOP,0.020542,0.0,0.018152,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,284.42058052652993,120.74398994445801,1,0.10333251953125,6.61328125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,MultiAgentRL_attentive_ppoclip,0,NOOP,0.021318,0.0,0.02028,0,43,284.42058052652993,120.74398994445801,1,0.10333251953125,6.61328125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50,292.1931428061884,54.41784858703613,2,0.10784149169921875,13.8037109375,0.4081055739074703,0,2,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5
3,MultiAgentRL_attentive_ppoclip,0,NOOP,0.020827,0.0,0.018677,0,50,292.1931428061884,54.41784858703613,2,0.10784149169921875,13.8037109375,0.4081055739074703,0,2,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,43,256.081057634011,111.24563217163086,3,0.10600789388020833,20.353515625,0.35297072199652946,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
4,MultiAgentRL_attentive_ppoclip,0,NOOP,0.020497,0.0,0.018969,0,43,256.081057634011,111.24563217163086,3,0.10600789388020833,20.353515625,0.35297072199652946,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,43,226.93194623745208,81.38608932495117,4,0.10498428344726562,26.8759765625,0.31658440742869426,0,4,4,0.0,0.0,0.75,0.0,0.0,0.0,0.25
5,MultiAgentRL_attentive_ppoclip,0,NOOP,0.019878,0.0,0.016355,0,43,226.93194623745208,81.38608932495117,4,0.10498428344726562,26.8759765625,0.31658440742869426,0,4,4,0.0,0.0,0.75,0.0,0.0,0.0,0.25,36,222.00502836172447,182.38234519958496,5,0.1025146484375,32.8046875,0.4473016582783201,0,5,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2
6,MultiAgentRL_attentive_ppoclip,0,NOOP,0.019518,0.0,0.017672,0,36,222.00502836172447,182.38234519958496,5,0.1025146484375,32.8046875,0.4473016582783201,0,5,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2,38,198.88313474163112,99.78032112121582,6,0.10133870442708333,38.9140625,0.44050857051806586,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
7,MultiAgentRL_attentive_ppoclip,0,NOOP,0.01958,0.0,0.017382,0,38,198.88313474163112,99.78032112121582,6,0.10133870442708333,38.9140625,0.44050857051806586,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,47,286.15141912792546,118.64876747131348,7,0.10227530343191964,45.8193359375,0.4322708483797319,0,7,7,0.0,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.14285714285714285
8,MultiAgentRL_attentive_ppoclip,0,NOOP,0.01934,0.0,0.016817,0,47,286.15141912792546,118.64876747131348,7,0.10227530343191964,45.8193359375,0.4322708483797319,0,7,7,0.0,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.14285714285714285,40,214.5670985151744,136.16156578063965,8,0.10170173645019531,52.0712890625,0.4134538191843206,0,8,8,0.0,0.0,0.75,0.0,0.0,0.125,0.125
9,MultiAgentRL_attentive_ppoclip,0,NOOP,0.019308,0.0,0.017158,0,40,214.5670985151744,136.16156578063965,8,0.10170173645019531,52.0712890625,0.4134538191843206,0,8,8,0.0,0.0,0.75,0.0,0.0,0.125,0.125,46,264.4130664780919,118.74604225158691,9,0.10216606987847222,58.84765625,0.3968931032125299,0,9,9,0.0,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111
10,MultiAgentRL_attentive_ppoclip,0,NOOP,0.019357,0.0,0.018278,0,46,264.4130664780919,118.74604225158691,9,0.10216606987847222,58.84765625,0.3968931032125299,0,9,9,0.0,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111,49,300.6673932666129,66.44272804260254,10,0.10303497314453125,65.9423828125,0.4134561189172328,0,10,10,0.0,0.0,0.7,0.0,0.0,0.1,0.2
