step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,MultiAgentRL_attentive_ppoclip,0,NOOP,0.01922,0.0,0.01844,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,261.8879877043275,40.24815559387207,1,0.0967254638671875,6.1904296875,0.0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,MultiAgentRL_attentive_ppoclip,0,NOOP,0.020352,0.0,0.018998,0,39,261.8879877043275,40.24815559387207,1,0.0967254638671875,6.1904296875,0.0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48,299.1590950629667,70.2061653137207,2,0.1030120849609375,13.185546875,0.56899998798605,0,2,2,0.0,0.0,0.0,0.5,0.0,0.5,0.0
3,MultiAgentRL_attentive_ppoclip,0,NOOP,0.020747,0.0,0.019207,0,48,299.1590950629667,70.2061653137207,2,0.1030120849609375,13.185546875,0.56899998798605,0,2,2,0.0,0.0,0.0,0.5,0.0,0.5,0.0,49,262.09218330559645,80.77001571655273,3,0.10561116536458333,20.27734375,0.4948622268424832,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
4,MultiAgentRL_attentive_ppoclip,0,NOOP,0.02002,0.0,0.018597,0,49,262.09218330559645,80.77001571655273,3,0.10561116536458333,20.27734375,0.4948622268424832,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,37,199.87178470050642,76.1411190032959,4,0.10260009765625,26.265625,0.5583951014423197,0,4,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0
5,MultiAgentRL_attentive_ppoclip,0,NOOP,0.019357,0.0,0.018154,0,37,199.87178470050642,76.1411190032959,4,0.10260009765625,26.265625,0.5583951014423197,0,4,4,0.0,0.0,0.5,0.25,0.0,0.25,0.0,34,198.35196590611943,66.42556190490723,5,0.0999114990234375,31.9716796875,0.6179763581281427,0,5,5,0.0,0.0,0.4,0.4,0.0,0.2,0.0
6,MultiAgentRL_attentive_ppoclip,0,NOOP,0.019389,0.0,0.017465,0,34,198.35196590611943,66.42556190490723,5,0.0999114990234375,31.9716796875,0.6179763581281427,0,5,5,0.0,0.0,0.4,0.4,0.0,0.2,0.0,45,255.43527628533923,103.70373725891113,6,0.10069529215494792,38.6669921875,0.5662275501598074,0,6,6,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0
7,MultiAgentRL_attentive_ppoclip,0,NOOP,0.019436,0.0,0.017821,0,45,255.43527628533923,103.70373725891113,6,0.10069529215494792,38.6669921875,0.5662275501598074,0,6,6,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,47,262.8542657820067,89.48254585266113,7,0.10155378069196429,45.49609375,0.536944475498552,0,7,7,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.0
8,MultiAgentRL_attentive_ppoclip,0,NOOP,0.019146,0.0,0.017061,0,47,262.8542657820067,89.48254585266113,7,0.10155378069196429,45.49609375,0.536944475498552,0,7,7,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.0,38,202.90041577236144,114.24469947814941,8,0.10073089599609375,51.57421875,0.5189516499576065,0,8,8,0.0,0.0,0.5,0.375,0.0,0.125,0.0
9,MultiAgentRL_attentive_ppoclip,0,NOOP,0.018931,0.0,0.017463,0,38,202.90041577236144,114.24469947814941,8,0.10073089599609375,51.57421875,0.5189516499576065,0,8,8,0.0,0.0,0.5,0.375,0.0,0.125,0.0,39,221.86967596674216,84.65290069580078,9,0.10027906629774305,57.7607421875,0.49312549268179257,0,9,9,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111,0.0
10,MultiAgentRL_attentive_ppoclip,0,NOOP,0.018669,0.0,0.016532,0,39,221.86967596674216,84.65290069580078,9,0.10027906629774305,57.7607421875,0.49312549268179257,0,9,9,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111,0.0,37,210.06066463359335,119.35305595397949,10,0.09959564208984376,63.7412109375,0.48506153087794673,0,10,10,0.0,0.0,0.5,0.4,0.0,0.1,0.0
11,MultiAgentRL_attentive_ppoclip,0,NOOP,0.018595,0.0,0.016657,0,37,210.06066463359335,119.35305595397949,10,0.09959564208984376,63.7412109375,0.48506153087794673,0,10,10,0.0,0.0,0.5,0.4,0.0,0.1,0.0,43,233.47237116338076,110.63504219055176,11,0.09984935413707387,70.2939453125,0.46331033412151595,0,11,11,0.0,0.0,0.5454545454545454,0.36363636363636365,0.0,0.09090909090909091,0.0
12,MultiAgentRL_attentive_ppoclip,0,NOOP,0.018371,0.0,0.01672,0,43,233.47237116338076,110.63504219055176,11,0.09984935413707387,70.2939453125,0.46331033412151595,0,11,11,0.0,0.0,0.5454545454545454,0.36363636363636365,0.0,0.09090909090909091,0.0,37,207.17174686450804,97.56898880004883,12,0.09935633341471355,76.3056640625,0.4550709728205322,0,12,12,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0
13,MultiAgentRL_attentive_ppoclip,0,NOOP,0.018142,0.0,0.016424,0,37,207.17174686450804,97.56898880004883,12,0.09935633341471355,76.3056640625,0.4550709728205322,0,12,12,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,36,202.48670583328752,102.12326049804688,13,0.09883469801682693,82.23046875,0.4520189055688716,0,13,13,0.0,0.0,0.46153846153846156,0.3076923076923077,0.0,0.23076923076923078,0.0
14,MultiAgentRL_attentive_ppoclip,0,NOOP,0.017967,0.0,0.015697,0,36,202.48670583328752,102.12326049804688,13,0.09883469801682693,82.23046875,0.4520189055688716,0,13,13,0.0,0.0,0.46153846153846156,0.3076923076923077,0.0,0.23076923076923078,0.0,38,217.9359743591146,131.00051879882812,14,0.09858376639229911,88.3310546875,0.4384231349974938,0,14,14,0.0,0.0,0.5,0.2857142857142857,0.0,0.21428571428571427,0.0
15,MultiAgentRL_attentive_ppoclip,0,NOOP,0.018036,0.0,0.013845,0,38,217.9359743591146,131.00051879882812,14,0.09858376639229911,88.3310546875,0.4384231349974938,0,14,14,0.0,0.0,0.5,0.2857142857142857,0.0,0.21428571428571427,0.0,50,275.696553319819,228.29890251159668,15,0.09955342610677083,95.5712890625,0.4860592111575189,0,15,15,0.0,0.0,0.4666666666666667,0.26666666666666666,0.06666666666666667,0.2,0.0
16,MultiAgentRL_attentive_ppoclip,0,NOOP,0.017939,0.0,0.015174,0,50,275.696553319819,228.29890251159668,15,0.09955342610677083,95.5712890625,0.4860592111575189,0,15,15,0.0,0.0,0.4666666666666667,0.26666666666666666,0.06666666666666667,0.2,0.0,43,234.70347900546304,158.2317352294922,16,0.09969329833984375,102.0859375,0.4709410597631441,0,16,16,0.0,0.0,0.5,0.25,0.0625,0.1875,0.0
17,MultiAgentRL_attentive_ppoclip,0,NOOP,0.017746,0.0,0.01582,0,43,234.70347900546304,158.2317352294922,16,0.09969329833984375,102.0859375,0.4709410597631441,0,16,16,0.0,0.0,0.5,0.25,0.0625,0.1875,0.0,37,221.92243330783145,117.5682544708252,17,0.09935536104090073,108.0986328125,0.46462455404972847,0,17,17,0.0,0.0,0.47058823529411764,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.058823529411764705
18,MultiAgentRL_attentive_ppoclip,1,COMPACT_32KB,0.427246,-0.045,0.057673,0,37,221.92243330783145,117.5682544708252,17,0.09935536104090073,108.0986328125,0.46462455404972847,0,17,17,0.0,0.0,0.47058823529411764,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.058823529411764705,47,290.7174249987834,74.55325126647949,4,0.297821044921875,76.2421875,3.6273625008769876,0,0,18,0.0,0.0,0.5,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.05555555555555555
19,MultiAgentRL_attentive_ppoclip,0,NOOP,0.050432,0.0,0.048546,0,47,290.7174249987834,74.55325126647949,4,0.297821044921875,76.2421875,3.6273625008769876,0,0,18,0.0,0.0,0.5,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.05555555555555555,31,192.73065555156987,100.57663917541504,5,0.25528564453125,81.69140625,6.849961291851191,0,1,19,0.0,0.0,0.5263157894736842,0.21052631578947367,0.05263157894736842,0.15789473684210525,0.05263157894736842
20,MultiAgentRL_attentive_ppoclip,0,NOOP,0.04549,0.0,0.042758,0,31,192.73065555156987,100.57663917541504,5,0.25528564453125,81.69140625,6.849961291851191,0,1,19,0.0,0.0,0.5263157894736842,0.21052631578947367,0.05263157894736842,0.15789473684210525,0.05263157894736842,49,300.0778166484643,144.089937210083,6,0.2311986287434896,88.7802734375,7.19695670704985,0,2,20,0.0,0.0,0.55,0.2,0.05,0.15,0.05
21,MultiAgentRL_attentive_ppoclip,4,PARTITION_HOUR,-0.14027,-0.1,0.039623,0,49,300.0778166484643,144.089937210083,6,0.2311986287434896,88.7802734375,7.19695670704985,0,2,20,0.0,0.0,0.55,0.2,0.05,0.15,0.05,40,246.96419161006745,104.98356819152832,7,0.21211460658482142,95.02734375,7.321600083702577,1,3,0,0.0,0.0,0.6,0.15,0.05,0.15,0.05
22,MultiAgentRL_attentive_ppoclip,0,NOOP,0.03892,-0.04453,0.037607,0,40,246.96419161006745,104.98356819152832,7,0.21211460658482142,95.02734375,7.321600083702577,1,3,0,0.0,0.0,0.6,0.15,0.05,0.15,0.05,50,266.58226142489775,75.66380500793457,8,0.1996021270751953,102.1962890625,7.14689308057942,1,4,1,0.0,0.0,0.6,0.2,0.05,0.1,0.05
23,MultiAgentRL_attentive_ppoclip,0,NOOP,0.03651,0.007668,0.060198,0,50,266.58226142489775,75.66380500793457,8,0.1996021270751953,102.1962890625,7.14689308057942,1,4,1,0.0,0.0,0.6,0.2,0.05,0.1,0.05,39,173.9895655947558,115.61393737792969,9,0.18817308213975695,108.3876953125,7.03623545660996,1,5,2,0.08591815320041973,0.0042959076600209865,0.6,0.2,0.05,0.1,0.05
24,MultiAgentRL_attentive_ppoclip,0,NOOP,0.034852,0.035576,0.071002,0,39,173.9895655947558,115.61393737792969,9,0.18817308213975695,108.3876953125,7.03623545660996,1,5,2,0.08591815320041973,0.0042959076600209865,0.6,0.2,0.05,0.1,0.05,50,288.3959635742556,117.48099327087402,10,0.18050994873046874,115.5263671875,6.812706658575923,1,6,3,0.1274975074775673,0.010670783033899352,0.6,0.2,0.05,0.1,0.05
25,MultiAgentRL_attentive_ppoclip,0,NOOP,0.033282,0.056955,0.078908,0,50,288.3959635742556,117.48099327087402,10,0.18050994873046874,115.5263671875,6.812706658575923,1,6,3,0.1274975074775673,0.010670783033899352,0.6,0.2,0.05,0.1,0.05,42,224.26434968587088,122.66921997070312,11,0.17328297008167615,121.9912109375,6.64265869724772,1,7,4,0.1593492822966507,0.018638247148731888,0.65,0.15,0.05,0.1,0.05
