step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,MultiAgentRL_ddqn,0,NOOP,0.021616,0.0,0.005972,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,14.406296398526166,783.4255695343018,1,0.10870361328125,6.95703125,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,MultiAgentRL_ddqn,0,NOOP,0.019336,0.0,0.005692,0,47,14.406296398526166,783.4255695343018,1,0.10870361328125,6.95703125,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32,74.33681872685935,684.6921443939209,2,0.097930908203125,12.53515625,0.9750339599955128,0,2,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0
3,MultiAgentRL_ddqn,0,NOOP,0.019043,0.0,0.011656,0,32,74.33681872685935,684.6921443939209,2,0.097930908203125,12.53515625,0.9750339599955128,0,2,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0,38,98.58652416948982,373.1231689453125,3,0.0970916748046875,18.6416015625,0.6957012332845561,0,3,3,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
4,MultiAgentRL_ddqn,0,NOOP,0.019628,0.0,0.013294,0,38,98.58652416948982,373.1231689453125,3,0.0970916748046875,18.6416015625,0.6957012332845561,0,3,3,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,50,175.93498008395946,321.71177864074707,4,0.10063934326171875,25.763671875,0.7272379480340047,0,4,4,0.0,0.0,0.25,0.0,0.25,0.25,0.25
5,MultiAgentRL_ddqn,0,NOOP,0.019908,0.0,0.016118,0,50,175.93498008395946,321.71177864074707,4,0.10063934326171875,25.763671875,0.7272379480340047,0,4,4,0.0,0.0,0.25,0.0,0.25,0.25,0.25,49,130.27630093491476,195.76025009155273,5,0.102667236328125,32.853515625,0.6934531049102864,0,5,5,0.0,0.0,0.2,0.0,0.2,0.2,0.4
6,MultiAgentRL_ddqn,0,NOOP,0.019804,0.0,0.012035,0,49,130.27630093491476,195.76025009155273,5,0.102667236328125,32.853515625,0.6934531049102864,0,5,5,0.0,0.0,0.2,0.0,0.2,0.2,0.4,43,180.1748971028971,395.90930938720703,6,0.1027679443359375,39.462890625,0.620444211260859,0,6,6,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333
7,MultiAgentRL_ddqn,0,NOOP,0.019164,0.0,0.011874,0,43,180.1748971028971,395.90930938720703,6,0.1027679443359375,39.462890625,0.620444211260859,0,6,6,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,30,124.98546809038987,373.23904037475586,7,0.10019356863839286,44.88671875,0.714712265354111,0,7,7,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857
8,MultiAgentRL_ddqn,0,NOOP,0.019234,0.0,0.011286,0,30,124.98546809038987,373.23904037475586,7,0.10019356863839286,44.88671875,0.714712265354111,0,7,7,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,47,195.32146271913095,407.3624610900879,8,0.10116767883300781,51.7978515625,0.6847871911451147,0,8,8,0.0,0.0,0.5,0.0,0.125,0.125,0.25
9,MultiAgentRL_ddqn,0,NOOP,0.019199,0.0,0.012736,0,47,195.32146271913095,407.3624610900879,8,0.10116767883300781,51.7978515625,0.6847871911451147,0,8,8,0.0,0.0,0.5,0.0,0.125,0.125,0.25,45,165.38386991060648,334.4087600708008,9,0.10162183973524305,58.5341796875,0.6464676766801688,0,9,9,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222
10,MultiAgentRL_ddqn,0,NOOP,0.018922,0.0,0.010305,0,45,165.38386991060648,334.4087600708008,9,0.10162183973524305,58.5341796875,0.6464676766801688,0,9,9,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,37,132.16267695653914,443.3717727661133,10,0.10086212158203126,64.5517578125,0.6285903295135803,0,10,10,0.0,0.0,0.4,0.1,0.2,0.1,0.2
