step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,MultiAgentRL_mlp_ppo,0,NOOP,0.022034,0.0,0.020422,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,294.89037219846756,81.83002471923828,1,0.1107940673828125,7.0908203125,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,MultiAgentRL_mlp_ppo,0,NOOP,0.021866,0.0,0.020442,0,49,294.89037219846756,81.83002471923828,1,0.1107940673828125,7.0908203125,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49,201.828642808462,73.69256019592285,2,0.1105804443359375,14.154296875,0.01933495104806966,0,2,2,0.0,0.0,0.0,0.5,0.5,0.0,0.0
3,MultiAgentRL_mlp_ppo,0,NOOP,0.021339,0.0,0.01952,0,49,201.828642808462,73.69256019592285,2,0.1105804443359375,14.154296875,0.01933495104806966,0,2,2,0.0,0.0,0.0,0.5,0.5,0.0,0.0,44,165.36771344648807,94.73085403442383,3,0.10857137044270833,20.845703125,0.22312761349754692,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
4,MultiAgentRL_mlp_ppo,0,NOOP,0.0214,0.0,0.018962,0,44,165.36771344648807,94.73085403442383,3,0.10857137044270833,20.845703125,0.22312761349754692,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,50,201.09235961951518,126.9218921661377,4,0.10950088500976562,28.0322265625,0.21759217249451734,0,4,4,0.0,0.0,0.25,0.25,0.25,0.25,0.0
5,MultiAgentRL_mlp_ppo,0,NOOP,0.021299,0.0,0.019116,0,50,201.09235961951518,126.9218921661377,4,0.10950088500976562,28.0322265625,0.21759217249451734,0,4,4,0.0,0.0,0.25,0.25,0.25,0.25,0.0,49,228.2115100180774,115.43560028076172,5,0.1096221923828125,35.0791015625,0.18923831047934292,0,5,5,0.0,0.0,0.4,0.2,0.2,0.2,0.0
6,MultiAgentRL_mlp_ppo,0,NOOP,0.020914,0.0,0.018912,0,49,228.2115100180774,115.43560028076172,5,0.1096221923828125,35.0791015625,0.18923831047934292,0,5,5,0.0,0.0,0.4,0.2,0.2,0.2,0.0,42,218.90531417174597,107.62476921081543,6,0.1083221435546875,41.595703125,0.26492540569196965,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
7,MultiAgentRL_mlp_ppo,0,NOOP,0.02038,0.0,0.018259,0,42,218.90531417174597,107.62476921081543,6,0.1083221435546875,41.595703125,0.26492540569196965,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,37,143.3793755912961,114.80379104614258,7,0.1062774658203125,47.6123046875,0.422323483041866,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
8,MultiAgentRL_mlp_ppo,0,NOOP,0.019707,0.0,0.018315,0,37,143.3793755912961,114.80379104614258,7,0.1062774658203125,47.6123046875,0.422323483041866,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,30,124.89056738609351,79.62393760681152,8,0.10353660583496094,53.0107421875,0.6316969388664144,0,8,8,0.0,0.0,0.5,0.25,0.125,0.125,0.0
9,MultiAgentRL_mlp_ppo,0,NOOP,0.019765,0.0,0.017854,0,30,124.89056738609351,79.62393760681152,8,0.10353660583496094,53.0107421875,0.6316969388664144,0,8,8,0.0,0.0,0.5,0.25,0.125,0.125,0.0,50,214.73374229108495,106.79936408996582,9,0.10444810655381945,60.162109375,0.6162700245225853,0,9,9,0.0,0.0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0
10,MultiAgentRL_mlp_ppo,0,NOOP,0.019415,0.0,0.017122,0,50,214.73374229108495,106.79936408996582,9,0.10444810655381945,60.162109375,0.6162700245225853,0,9,9,0.0,0.0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,37,174.5523389609367,127.14910507202148,10,0.103326416015625,66.12890625,0.623799200468294,0,10,10,0.0,0.0,0.5,0.3,0.1,0.1,0.0
11,MultiAgentRL_mlp_ppo,0,NOOP,0.018944,0.0,0.016648,0,37,174.5523389609367,127.14910507202148,10,0.103326416015625,66.12890625,0.623799200468294,0,10,10,0.0,0.0,0.5,0.3,0.1,0.1,0.0,30,147.4946021028941,128.51977348327637,11,0.10159440474076704,71.5224609375,0.696688401020228,0,11,11,0.0,0.0,0.5454545454545454,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0
12,MultiAgentRL_mlp_ppo,0,NOOP,0.018704,0.0,0.017158,0,30,147.4946021028941,128.51977348327637,11,0.10159440474076704,71.5224609375,0.696688401020228,0,11,11,0.0,0.0,0.5454545454545454,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,37,170.9433909058865,92.25988388061523,12,0.10101826985677083,77.58203125,0.6764353961980701,0,12,12,0.0,0.0,0.5,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0
13,MultiAgentRL_mlp_ppo,0,NOOP,0.018579,0.0,0.016827,0,37,170.9433909058865,92.25988388061523,12,0.10101826985677083,77.58203125,0.6764353961980701,0,12,12,0.0,0.0,0.5,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,42,180.3630466232757,103.87897491455078,13,0.10102139986478366,84.0498046875,0.6476379877126616,0,13,13,0.0,0.0,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.15384615384615385,0.0
14,MultiAgentRL_mlp_ppo,0,NOOP,0.018574,0.0,0.015259,0,42,180.3630466232757,103.87897491455078,13,0.10102139986478366,84.0498046875,0.6476379877126616,0,13,13,0.0,0.0,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.15384615384615385,0.0,48,193.9955019801694,183.22205543518066,14,0.10161808558872767,91.0498046875,0.6384255167762882,0,14,14,0.0,0.0,0.5,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.0
15,MultiAgentRL_mlp_ppo,0,NOOP,0.018313,0.0,0.015864,0,48,193.9955019801694,183.22205543518066,14,0.10161808558872767,91.0498046875,0.6384255167762882,0,14,14,0.0,0.0,0.5,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.0,35,148.62757009156553,141.1879062652588,15,0.10093790690104167,96.900390625,0.6378860102819656,0,15,15,0.0,0.0,0.5333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.0
16,MultiAgentRL_mlp_ppo,0,NOOP,0.01829,0.0,0.016581,0,35,148.62757009156553,141.1879062652588,15,0.10093790690104167,96.900390625,0.6378860102819656,0,15,15,0.0,0.0,0.5333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.0,48,191.05400050105905,105.45563697814941,16,0.10144901275634766,103.8837890625,0.6299935776267098,0,16,16,0.0,0.0,0.5,0.3125,0.0625,0.125,0.0
17,MultiAgentRL_mlp_ppo,0,NOOP,0.018031,0.0,0.014987,0,48,191.05400050105905,105.45563697814941,16,0.10144901275634766,103.8837890625,0.6299935776267098,0,16,16,0.0,0.0,0.5,0.3125,0.0625,0.125,0.0,34,140.29193986799766,173.4445095062256,17,0.10077801872702206,109.646484375,0.6351667395166425,0,17,17,0.0,0.0,0.5294117647058824,0.29411764705882354,0.058823529411764705,0.11764705882352941,0.0
18,MultiAgentRL_mlp_ppo,1,COMPACT_32KB,0.427534,-0.045,0.058352,0,34,140.29193986799766,173.4445095062256,17,0.10077801872702206,109.646484375,0.6351667395166425,0,17,17,0.0,0.0,0.5294117647058824,0.29411764705882354,0.058823529411764705,0.11764705882352941,0.0,44,208.63362432480707,55.02510070800781,4,0.29926300048828125,76.611328125,3.7995556236907944,0,0,18,0.0,0.0,0.5,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.0
19,MultiAgentRL_mlp_ppo,0,NOOP,0.051108,0.0,0.049844,0,44,208.63362432480707,55.02510070800781,4,0.29926300048828125,76.611328125,3.7995556236907944,0,0,18,0.0,0.0,0.5,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.0,39,162.68212820211915,69.4587230682373,5,0.2586669921875,82.7734375,6.67676884649017,0,1,19,0.0,0.0,0.47368421052631576,0.3684210526315789,0.05263157894736842,0.10526315789473684,0.0
20,MultiAgentRL_mlp_ppo,0,NOOP,0.045252,0.0,0.043973,0,39,162.68212820211915,69.4587230682373,5,0.2586669921875,82.7734375,6.67676884649017,0,1,19,0.0,0.0,0.47368421052631576,0.3684210526315789,0.05263157894736842,0.10526315789473684,0.0,32,140.52314190020405,71.46000862121582,6,0.230010986328125,88.32421875,7.472910136622423,0,2,20,0.0,0.0,0.45,0.4,0.05,0.1,0.0
21,MultiAgentRL_mlp_ppo,4,PARTITION_HOUR,-0.140297,-0.1,0.039573,0,32,140.52314190020405,71.46000862121582,6,0.230010986328125,88.32421875,7.472910136622423,0,2,20,0.0,0.0,0.45,0.4,0.05,0.1,0.0,44,188.7347579932585,106.14204406738281,7,0.21198163713727677,94.9677734375,7.4737564153313105,1,3,0,0.0,0.0,0.45,0.45,0.0,0.1,0.0
