step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,MultiAgentRL_mlp_ppo,0,NOOP,0.022098,0.0,0.020633,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,285.7949620875557,74.48410987854004,1,0.111114501953125,7.111328125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,MultiAgentRL_mlp_ppo,0,NOOP,0.021891,0.0,0.019908,0,50,285.7949620875557,74.48410987854004,1,0.111114501953125,7.111328125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49,270.5710456540571,101.61423683166504,2,0.1107025146484375,14.169921875,0.037288834164134345,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,MultiAgentRL_mlp_ppo,0,NOOP,0.019981,0.0,0.018385,0,49,270.5710456540571,101.61423683166504,2,0.1107025146484375,14.169921875,0.037288834164134345,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30,170.6919018789399,83.54377746582031,3,0.10178120930989583,19.5419921875,0.9892893036489834,0,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,MultiAgentRL_mlp_ppo,0,NOOP,0.019651,0.0,0.017892,0,30,170.6919018789399,83.54377746582031,3,0.10178120930989583,19.5419921875,0.9892893036489834,0,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40,231.6616681303265,92.95201301574707,4,0.1007537841796875,25.79296875,0.8183869544626798,0,4,4,0.0,0.0,0.75,0.0,0.25,0.0,0.0
5,MultiAgentRL_mlp_ppo,0,NOOP,0.018927,0.0,0.016972,0,40,231.6616681303265,92.95201301574707,4,0.1007537841796875,25.79296875,0.8183869544626798,0,4,4,0.0,0.0,0.75,0.0,0.25,0.0,0.0,31,175.4657087065244,103.98244857788086,5,0.097760009765625,31.283203125,0.8281749206467391,0,5,5,0.0,0.0,0.8,0.0,0.2,0.0,0.0
6,MultiAgentRL_mlp_ppo,0,NOOP,0.019031,0.0,0.01717,0,31,175.4657087065244,103.98244857788086,5,0.097760009765625,31.283203125,0.8281749206467391,0,5,5,0.0,0.0,0.8,0.0,0.2,0.0,0.0,45,251.77775050557332,100.53753852844238,6,0.09890492757161458,37.9794921875,0.762177199945405,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
7,MultiAgentRL_mlp_ppo,0,NOOP,0.019162,0.0,0.015486,0,45,251.77775050557332,100.53753852844238,6,0.09890492757161458,37.9794921875,0.762177199945405,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,47,271.50627281980087,192.58975982666016,7,0.10018702915736608,44.8837890625,0.7288522886006465,0,7,7,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0
8,MultiAgentRL_mlp_ppo,0,NOOP,0.018746,0.0,0.016736,0,47,271.50627281980087,192.58975982666016,7,0.10018702915736608,44.8837890625,0.7288522886006465,0,7,7,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,33,175.19113285902517,110.46433448791504,8,0.09872817993164062,50.548828125,0.7246202329248826,0,8,8,0.0,0.0,0.75,0.0,0.25,0.0,0.0
9,MultiAgentRL_mlp_ppo,0,NOOP,0.018596,0.0,0.017173,0,33,175.19113285902517,110.46433448791504,8,0.09872817993164062,50.548828125,0.7246202329248826,0,8,8,0.0,0.0,0.75,0.0,0.25,0.0,0.0,40,246.08863888053625,82.4284553527832,9,0.0986056857638889,56.796875,0.6782280659518976,0,9,9,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.1111111111111111,0.0
10,MultiAgentRL_mlp_ppo,0,NOOP,0.018394,0.0,0.016103,0,40,246.08863888053625,82.4284553527832,9,0.0986056857638889,56.796875,0.6782280659518976,0,9,9,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.1111111111111111,0.0,38,231.01576548175527,127.05016136169434,10,0.09822235107421876,62.8623046875,0.6441287361745857,0,10,10,0.0,0.0,0.6,0.0,0.3,0.1,0.0
