step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,WorkloadAwareThreshold,0,NOOP,0.020569,0.0,0.018949,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,250.8750431211956,82.22556114196777,1,0.1034698486328125,6.6220703125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,WorkloadAwareThreshold,0,NOOP,0.021346,0.0,0.020412,0,43,250.8750431211956,82.22556114196777,1,0.1034698486328125,6.6220703125,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50,290.3926732744559,49.184322357177734,2,0.10797882080078125,13.8212890625,0.4081055739074703,0,2,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5
3,WorkloadAwareThreshold,0,NOOP,0.020849,0.0,0.018935,0,50,290.3926732744559,49.184322357177734,2,0.10797882080078125,13.8212890625,0.4081055739074703,0,2,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,43,237.01771110541637,99.43437576293945,3,0.10611979166666667,20.375,0.3546015743191263,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
4,WorkloadAwareThreshold,0,NOOP,0.020514,0.0,0.018902,0,43,237.01771110541637,99.43437576293945,3,0.10611979166666667,20.375,0.3546015743191263,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,43,226.34355563364375,85.60490608215332,4,0.105072021484375,26.8984375,0.3190844806668116,0,4,4,0.0,0.0,0.75,0.0,0.0,0.0,0.25
5,WorkloadAwareThreshold,0,NOOP,0.019896,0.0,0.017777,0,43,226.34355563364375,85.60490608215332,4,0.105072021484375,26.8984375,0.3190844806668116,0,4,4,0.0,0.0,0.75,0.0,0.0,0.0,0.25,36,199.94245701755315,112.19978332519531,5,0.102606201171875,32.833984375,0.44820208068800454,0,5,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2
6,WorkloadAwareThreshold,0,NOOP,0.019538,0.0,0.01814,0,36,199.94245701755315,112.19978332519531,5,0.102606201171875,32.833984375,0.44820208068800454,0,5,5,0.0,0.0,0.8,0.0,0.0,0.0,0.2,38,198.99537169404488,77.39448547363281,6,0.10143788655598958,38.9521484375,0.440741780995466,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
7,WorkloadAwareThreshold,0,NOOP,0.019598,0.0,0.017242,0,38,198.99537169404488,77.39448547363281,6,0.10143788655598958,38.9521484375,0.440741780995466,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,47,246.85476147542627,126.59072875976562,7,0.10236685616629464,45.8603515625,0.4319968254941531,0,7,7,0.0,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.14285714285714285
8,WorkloadAwareThreshold,0,NOOP,0.019355,0.0,0.017025,0,47,246.85476147542627,126.59072875976562,7,0.10236685616629464,45.8603515625,0.4319968254941531,0,7,7,0.0,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.14285714285714285,40,216.92693598688396,126.49941444396973,8,0.10177421569824219,52.1083984375,0.41408929455372906,0,8,8,0.0,0.0,0.75,0.0,0.0,0.125,0.125
9,WorkloadAwareThreshold,0,NOOP,0.019324,0.0,0.017006,0,40,216.92693598688396,126.49941444396973,8,0.10177421569824219,52.1083984375,0.41408929455372906,0,8,8,0.0,0.0,0.75,0.0,0.0,0.125,0.125,46,266.1995648376695,127.16794013977051,9,0.1022457546657986,58.8935546875,0.3977849599224199,0,9,9,0.0,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111
10,WorkloadAwareThreshold,0,NOOP,0.019374,0.0,0.018175,0,46,266.1995648376695,127.16794013977051,9,0.1022457546657986,58.8935546875,0.3977849599224199,0,9,9,0.0,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111,49,273.71582529249986,72.46041297912598,10,0.1031219482421875,65.998046875,0.4148458240917758,0,10,10,0.0,0.0,0.7,0.0,0.0,0.1,0.2
