step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,WorkloadAwareThreshold,0,NOOP,0.022031,0.0,0.020739,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,325.4003299588027,65.85216522216797,1,0.11077880859375,7.08984375,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,WorkloadAwareThreshold,0,NOOP,0.021866,0.0,0.020806,0,49,325.4003299588027,65.85216522216797,1,0.11077880859375,7.08984375,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49,299.5429279348214,55.52792549133301,2,0.1105804443359375,14.154296875,0.017953883116064683,0,2,2,0.0,0.0,0.0,0.5,0.5,0.0,0.0
3,WorkloadAwareThreshold,0,NOOP,0.021338,0.0,0.019648,0,49,299.5429279348214,55.52792549133301,2,0.1105804443359375,14.154296875,0.017953883116064683,0,2,2,0.0,0.0,0.0,0.5,0.5,0.0,0.0,44,268.3172012916489,88.25898170471191,3,0.1085662841796875,20.8447265625,0.2236328125,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
4,WorkloadAwareThreshold,0,NOOP,0.021399,0.0,0.019287,0,44,268.3172012916489,88.25898170471191,3,0.1085662841796875,20.8447265625,0.2236328125,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,50,273.60140065414305,110.61835289001465,4,0.1094970703125,28.03125,0.21802655436856935,0,4,4,0.0,0.0,0.25,0.25,0.25,0.25,0.0
5,WorkloadAwareThreshold,0,NOOP,0.021299,0.0,0.019059,0,50,273.60140065414305,110.61835289001465,4,0.1094970703125,28.03125,0.21802655436856935,0,4,4,0.0,0.0,0.25,0.25,0.25,0.25,0.0,49,290.83049631439894,118.21770668029785,5,0.109619140625,35.078125,0.18962294056527826,0,5,5,0.0,0.0,0.4,0.2,0.2,0.2,0.0
6,WorkloadAwareThreshold,0,NOOP,0.020913,0.0,0.018545,0,49,290.83049631439894,118.21770668029785,5,0.109619140625,35.078125,0.18962294056527826,0,5,5,0.0,0.0,0.4,0.2,0.2,0.2,0.0,42,239.64321394756604,125.92816352844238,6,0.10831705729166667,41.59375,0.26539056942092926,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
7,WorkloadAwareThreshold,0,NOOP,0.020377,0.0,0.018229,0,42,239.64321394756604,125.92816352844238,6,0.10831705729166667,41.59375,0.26539056942092926,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,37,194.93736700757947,116.15872383117676,7,0.10626002720424108,47.6044921875,0.4242821965538891,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
8,WorkloadAwareThreshold,0,NOOP,0.019703,0.0,0.018255,0,37,194.93736700757947,116.15872383117676,7,0.10626002720424108,47.6044921875,0.4242821965538891,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,30,173.996357707928,82.37671852111816,8,0.10351371765136719,52.9990234375,0.6335946955765346,0,8,8,0.0,0.0,0.5,0.25,0.125,0.125,0.0
9,WorkloadAwareThreshold,0,NOOP,0.019761,0.0,0.018381,0,30,173.996357707928,82.37671852111816,8,0.10351371765136719,52.9990234375,0.6335946955765346,0,8,8,0.0,0.0,0.5,0.25,0.125,0.125,0.0,50,311.4019496477122,80.24406433105469,9,0.10442945692274305,60.1513671875,0.6182032943149643,0,9,9,0.0,0.0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0
10,WorkloadAwareThreshold,0,NOOP,0.019413,0.0,0.016893,0,50,311.4019496477122,80.24406433105469,9,0.10442945692274305,60.1513671875,0.6182032943149643,0,9,9,0.0,0.0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,37,226.6227914794441,138.4720802307129,10,0.10331268310546875,66.1201171875,0.6251368139779139,0,10,10,0.0,0.0,0.5,0.3,0.1,0.1,0.0
