step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,adaptive_attentive_ppoclip_seed4,0,NOOP,0.020374,0.0,0.019213,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,177.41338073404873,59.29136276245117,1,0.1024932861328125,6.5595703125,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,adaptive_attentive_ppoclip_seed4,0,NOOP,0.020403,0.0,0.018261,0,43,177.41338073404873,59.29136276245117,1,0.1024932861328125,6.5595703125,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44,195.63959788532546,109.5881462097168,2,0.10326385498046875,13.2177734375,0.06974393056625126,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0
3,adaptive_attentive_ppoclip_seed4,0,NOOP,0.020847,0.0,0.019313,0,44,195.63959788532546,109.5881462097168,2,0.10326385498046875,13.2177734375,0.06974393056625126,0,2,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,50,226.64783295201187,80.43050765991211,3,0.106109619140625,20.373046875,0.3192881510499237,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
4,adaptive_attentive_ppoclip_seed4,0,NOOP,0.020898,0.0,0.019676,0,50,226.64783295201187,80.43050765991211,3,0.106109619140625,20.373046875,0.3192881510499237,0,3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,48,256.08629209824375,66.11919403076172,4,0.10699081420898438,27.3896484375,0.2840519953577005,0,4,4,0.0,0.0,0.25,0.25,0.0,0.25,0.25
5,adaptive_attentive_ppoclip_seed4,0,NOOP,0.020641,0.0,0.017771,0,48,256.08629209824375,66.11919403076172,4,0.10699081420898438,27.3896484375,0.2840519953577005,0,4,4,0.0,0.0,0.25,0.25,0.0,0.25,0.25,44,155.65971179028253,149.72424507141113,5,0.106329345703125,34.025390625,0.2635810752222777,0,5,5,0.0,0.0,0.4,0.2,0.0,0.2,0.2
6,adaptive_attentive_ppoclip_seed4,0,NOOP,0.020745,0.0,0.018182,0,44,155.65971179028253,149.72424507141113,5,0.106329345703125,34.025390625,0.2635810752222777,0,5,5,0.0,0.0,0.4,0.2,0.0,0.2,0.2,50,246.74321387685853,135.606050491333,6,0.10747273763020833,41.26953125,0.29615755895014273,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
7,adaptive_attentive_ppoclip_seed4,0,NOOP,0.020341,0.0,0.018008,0,50,246.74321387685853,135.606050491333,6,0.10747273763020833,41.26953125,0.29615755895014273,0,6,6,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,40,195.50264636582074,125.41890144348145,7,0.10608128138950892,47.5244140625,0.35861454149591604,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
8,adaptive_attentive_ppoclip_seed4,0,NOOP,0.020339,0.0,0.017185,0,40,195.50264636582074,125.41890144348145,7,0.10608128138950892,47.5244140625,0.35861454149591604,0,7,7,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,49,222.56877379781764,167.68336296081543,8,0.10669326782226562,54.626953125,0.350006924774798,0,8,8,0.0,0.0,0.625,0.125,0.0,0.125,0.125
9,adaptive_attentive_ppoclip_seed4,0,NOOP,0.019814,0.0,0.015741,0,49,222.56877379781764,167.68336296081543,8,0.10669326782226562,54.626953125,0.350006924774798,0,8,8,0.0,0.0,0.625,0.125,0.0,0.125,0.125,33,140.95428345642,214.90836143493652,9,0.10469733344184028,60.3056640625,0.5040325890269952,0,9,9,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
10,adaptive_attentive_ppoclip_seed4,0,NOOP,0.019476,0.0,0.017154,0,33,140.95428345642,214.90836143493652,9,0.10469733344184028,60.3056640625,0.5040325890269952,0,9,9,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,37,86.84636753332512,128.58033180236816,10,0.10363006591796875,66.3232421875,0.5219933878714101,0,10,10,0.0,0.0,0.7,0.1,0.0,0.1,0.1
