step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,adaptive_ddqn_seed3,0,NOOP,0.018561,0.0,0.01745,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,245.92967381951124,56.81800842285156,1,0.0934295654296875,5.9794921875,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,adaptive_ddqn_seed3,0,NOOP,0.019687,0.0,0.01821,0,37,245.92967381951124,56.81800842285156,1,0.0934295654296875,5.9794921875,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46,285.03384424467606,76.3556957244873,2,0.0996856689453125,12.759765625,0.56623785212204,0,2,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0
3,adaptive_ddqn_seed3,0,NOOP,0.018802,0.0,0.017336,0,46,285.03384424467606,76.3556957244873,2,0.0996856689453125,12.759765625,0.56623785212204,0,2,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0,33,212.4209928590393,77.0866870880127,3,0.09588623046875,18.41015625,0.5811186939536556,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
4,adaptive_ddqn_seed3,0,NOOP,0.019468,0.0,0.017985,0,33,212.4209928590393,77.0866870880127,3,0.09588623046875,18.41015625,0.5811186939536556,0,3,3,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,50,300.74499619256034,79.16378974914551,4,0.09984207153320312,25.5595703125,0.6939168345689102,0,4,4,0.0,0.0,0.75,0.0,0.25,0.0,0.0
5,adaptive_ddqn_seed3,0,NOOP,0.018718,0.0,0.017341,0,50,300.74499619256034,79.16378974914551,4,0.09984207153320312,25.5595703125,0.6939168345689102,0,4,4,0.0,0.0,0.75,0.0,0.25,0.0,0.0,30,179.9548643786129,75.06918907165527,5,0.0967132568359375,30.9482421875,0.7494191145459437,0,5,5,0.0,0.0,0.6,0.0,0.2,0.2,0.0
6,adaptive_ddqn_seed3,0,NOOP,0.018282,0.0,0.016367,0,30,179.9548643786129,75.06918907165527,5,0.0967132568359375,30.9482421875,0.7494191145459437,0,5,5,0.0,0.0,0.6,0.0,0.2,0.2,0.0,32,202.64357257818563,103.2552719116211,6,0.09515889485677083,36.541015625,0.7132179435499556,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
7,adaptive_ddqn_seed3,0,NOOP,0.018364,0.0,0.017346,0,32,202.64357257818563,103.2552719116211,6,0.09515889485677083,36.541015625,0.7132179435499556,0,6,6,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,43,265.595975601495,59.664249420166016,7,0.09619576590401786,43.095703125,0.674333133307866,0,7,7,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,adaptive_ddqn_seed3,0,NOOP,0.018642,0.0,0.016715,0,43,265.595975601495,59.664249420166016,7,0.09619576590401786,43.095703125,0.674333133307866,0,7,7,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,50,317.30367407089113,106.34112358093262,8,0.09820938110351562,50.283203125,0.7229295132928498,0,8,8,0.0,0.0,0.625,0.0,0.125,0.125,0.125
9,adaptive_ddqn_seed3,0,NOOP,0.018302,0.0,0.016237,0,50,317.30367407089113,106.34112358093262,8,0.09820938110351562,50.283203125,0.7229295132928498,0,8,8,0.0,0.0,0.625,0.0,0.125,0.125,0.125,33,212.44935887006412,114.52293395996094,9,0.09713575575086805,55.9501953125,0.7069588209021526,0,9,9,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
10,adaptive_ddqn_seed3,0,NOOP,0.018311,0.0,0.015948,0,33,212.44935887006412,114.52293395996094,9,0.09713575575086805,55.9501953125,0.7069588209021526,0,9,9,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,44,286.1763056692718,130.6462287902832,10,0.0978057861328125,62.595703125,0.6801816505701638,0,10,10,0.0,0.0,0.6,0.0,0.2,0.1,0.1
11,adaptive_ddqn_seed3,0,NOOP,0.018446,0.0,0.017345,0,44,286.1763056692718,130.6462287902832,10,0.0978057861328125,62.595703125,0.6801816505701638,0,10,10,0.0,0.0,0.6,0.0,0.2,0.1,0.1,50,313.8532913296268,68.79568099975586,11,0.09910444779829546,69.76953125,0.7016910364944735,0,11,11,0.0,0.0,0.5454545454545454,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182
12,adaptive_ddqn_seed3,0,NOOP,0.01814,0.0,0.01553,0,50,313.8532913296268,68.79568099975586,11,0.09910444779829546,69.76953125,0.7016910364944735,0,11,11,0.0,0.0,0.5454545454545454,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,33,207.47105475770417,145.5399990081787,12,0.09820175170898438,75.4189453125,0.6983275616562418,0,12,12,0.0,0.0,0.5,0.0,0.25,0.08333333333333333,0.16666666666666666
13,adaptive_ddqn_seed3,0,NOOP,0.018099,0.0,0.014579,0,33,207.47105475770417,145.5399990081787,12,0.09820175170898438,75.4189453125,0.6983275616562418,0,12,12,0.0,0.0,0.5,0.0,0.25,0.08333333333333333,0.16666666666666666,44,270.94867740481527,192.2934055328369,13,0.09862224872295673,82.0537109375,0.6756020468501885,0,13,13,0.0,0.0,0.5384615384615384,0.0,0.23076923076923078,0.07692307692307693,0.15384615384615385
14,adaptive_ddqn_seed3,0,NOOP,0.017938,0.0,0.016042,0,44,270.94867740481527,192.2934055328369,13,0.09862224872295673,82.0537109375,0.6756020468501885,0,13,13,0.0,0.0,0.5384615384615384,0.0,0.23076923076923078,0.07692307692307693,0.15384615384615385,39,234.72887154172884,112.27607727050781,14,0.09843989780970983,88.2021484375,0.6505645971454613,0,14,14,0.0,0.0,0.5,0.0,0.21428571428571427,0.14285714285714285,0.14285714285714285
15,adaptive_ddqn_seed3,0,NOOP,0.017752,0.0,0.015347,0,39,234.72887154172884,112.27607727050781,14,0.09843989780970983,88.2021484375,0.6505645971454613,0,14,14,0.0,0.0,0.5,0.0,0.21428571428571427,0.14285714285714285,0.14285714285714285,37,228.4193492835643,138.99660110473633,15,0.09813435872395833,94.208984375,0.6314577989938123,0,15,15,0.0,0.0,0.5333333333333333,0.0,0.2,0.13333333333333333,0.13333333333333333
16,adaptive_ddqn_seed3,0,NOOP,0.017592,0.0,0.015505,0,37,228.4193492835643,138.99660110473633,15,0.09813435872395833,94.208984375,0.6314577989938123,0,15,15,0.0,0.0,0.5333333333333333,0.0,0.2,0.13333333333333333,0.13333333333333333,38,246.40717344588222,124.3751049041748,16,0.0979604721069336,100.3115234375,0.6116681600529927,0,16,16,0.0,0.0,0.5,0.0,0.1875,0.1875,0.125
17,adaptive_ddqn_seed3,0,NOOP,0.017586,0.0,0.01467,0,38,246.40717344588222,124.3751049041748,16,0.0979604721069336,100.3115234375,0.6116681600529927,0,16,16,0.0,0.0,0.5,0.0,0.1875,0.1875,0.125,47,303.59992361192394,167.0536994934082,17,0.09855382582720588,107.2265625,0.6125924911822858,0,17,17,0.0,0.0,0.5294117647058824,0.0,0.17647058823529413,0.17647058823529413,0.11764705882352941
