step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,adaptive_ddqn_seed1,0,NOOP,0.019702,0.0,-0.000159,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,11.934741708542992,994.3280220031738,1,0.0991363525390625,6.3447265625,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,adaptive_ddqn_seed1,0,NOOP,0.01958,0.0,0.010717,0,41,11.934741708542992,994.3280220031738,1,0.0991363525390625,6.3447265625,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,90.8691767655044,445.67251205444336,2,0.099151611328125,12.69140625,0.0013810679320049757,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,adaptive_ddqn_seed1,0,NOOP,0.018999,0.0,0.01155,0,41,90.8691767655044,445.67251205444336,2,0.099151611328125,12.69140625,0.0013810679320049757,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,104.10809402034106,376.1882781982422,3,0.09686787923177083,18.5986328125,0.2531564449668529,0,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,adaptive_ddqn_seed1,0,NOOP,0.019429,0.0,0.008046,0,36,104.10809402034106,376.1882781982422,3,0.09686787923177083,18.5986328125,0.2531564449668529,0,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47,152.88150173136503,574.1441249847412,4,0.09964370727539062,25.5087890625,0.411056934401179,0,4,4,0.0,0.0,0.75,0.0,0.25,0.0,0.0
5,adaptive_ddqn_seed1,0,NOOP,0.019156,0.0,0.011938,0,47,152.88150173136503,574.1441249847412,4,0.09964370727539062,25.5087890625,0.411056934401179,0,4,4,0.0,0.0,0.75,0.0,0.25,0.0,0.0,39,130.32679805216327,367.17724800109863,5,0.098907470703125,31.650390625,0.3712504808827378,0,5,5,0.0,0.0,0.8,0.0,0.2,0.0,0.0
6,adaptive_ddqn_seed1,0,NOOP,0.019431,0.0,0.013495,0,39,130.32679805216327,367.17724800109863,5,0.098907470703125,31.650390625,0.3712504808827378,0,5,5,0.0,0.0,0.8,0.0,0.2,0.0,0.0,49,175.0681427116022,304.29887771606445,6,0.1009063720703125,38.748046875,0.4565715336150703,0,6,6,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0
7,adaptive_ddqn_seed1,0,NOOP,0.018955,0.0,0.011803,0,49,175.0681427116022,304.29887771606445,6,0.1009063720703125,38.748046875,0.4565715336150703,0,6,6,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,33,118.15929288152145,366.3461208343506,7,0.099151611328125,44.419921875,0.5118603692391669,0,7,7,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0
8,adaptive_ddqn_seed1,0,NOOP,0.018737,0.0,0.011275,0,33,118.15929288152145,366.3461208343506,7,0.099151611328125,44.419921875,0.5118603692391669,0,7,7,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,38,144.69314624775765,383.07666778564453,8,0.09868431091308594,50.5263671875,0.48138119567151133,0,8,8,0.0,0.0,0.875,0.0,0.125,0.0,0.0
9,adaptive_ddqn_seed1,0,NOOP,0.018434,0.0,0.011024,0,38,144.69314624775765,383.07666778564453,8,0.09868431091308594,50.5263671875,0.48138119567151133,0,8,8,0.0,0.0,0.875,0.0,0.125,0.0,0.0,35,150.4009376453545,381.76631927490234,9,0.0977969699435764,56.3310546875,0.4814432766148919,0,9,9,0.0,0.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,0.0
10,adaptive_ddqn_seed1,0,NOOP,0.018431,0.0,0.011551,0,35,150.4009376453545,381.76631927490234,9,0.0977969699435764,56.3310546875,0.4814432766148919,0,9,9,0.0,0.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,0.0,44,153.91851423719794,356.5042018890381,10,0.09840545654296876,62.9794921875,0.4703181168230317,0,10,10,0.0,0.0,0.8,0.1,0.1,0.0,0.0
