step,policy_name,action,action_name,compact_reward,partition_reward,global_reward,done,rows_ingested,ingestion_rate_rows_per_sec,latency_ms,file_count,block_utilization,total_size_kb,file_size_skew_kb,partition_strategy,steps_since_compact,steps_since_partition_change,partition_pruning_ratio,avg_pruning_ratio,query_hist_time_range,query_hist_region_filter,query_hist_sensor_lookup,query_hist_type_filter,query_hist_full_scan,next_rows_ingested,next_ingestion_rate_rows_per_sec,next_latency_ms,next_file_count,next_block_utilization,next_total_size_kb,next_file_size_skew_kb,next_partition_strategy,next_steps_since_compact,next_steps_since_partition_change,next_partition_pruning_ratio,next_avg_pruning_ratio,next_query_hist_time_range,next_query_hist_region_filter,next_query_hist_sensor_lookup,next_query_hist_type_filter,next_query_hist_full_scan
1,adaptive_mlp_ppo_seed1,0,NOOP,0.018076,0.0,0.016749,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,200.271811865371,67.5966739654541,1,0.09100341796875,5.82421875,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,adaptive_mlp_ppo_seed1,0,NOOP,0.019286,0.0,0.018262,0,35,200.271811865371,67.5966739654541,1,0.09100341796875,5.82421875,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44,284.6161424396413,53.68351936340332,2,0.09767913818359375,12.5029296875,0.6042172202521768,0,2,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0
3,adaptive_mlp_ppo_seed1,0,NOOP,0.018427,0.0,0.017258,0,44,284.6161424396413,53.68351936340332,2,0.09767913818359375,12.5029296875,0.6042172202521768,0,2,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,32,168.62942986407148,62.21723556518555,3,0.0940093994140625,18.0498046875,0.5899334769812471,0,3,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
4,adaptive_mlp_ppo_seed1,0,NOOP,0.018823,0.0,0.017316,0,32,168.62942986407148,62.21723556518555,3,0.0940093994140625,18.0498046875,0.5899334769812471,0,3,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,44,230.86044248296844,80.33490180969238,4,0.09661483764648438,24.7333984375,0.5858617436921141,0,4,4,0.0,0.0,0.5,0.5,0.0,0.0,0.0
5,adaptive_mlp_ppo_seed1,0,NOOP,0.019161,0.0,0.017848,0,44,230.86044248296844,80.33490180969238,4,0.09661483764648438,24.7333984375,0.5858617436921141,0,4,4,0.0,0.0,0.5,0.5,0.0,0.0,0.0,48,313.62701852226877,71.89750671386719,5,0.098931884765625,31.658203125,0.6061160067321629,0,5,5,0.0,0.0,0.4,0.6,0.0,0.0,0.0
6,adaptive_mlp_ppo_seed1,0,NOOP,0.019205,0.0,0.01723,0,48,313.62701852226877,71.89750671386719,5,0.098931884765625,31.658203125,0.6061160067321629,0,5,5,0.0,0.0,0.4,0.6,0.0,0.0,0.0,44,286.8118566914963,106.29653930664062,6,0.0997772216796875,38.314453125,0.5580888507067697,0,6,6,0.0,0.0,0.5,0.5,0.0,0.0,0.0
7,adaptive_mlp_ppo_seed1,0,NOOP,0.018844,0.0,0.016884,0,44,286.8118566914963,106.29653930664062,6,0.0997772216796875,38.314453125,0.5580888507067697,0,6,6,0.0,0.0,0.5,0.5,0.0,0.0,0.0,36,194.79825320750578,106.73856735229492,7,0.09859357561383929,44.169921875,0.5474692923769573,0,7,7,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0
8,adaptive_mlp_ppo_seed1,0,NOOP,0.018656,0.0,0.017368,0,36,194.79825320750578,106.73856735229492,7,0.09859357561383929,44.169921875,0.5474692923769573,0,7,7,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,39,220.82734525818427,74.40900802612305,8,0.0982818603515625,50.3203125,0.5099892712915143,0,8,8,0.0,0.0,0.5,0.5,0.0,0.0,0.0
9,adaptive_mlp_ppo_seed1,0,NOOP,0.018276,0.0,0.016109,0,39,220.82734525818427,74.40900802612305,8,0.0982818603515625,50.3203125,0.5099892712915143,0,8,8,0.0,0.0,0.5,0.5,0.0,0.0,0.0,32,207.50526888636026,119.61984634399414,9,0.09700520833333333,55.875,0.5363397806766749,0,9,9,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0
10,adaptive_mlp_ppo_seed1,0,NOOP,0.018316,0.0,0.016229,0,32,207.50526888636026,119.61984634399414,9,0.09700520833333333,55.875,0.5363397806766749,0,9,9,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0,45,223.80974289773064,116.8665885925293,10,0.0978302001953125,62.611328125,0.5325184955280212,0,10,10,0.0,0.0,0.6,0.4,0.0,0.0,0.0
