seed,specialist,window,position,from_end,mass,uniform
1,compaction,10,0,9,0.08839590847492218,0.1
1,compaction,10,1,8,0.08981253206729889,0.1
1,compaction,10,2,7,0.08597132563591003,0.1
1,compaction,10,3,6,0.08236730843782425,0.1
1,compaction,10,4,5,0.09227588772773743,0.1
1,compaction,10,5,4,0.09533582627773285,0.1
1,compaction,10,6,3,0.10087577998638153,0.1
1,compaction,10,7,2,0.10143429040908813,0.1
1,compaction,10,8,1,0.11882033199071884,0.1
1,compaction,10,9,0,0.14471065998077393,0.1
1,partition,20,0,19,0.022439604625105858,0.05
1,partition,20,1,18,0.024003207683563232,0.05
1,partition,20,2,17,0.016784612089395523,0.05
1,partition,20,3,16,0.026790283620357513,0.05
1,partition,20,4,15,0.029461931437253952,0.05
1,partition,20,5,14,0.016104569658637047,0.05
1,partition,20,6,13,0.06875378638505936,0.05
1,partition,20,7,12,0.03246282786130905,0.05
1,partition,20,8,11,0.020413532853126526,0.05
1,partition,20,9,10,0.026471350342035294,0.05
1,partition,20,10,9,0.020241301506757736,0.05
1,partition,20,11,8,0.022574668750166893,0.05
1,partition,20,12,7,0.024631893262267113,0.05
1,partition,20,13,6,0.0470406673848629,0.05
1,partition,20,14,5,0.028325850144028664,0.05
1,partition,20,15,4,0.03399152308702469,0.05
1,partition,20,16,3,0.042796239256858826,0.05
1,partition,20,17,2,0.06266346573829651,0.05
1,partition,20,18,1,0.11534308642148972,0.05
1,partition,20,19,0,0.3187052309513092,0.05
2,compaction,10,0,9,0.08122093975543976,0.1
2,compaction,10,1,8,0.08544831722974777,0.1
2,compaction,10,2,7,0.07742888480424881,0.1
2,compaction,10,3,6,0.08130349218845367,0.1
2,compaction,10,4,5,0.0962502732872963,0.1
2,compaction,10,5,4,0.0969638079404831,0.1
2,compaction,10,6,3,0.11637447774410248,0.1
2,compaction,10,7,2,0.10853602737188339,0.1
2,compaction,10,8,1,0.11737126111984253,0.1
2,compaction,10,9,0,0.13910256326198578,0.1
2,partition,20,0,19,0.0070493570528924465,0.05
2,partition,20,1,18,0.00808655470609665,0.05
2,partition,20,2,17,0.010868771001696587,0.05
2,partition,20,3,16,0.012182166799902916,0.05
2,partition,20,4,15,0.011237654834985733,0.05
2,partition,20,5,14,0.007577516138553619,0.05
2,partition,20,6,13,0.0024883593432605267,0.05
2,partition,20,7,12,0.020311029627919197,0.05
2,partition,20,8,11,0.005696579348295927,0.05
2,partition,20,9,10,0.027043689042329788,0.05
2,partition,20,10,9,0.008203993551433086,0.05
2,partition,20,11,8,0.006531075108796358,0.05
2,partition,20,12,7,0.02910018339753151,0.05
2,partition,20,13,6,0.006573233753442764,0.05
2,partition,20,14,5,0.013623672537505627,0.05
2,partition,20,15,4,0.02046814188361168,0.05
2,partition,20,16,3,0.030430691316723824,0.05
2,partition,20,17,2,0.06578391045331955,0.05
2,partition,20,18,1,0.12183588743209839,0.05
2,partition,20,19,0,0.5849077701568604,0.05
3,compaction,10,0,9,0.07213807851076126,0.1
3,compaction,10,1,8,0.08580838888883591,0.1
3,compaction,10,2,7,0.06643696129322052,0.1
3,compaction,10,3,6,0.07145528495311737,0.1
3,compaction,10,4,5,0.08239997178316116,0.1
3,compaction,10,5,4,0.10018406808376312,0.1
3,compaction,10,6,3,0.0891905426979065,0.1
3,compaction,10,7,2,0.12875854969024658,0.1
3,compaction,10,8,1,0.13755734264850616,0.1
3,compaction,10,9,0,0.16607069969177246,0.1
3,partition,20,0,19,0.007048096973448992,0.05
3,partition,20,1,18,0.01995336264371872,0.05
3,partition,20,2,17,0.006578456610441208,0.05
3,partition,20,3,16,0.003741917898878455,0.05
3,partition,20,4,15,0.02265286259353161,0.05
3,partition,20,5,14,0.004411268513649702,0.05
3,partition,20,6,13,0.006999338045716286,0.05
3,partition,20,7,12,0.01079073641449213,0.05
3,partition,20,8,11,0.006435911171138287,0.05
3,partition,20,9,10,0.004400922451168299,0.05
3,partition,20,10,9,0.01920291781425476,0.05
3,partition,20,11,8,0.02793688327074051,0.05
3,partition,20,12,7,0.02100762352347374,0.05
3,partition,20,13,6,0.01821352168917656,0.05
3,partition,20,14,5,0.03040974959731102,0.05
3,partition,20,15,4,0.016490831971168518,0.05
3,partition,20,16,3,0.023101389408111572,0.05
3,partition,20,17,2,0.025566289201378822,0.05
3,partition,20,18,1,0.07834083586931229,0.05
3,partition,20,19,0,0.6467167139053345,0.05
