tag,label,kind,seed,specialist,algorithm,window_size,embed_dim,num_heads,epochs,batch,lr,entropy_coef,num_actions,num_features,trainable_params,n_train_samples,wall_clock_sec,final_loss,gpu,tf_version,timestamp
compaction_attn_A_base_seed1,attn_A_base,attention,1,compaction,offline_ppo_clip_balanced,10,64.0,4.0,150,64,0.0003,0.01,4,8,84741,17000,112.0,0.2377799944001801,Tesla T4,2.20.0,2026-08-08T20:39:30
partition_attn_A_base_seed1,attn_A_base,attention,1,partition,offline_ppo_clip_balanced,20,64.0,4.0,200,64,0.0003,0.1,5,14,85830,4990,44.1,-0.2411046850460547,Tesla T4,2.20.0,2026-08-08T20:40:15
compaction_attn_A_base_seed2,attn_A_base,attention,2,compaction,offline_ppo_clip_balanced,10,64.0,4.0,150,64,0.0003,0.01,4,8,84741,17000,108.5,0.22885956513999525,Tesla T4,2.20.0,2026-08-08T20:42:03
partition_attn_A_base_seed2,attn_A_base,attention,2,partition,offline_ppo_clip_balanced,20,64.0,4.0,200,64,0.0003,0.1,5,14,85830,4990,42.8,-0.2320418424076504,Tesla T4,2.20.0,2026-08-08T20:42:46
compaction_attn_A_base_seed3,attn_A_base,attention,3,compaction,offline_ppo_clip_balanced,10,64.0,4.0,150,64,0.0003,0.01,4,8,84741,17000,110.7,0.27979132722188926,Tesla T4,2.20.0,2026-08-08T20:44:37
partition_attn_A_base_seed3,attn_A_base,attention,3,partition,offline_ppo_clip_balanced,20,64.0,4.0,200,64,0.0003,0.1,5,14,85830,4990,42.7,-0.2631239217740518,Tesla T4,2.20.0,2026-08-08T20:45:20
compaction_attn_B_longer_seed1,attn_B_longer,attention,1,compaction,offline_ppo_clip_balanced,10,64.0,4.0,300,64,0.0003,0.01,4,8,84741,17000,213.7,0.07311519000641241,Tesla T4,2.20.0,2026-08-08T20:48:54
partition_attn_B_longer_seed1,attn_B_longer,attention,1,partition,offline_ppo_clip_balanced,20,64.0,4.0,400,64,0.0003,0.1,5,14,85830,4990,81.5,-0.30677307176369206,Tesla T4,2.20.0,2026-08-08T20:50:16
compaction_attn_B_longer_seed2,attn_B_longer,attention,2,compaction,offline_ppo_clip_balanced,10,64.0,4.0,300,64,0.0003,0.01,4,8,84741,17000,215.1,0.05697939371005917,Tesla T4,2.20.0,2026-08-08T20:53:52
partition_attn_B_longer_seed2,attn_B_longer,attention,2,partition,offline_ppo_clip_balanced,20,64.0,4.0,400,64,0.0003,0.1,5,14,85830,4990,81.6,-0.3209516039049184,Tesla T4,2.20.0,2026-08-08T20:55:13
compaction_attn_B_longer_seed3,attn_B_longer,attention,3,compaction,offline_ppo_clip_balanced,10,64.0,4.0,300,64,0.0003,0.01,4,8,84741,17000,216.0,0.07728686231207482,Tesla T4,2.20.0,2026-08-08T20:58:50
partition_attn_B_longer_seed3,attn_B_longer,attention,3,partition,offline_ppo_clip_balanced,20,64.0,4.0,400,64,0.0003,0.1,5,14,85830,4990,82.4,-0.25991471608479816,Tesla T4,2.20.0,2026-08-08T21:00:12
