regime,files,rows,bytes,query,label,median_ms,mean_ms,p05_ms,p95_ms,reps
single_row,1,1,2773,TIME_RANGE,TIME_RANGE,210.52134037017822,218.46369902292886,144.47855949401855,626.2519359588623,30
single_row,1,1,2773,REGION_FILTER,REGION_FILTER(EU),55.60410022735596,64.02240594228108,47.18637466430664,104.51960563659668,30
single_row,1,1,2773,SENSOR_LOOKUP,SENSOR_LOOKUP(S-005),62.094807624816895,67.42427349090576,44.56329345703125,162.90736198425293,30
single_row,1,1,2773,TYPE_FILTER,TYPE_FILTER(reading),53.30228805541992,59.000301361083984,42.151451110839844,125.17476081848145,30
single_row,1,1,2773,FULL_SCAN,FULL_SCAN,85.0059986114502,89.61654504140218,69.37575340270996,136.50274276733398,30
sweep,14,20000,1803705,TIME_RANGE,TIME_RANGE,334.51366424560547,343.3029731114705,284.36279296875,455.77144622802734,30
sweep,14,20000,1803705,REGION_FILTER,REGION_FILTER(US),227.62084007263184,229.7779639561971,180.04155158996582,402.9273986816406,30
sweep,14,20000,1803705,SENSOR_LOOKUP,SENSOR_LOOKUP(S-009),389.8646831512451,396.8300978342692,293.44940185546875,686.2943172454834,30
sweep,14,20000,1803705,TYPE_FILTER,TYPE_FILTER(command),222.5438356399536,224.95189507802328,176.23400688171387,291.1376953125,30
sweep,14,20000,1803705,FULL_SCAN,FULL_SCAN,149.56378936767578,150.68358580271402,113.14797401428223,205.55806159973145,30
sweep,21,20000,1825398,TIME_RANGE,TIME_RANGE,334.0233564376831,329.6087344487508,265.3510570526123,388.3676528930664,30
sweep,21,20000,1825398,REGION_FILTER,REGION_FILTER(EU),206.65621757507324,213.75331083933511,180.87506294250488,268.65315437316895,30
sweep,21,20000,1825398,SENSOR_LOOKUP,SENSOR_LOOKUP(S-005),337.0990753173828,345.0787623723348,297.6994514465332,468.03879737854004,30
sweep,21,20000,1825398,TYPE_FILTER,TYPE_FILTER(alert),190.16695022583008,196.56606515248617,173.07305335998535,258.0075263977051,30
sweep,21,20000,1825398,FULL_SCAN,FULL_SCAN,139.5862102508545,146.45423094431558,125.92744827270508,207.55410194396973,30
sweep,28,20000,1847137,TIME_RANGE,TIME_RANGE,254.10056114196777,265.69357713063556,238.27433586120605,356.66346549987793,30
sweep,28,20000,1847137,REGION_FILTER,REGION_FILTER(APAC),212.61286735534668,221.19712034861246,190.42730331420898,298.6774444580078,30
sweep,28,20000,1847137,SENSOR_LOOKUP,SENSOR_LOOKUP(S-010),372.7591037750244,383.50545565287274,337.09049224853516,475.4781723022461,30
sweep,28,20000,1847137,TYPE_FILTER,TYPE_FILTER(command),217.07499027252197,229.37258879343668,193.14169883728027,296.6182231903076,30
sweep,28,20000,1847137,FULL_SCAN,FULL_SCAN,159.559965133667,166.09052817026773,138.73982429504395,232.41424560546875,30
